Date,Open,High,Low,Close,Volume
2011-01-31,78.49391,79.39857,77.24402,78.02467,471386
2011-02-28,77.41311,78.9096,76.00117,78.81801,584500
2011-03-31,78.46291,80.30182,77.4582,78.51364,892220
2011-04-29,77.66238,80.05518,76.9971,80.04679,458285
2011-05-31,79.57126,82.14494,79.57126,82.09205,644022
2011-06-30,82.19203,82.70226,79.30815,79.96396,1188905
2011-07-29,80.0239,83.11974,79.44532,83.08384,840794
2011-08-31,82.84846,89.65807,82.76045,86.94495,1553100
2011-09-30,86.70144,94.25226,85.99595,91.77687,1391688
2011-10-31,92.22855,93.68536,87.74887,91.27008,1397598
2011-11-30,92.00056,92.89984,89.68228,90.15301,1499118
2011-12-30,89.42873,93.82255,88.58955,92.00502,1501459
2012-01-31,91.23644,92.90213,89.50917,92.85393,2442051
2012-02-29,92.16983,92.55021,89.69539,91.86019,1273693
2012-03-30,90.87612,91.8179,87.22608,88.9101,1099498
2012-04-30,89.01865,91.88058,87.61614,91.48496,1142454
2012-05-31,91.4952,96.20228,90.82013,95.68015,1400365
2012-06-29,95.94191,96.97883,93.74717,94.95231,1291822
2012-07-31,94.94188,99.65884,94.86852,98.72881,1313722
2012-08-31,98.03647,99.00005,93.50323,97.72311,1599993
2012-09-28,97.31261,97.54295,92.85541,96.66192,1775055
2012-10-31,96.35584,97.41825,95.19355,96.81635,1745630
2012-11-30,96.38208,98.00336,95.57402,96.88501,1373173
2012-12-31,96.10989,97.54427,93.12994,93.87505,1220623
2013-01-31,92.93006,93.80674,90.95786,91.14635,2767556
2013-02-28,91.58637,93.09925,90.32941,92.46384,1340139
2013-03-29,92.39432,92.57153,90.10567,91.644,1029649
2013-04-30,91.19689,95.08909,91.02499,94.75157,1805046
2013-05-31,94.66445,95.25478,88.62981,89.01628,1636200
2013-06-28,88.62758,89.71189,82.50064,86.15238,2256369
2013-07-31,84.85382,85.7119,82.97003,84.30992,2076728
2013-08-30,83.52752,84.09776,80.3584,83.81573,1385187
2013-09-30,82.10865,84.25021,80.35893,83.98405,2811156
2013-10-31,82.52917,85.56444,82.08977,85.27355,1282840
2013-11-29,84.09866,84.09866,81.44902,83.13026,1876113
2013-12-31,82.50096,83.26952,81.36237,81.65231,1623437
2014-01-31,81.65231,85.76253,81.65231,85.7043,1348422
2014-02-28,85.5442,86.39146,84.43104,86.23917,2737375
2014-03-31,86.12146,87.35263,84.21688,86.7262,2356214
2014-04-30,86.01645,88.59671,85.5892,88.4791,1181738
2014-05-30,88.12387,90.68582,88.01982,90.01124,1513099
2014-06-30,89.22045,89.99992,87.99762,89.89027,1344375
2014-07-31,89.18693,91.10277,87.79251,89.57057,1437802
2014-08-29,89.10221,93.00257,88.86783,92.81791,13564612
2014-09-30,91.67167,91.79086,88.51123,90.22952,5418114
2014-10-31,90.482,96.37063,90.36908,91.67008,3612099
2014-11-28,91.40217,93.0014,90.67056,92.92167,1919611
2014-12-31,92.78776,94.83174,91.3994,94.27299,3895832
2015-01-30,94.40152,100.48775,94.31155,100.44452,3200307
2015-02-27,99.55963,100.17815,93.81014,95.9697,3183398
2015-03-31,95.88048,97.69811,92.39387,96.3195,2572612
2015-04-30,96.81114,97.25206,92.82545,93.54717,2548669
2015-05-29,92.5783,92.82813,89.07952,91.02843,8709228
2015-06-30,90.70195,90.7884,86.41053,87.61162,2943259
2015-07-31,86.71091,90.00194,86.38008,89.99275,1665428
2015-08-31,89.54925,91.83051,88.43896,88.68048,7523592
2015-09-30,88.62084,89.75434,87.16202,89.34227,5485265
2015-10-30,89.41176,90.85341,88.79164,89.65868,2745867
2015-11-30,88.83348,89.19069,86.82966,88.58966,4021185
2015-12-31,88.46375,89.33847,86.30502,86.80989,2942794
2016-01-29,87.52841,89.27691,86.80989,88.84062,2564168
2016-02-29,88.69913,91.49059,88.03125,90.41032,3475631
2016-03-31,90.40808,93.13945,89.15131,93.04003,3902526
2016-04-29,93.00968,94.49071,92.18008,93.79251,4079598
2016-05-31,93.30921,94.86115,92.79967,93.54123,3132536
2016-06-30,93.73061,98.66071,93.27135,98.04984,4636087
2016-07-29,99.15819,101.2349,97.95872,100.45807,9038394
2016-08-31,99.38131,100.24793,97.66128,99.79262,3476275
2016-09-30,98.92833,100.16623,95.82757,98.5983,6862233
2016-10-31,98.39018,98.52138,94.76153,95.29834,3526216
2016-11-30,94.69933,95.34022,88.25017,89.02293,4879492
2016-12-30,87.8292,89.44124,87.21762,89.129,6697199
2017-01-31,88.5508,91.4472,88.50001,89.63155,4956322
2017-02-28,88.94858,91.14727,88.62001,90.94798,2526120
2017-03-31,89.55986,90.77142,87.36874,90.0389,4453534
2017-04-28,89.80101,92.48715,89.80101,91.16817,2894415
2017-05-31,90.78065,92.8105,89.9002,92.6088,2516931
2017-06-30,92.02985,95.12134,92.00006,93.14155,3810398
2017-07-31,93.16064,94.33582,91.8497,93.22322,3808571
2017-08-31,92.70906,95.00875,92.66042,94.86179,3401105
2017-09-29,94.21186,95.3586,93.07776,93.76707,3929849
2017-10-31,93.76813,94.33868,92.44632,93.4981,4324499
2017-11-30,93.47835,94.95842,92.70217,93.91095,3215167
2017-12-29,94.27114,95.97969,93.34062,95.0808,2719525
2018-01-31,94.8809,94.8809,92.44051,93.02041,4544488
2018-02-28,92.64907,92.73107,88.68498,89.82988,7352565
2018-03-30,89.37982,91.19912,88.78994,90.91039,4203873
2018-04-30,90.48069,91.33959,87.45907,88.62075,2294105
2018-05-31,88.25992,89.98135,86.51078,89.45887,4110544
2018-06-29,88.52018,89.05121,87.32615,88.6399,4058879
2018-07-31,88.44066,89.88982,87.87976,88.72009,1714519
2018-08-31,87.79987,89.77998,87.63012,88.8499,1873691
2018-09-28,88.34916,88.47378,86.54066,87.43022,2062691
2018-10-31,87.10982,87.2603,84.21033,84.3396,2509371
2018-11-30,83.76981,84.79035,83.45982,84.38978,2977668
2018-12-31,84.15996,88.25016,84.15996,87.51,12169376
