Date,Open,High,Low,Close,Volume
2011-01-31,80.02912,80.53444,79.68148,80.34448,17583416
2011-02-28,79.99063,80.34945,79.01973,80.34945,16680720
2011-03-31,80.12969,81.37623,79.78826,80.22777,16128366
2011-04-29,79.6708,80.99694,79.54115,80.9636,13853699
2011-05-31,80.76315,81.75194,80.69296,81.69037,16678438
2011-06-30,81.61138,82.1431,81.01334,81.1607,22210406
2011-07-29,81.0329,82.2968,80.87859,82.26251,18740646
2011-08-31,82.08201,84.25004,82.0185,83.40237,38888685
2011-09-30,83.31475,84.58178,83.05403,83.73994,26683722
2011-10-31,83.73282,84.05363,82.71935,83.61494,35765791
2011-11-30,83.67405,84.11285,83.15283,83.36253,30968505
2011-12-30,83.09867,84.20265,82.83023,83.54351,30912688
2012-01-31,83.42946,84.1414,83.17854,84.06457,30347434
2012-02-29,83.84601,84.09273,83.42323,83.90709,27682890
2012-03-30,83.48943,83.80009,82.58969,83.28152,24113206
2012-04-30,83.05216,83.94296,82.65082,83.91915,20622846
2012-05-31,83.82529,84.62853,83.5829,84.51446,27513305
2012-06-29,84.5964,84.66872,84.00241,84.3901,29193760
2012-07-31,84.25601,85.35736,84.2288,85.23315,22432097
2012-08-31,85.01053,85.21355,84.00367,85.18168,27287879
2012-09-28,84.95548,85.1828,84.26881,85.14275,26807745
2012-10-31,84.94829,85.07876,84.48165,84.88364,24976115
2012-11-30,84.73096,85.10161,84.57965,84.93153,23256603
2012-12-31,84.69996,85.04062,83.88852,84.01986,29652530
2013-01-31,83.77926,84.01986,83.24693,83.44452,29577601
2013-02-28,83.44043,83.80002,83.05184,83.71883,25418772
2013-03-29,83.62325,83.66841,82.8973,83.63715,27317362
2013-04-30,83.28053,84.25612,83.28053,84.18214,22782158
2013-05-31,84.1009,84.18973,82.19269,82.39689,24521196
2013-06-28,82.09288,82.40606,79.7901,81.40665,35915158
2013-07-31,80.66071,81.28922,79.88053,81.01805,31656367
2013-08-30,80.60333,81.00122,79.60115,80.6836,20818133
2013-09-30,79.89092,81.42416,79.14146,81.41272,19959984
2013-10-31,80.65337,81.8842,80.4684,81.7586,25307776
2013-11-29,81.15772,81.18848,80.43089,81.15203,28517574
2013-12-31,80.65791,80.73975,79.89933,80.047,35340607
2014-01-31,80.10265,81.33056,80.03677,81.29535,45345722
2014-02-28,81.12627,81.5604,80.79755,81.50146,43174155
2014-03-31,81.44362,81.52845,80.81019,81.18799,43697919
2014-04-30,80.93615,81.66966,80.71272,81.64935,38381892
2014-05-30,81.49916,82.60039,81.46876,82.33015,26081537
2014-06-30,82.06172,82.23587,81.59993,82.21564,30022136
2014-07-31,81.92232,82.2912,81.50187,81.82253,29998290
2014-08-29,81.77958,82.63998,81.66434,82.5818,53752308
2014-09-30,82.24567,82.25683,81.41057,81.93195,56553994
2014-10-31,81.97022,84.07168,81.92231,82.35909,71537058
2014-11-28,82.20092,82.8992,82.00856,82.8714,33373867
2014-12-31,82.79929,82.97795,81.85013,82.37365,80151092
2015-01-30,82.43342,84.35375,82.42235,84.35375,71445233
2015-02-27,83.94508,84.18367,82.43401,83.07798,57846212
2015-03-31,82.9822,83.60507,82.03301,83.36585,58960802
2015-04-30,83.3683,83.66146,82.57479,82.90872,48719909
2015-05-29,82.55853,82.62673,81.74894,82.34293,53287598
2015-06-30,82.19311,82.19311,80.82749,81.26111,46263184
2015-07-31,80.87199,81.82622,80.83145,81.8065,40024799
2015-08-31,81.69895,82.43256,81.30865,81.44203,44465484
2015-09-30,81.3903,81.93691,80.99971,81.92818,37312762
2015-10-30,81.88808,82.33559,81.5734,81.78681,33309199
2015-11-30,81.44349,81.53911,80.74916,81.30006,37497754
2015-12-31,81.17216,81.4465,80.47236,80.75674,49779964
2016-01-29,80.7881,81.7991,80.69619,81.72665,53235851
2016-02-29,81.51552,82.57615,81.33857,82.25354,41845331
2016-03-31,82.17207,82.91937,81.6552,82.802,40038312
2016-04-29,82.64634,83.14708,82.44325,82.97193,41406027
2016-05-31,82.78316,83.26146,82.51505,82.81748,39046285
2016-06-30,82.73926,84.40991,82.60227,84.32964,39938771
2016-07-29,84.44086,84.91833,83.95058,84.64061,39477122
2016-08-31,84.24914,84.48794,83.88028,84.21929,51854296
2016-09-30,83.90124,84.4013,83.28946,84.13957,47263773
2016-10-31,83.95035,84.0077,83.0201,83.18788,31290177
2016-11-30,82.88972,83.24054,80.70005,80.88976,40775337
2016-12-30,80.47984,81.06267,80.03135,80.79135,63813730
2017-01-31,80.54974,81.43177,80.50121,80.94223,47713988
2017-02-28,80.55836,81.51963,80.49729,81.27221,43939207
2017-03-31,80.77651,81.22732,80.02097,81.08125,50620504
2017-04-28,80.97161,81.9667,80.91184,81.54832,32895585
2017-05-31,81.33856,82.00931,80.92732,81.95909,37388041
2017-06-30,81.70856,82.39148,81.68872,81.82969,42754982
2017-07-31,81.65969,82.16091,81.30123,81.98898,33597920
2017-08-31,81.76075,82.57913,81.74515,82.52194,35035331
2017-09-29,82.31043,82.70996,81.79467,81.96175,34145991
2017-10-31,81.75239,82.05996,81.42929,81.77207,45694718
2017-11-30,81.59276,81.95136,81.41914,81.51112,39560937
2017-12-29,81.49787,81.85263,81.16616,81.57144,43542331
2018-01-31,81.45006,81.50047,80.43379,80.55928,61108998
2018-02-28,80.36902,80.42957,79.23186,79.55002,57918694
2018-03-30,79.41996,79.95045,79.13935,79.92997,47036215
2018-04-30,79.63088,79.80046,78.69002,79.04961,41553944
2018-05-31,78.85942,79.77979,78.29986,79.40981,40137403
2018-06-29,79.03049,79.29998,78.57999,79.19015,50493083
2018-07-31,79.02942,79.37947,78.87013,78.97971,43204452
2018-08-31,78.75023,79.52151,78.65104,79.32009,52090966
2018-09-28,78.99983,79.17957,78.37984,78.69993,39836278
2018-10-31,78.4202,78.54512,77.65958,77.83991,57504777
