Date,Open,High,Low,Close,Volume
2013-06-28,50.33483,50.33483,49.12089,49.76698,7547238
2013-07-31,49.58254,49.85529,49.12201,49.54566,6624561
2013-08-30,49.69115,49.69115,48.92403,49.56293,1497681
2013-09-30,49.2307,49.84779,48.51224,49.82663,2296850
2013-10-31,49.62936,50.28676,49.30122,50.20667,2324796
2013-11-29,50.08021,50.10021,49.79693,50.0691,1861879
2013-12-31,49.9646,49.98347,49.52674,49.61429,3880842
2014-01-31,49.66637,50.37117,49.54779,50.33239,2598119
2014-02-28,50.32098,50.58109,50.07525,50.50693,2408712
2014-03-31,50.52654,50.64594,50.30985,50.60724,2317530
2014-04-30,50.51575,50.87239,50.36669,50.85141,4566099
2014-05-30,50.80215,51.37885,50.75143,51.16383,7299542
2014-06-30,51.19634,51.45847,50.90337,51.4078,4023307
2014-07-31,51.3004,51.75255,51.19809,51.60953,3774119
2014-08-29,51.58946,52.29141,51.52904,52.23978,5784368
2014-09-30,52.0902,52.15932,51.74349,52.10775,11407656
2014-10-31,52.14943,52.66943,52.05947,52.36774,9899796
2014-11-28,52.36605,52.87326,52.24883,52.77467,13779847
2014-12-31,52.81325,53.21757,52.39654,53.1062,11931098
2015-01-30,53.12804,54.12924,53.12804,54.06046,14659120
2015-02-27,54.05933,54.07896,53.35822,53.88923,16035784
2015-03-31,53.9503,54.19208,53.4504,54.0908,24569805
2015-04-30,54.10008,54.24695,53.34828,53.4821,18575976
2015-05-29,53.42218,53.51347,52.47237,53.13746,11389098
2015-06-30,53.0984,53.12772,51.9671,52.37207,11082153
2015-07-31,52.25259,53.04855,51.99667,52.97807,20031047
2015-08-31,52.83931,53.29216,52.56305,52.56305,17256003
2015-09-30,52.65864,53.03741,52.50389,52.92811,16655790
2015-10-30,53.20228,53.40117,52.79801,53.18282,18977407
2015-11-30,53.09211,53.33171,52.53951,53.20435,14549947
2015-12-31,53.10296,53.26128,52.65706,52.88298,21444943
2016-01-29,52.94421,53.67797,52.8529,53.56731,15166225
2016-02-29,53.61864,54.19172,53.43619,54.19172,14921696
2016-03-31,54.17317,54.60737,53.78936,54.53983,14552156
2016-04-29,54.55773,54.62627,51.8224,54.33924,17746297
2016-05-31,54.30892,54.7786,54.25008,54.69943,12033537
2016-06-30,54.73849,56.31179,54.62947,55.69722,15873289
2016-07-29,55.56861,56.15054,55.52911,56.09822,13536526
2016-08-31,56.13143,56.26158,55.58736,56.09089,17509202
2016-09-30,55.98906,56.19155,55.32938,56.04128,14883081
2016-10-31,55.98102,55.98102,55.17081,55.27941,12905148
2016-11-30,55.111,55.34709,54.22724,54.52927,18808565
2016-12-30,54.38892,54.54081,53.93854,54.2915,16078021
2017-01-31,54.24932,54.2915,53.56928,53.75801,30592122
2017-02-28,53.60801,54.28165,53.56065,54.19113,19226372
2017-03-31,54.05048,54.20192,53.5867,54.15144,21990549
2017-04-28,54.1212,54.58039,54.06971,54.35132,12919897
2017-05-31,54.34942,54.70743,54.15204,54.69798,14068825
2017-06-30,54.54713,54.96043,54.31006,54.36041,15221209
2017-07-31,54.32928,54.49696,53.96142,54.39949,13269117
2017-08-31,54.35892,54.94631,54.35892,54.86046,14749501
2017-09-29,54.72991,54.98097,54.45792,54.58868,11613812
2017-10-31,54.50733,54.93061,54.38818,54.88045,13320484
2017-11-30,54.87012,55.1792,54.82,54.96201,20583902
2017-12-29,54.96209,55.27819,54.23123,54.37236,21954450
2018-01-31,54.29098,54.37236,54.05198,54.06126,43966971
2018-02-28,54.04007,54.21195,53.84041,54.15123,23734372
2018-03-30,54.19041,54.74886,54.05055,54.72932,22962854
2018-04-30,54.67932,54.72966,54.39778,54.59814,22337763
2018-05-31,54.55815,54.65877,54.22035,54.42878,34633032
2018-06-29,54.40852,54.76961,54.0618,54.70908,22940111
2018-07-31,54.78002,55.00139,54.59964,54.74005,20830487
2018-08-31,54.53953,54.83033,54.46888,54.71974,20695542
2018-09-28,54.65031,54.74033,54.41911,54.53982,19008928
2018-10-31,54.42952,54.71979,54.10042,54.52968,25718382
2018-11-30,54.46947,54.81053,54.40004,54.76049,22937314
2018-12-31,54.76966,55.33995,54.06,54.25,31139409
