Date,Open,High,Low,Close,Volume
2011-01-31,81.48875,82.56072,76.44981,77.66517,502228
2011-02-28,76.64236,80.09451,74.12699,79.76677,424758
2011-03-31,79.3175,82.49927,76.20265,78.88384,341179
2011-04-29,78.74189,81.56887,75.90273,81.33903,286261
2011-05-31,81.42015,86.44816,81.07269,85.99525,759566
2011-06-30,86.59147,88.00158,80.27109,81.43401,512960
2011-07-29,82.17807,86.86589,81.04057,86.3132,479308
2011-08-31,85.84749,110.9982,85.84749,100.44491,991909
2011-09-30,101.00028,133.70262,99.75037,123.40605,995112
2011-10-31,126.46413,130.98882,106.02067,115.17101,1060771
2011-11-30,120.42767,128.583,115.43935,119.15369,769047
2011-12-30,117.75749,129.43454,116.01515,121.949,583979
2012-01-31,119.47409,122.12053,112.92893,120.08541,655660
2012-02-29,118.89631,119.0975,111.18398,116.14412,760237
2012-03-30,114.18766,116.9476,104.96769,107.65483,718349
2012-04-30,108.94405,116.63716,105.45918,114.90112,338205
2012-05-31,115.34921,133.69796,113.23934,131.04781,1065721
2012-06-29,133.49311,135.75918,125.8717,127.28125,866895
2012-07-31,127.68814,138.53438,127.38297,134.68162,601565
2012-08-31,133.76611,136.44906,120.78622,131.24845,898573
2012-09-28,130.54911,131.82065,117.07204,125.0089,736356
2012-10-31,125.31048,126.1332,119.01139,124.50795,418548
2012-11-30,123.86189,130.66319,121.62466,126.73888,535575
2012-12-31,125.74203,129.09852,114.69339,116.00696,595273
2013-01-31,113.77099,115.32431,108.94698,110.15709,717858
2013-02-28,111.47697,113.66878,108.00565,111.88959,296268
2013-03-29,112.59874,113.32682,106.99745,110.32398,611703
2013-04-30,110.2914,119.39213,110.26885,118.40976,525844
2013-05-31,119.22423,120.54742,104.81567,106.81801,815580
2013-06-28,105.6527,110.03829,97.28632,101.05184,495992
2013-07-31,100.873,102.29128,94.88816,97.40057,399915
2013-08-30,94.88816,97.22174,89.94777,96.29029,861957
2013-09-30,94.79129,96.49897,90.98975,95.29808,587518
2013-10-31,94.96608,98.79706,92.79017,97.10126,710567
2013-11-29,96.40887,96.45947,89.63801,92.85929,596735
2013-12-31,92.60011,92.80252,88.13704,88.77156,663727
2014-01-31,88.58975,97.42983,88.58975,97.3925,1494689
2014-02-28,97.18902,99.1203,93.8177,97.72963,1268884
2014-03-31,98.82892,100.56591,94.06935,98.83014,1203373
2014-04-30,98.02139,103.34697,96.44092,101.73305,1396949
2014-05-30,101.71035,107.51496,101.06884,105.91657,1410465
2014-06-30,104.86412,105.89388,101.77752,104.74339,887207
2014-07-31,103.6608,109.07611,99.99966,106.30212,1295505
2014-08-29,105.72648,115.52071,105.05608,113.72153,1125731
2014-09-30,112.93742,112.93742,105.08688,109.46978,1331326
2014-10-31,110.55085,127.68341,109.99269,114.04551,1999598
2014-11-28,114.04551,119.46965,112.87749,118.97612,1351539
2014-12-31,119.95143,127.35439,116.03961,123.94347,2495347
2015-01-30,124.65245,141.91202,124.23403,141.60983,4402953
2015-02-27,139.99429,141.44711,123.68777,128.68549,4238733
2015-03-31,128.58089,132.93622,119.15496,129.82748,2466265
2015-04-30,131.15649,132.57796,120.44347,122.53523,1699568
2015-05-29,121.12532,121.49513,111.21433,118.0628,1641119
2015-06-30,117.51964,117.9819,106.43998,110.00181,964238
2015-07-31,107.91997,117.96349,107.31811,117.72274,992172
2015-08-31,117.72274,127.73073,116.2439,116.7827,1518727
2015-09-30,116.96613,119.60745,112.01029,118.49239,1235643
2015-10-30,119.57332,122.48613,116.01195,117.98037,1031739
2015-11-30,117.00185,117.52525,111.68824,116.2964,800268
2015-12-31,116.38743,120.72252,112.54264,113.20085,851463
2016-01-29,115.62172,124.0111,113.83675,122.75046,2101354
2016-02-29,122.27075,133.88424,121.59023,127.72608,2524530
2016-03-31,127.81533,128.79706,123.32505,126.76431,1818362
2016-04-29,127.55201,130.38107,122.01592,125.33314,1692981
2016-05-31,124.46777,129.51571,123.48037,126.69774,2093731
2016-06-30,127.95141,139.81545,126.9751,138.12853,2344643
2016-07-29,141.42518,145.60388,136.09982,142.75928,2281968
2016-08-31,140.63134,141.94338,137.20238,140.62031,1195893
2016-09-30,139.20904,141.64569,130.67524,136.4682,1285986
2016-10-31,136.78585,137.08159,126.36918,128.04505,1052027
2016-11-30,126.68683,129.30469,112.10788,113.3237,2857967
2016-12-30,111.52735,114.17806,105.99386,109.43287,2058143
2017-01-31,108.37145,114.71877,108.12732,110.7915,1503624
2017-02-28,109.677,113.81656,108.99769,112.93558,938588
2017-03-31,110.45184,113.01334,106.53519,111.14648,991746
2017-04-28,111.0832,116.958,110.98827,113.20319,1162010
2017-05-31,112.99224,116.82088,110.60858,116.82088,1113680
2017-06-30,116.21969,122.94881,116.09312,117.44457,1733020
2017-07-31,117.87396,118.70133,114.29218,115.96787,889363
2017-08-31,115.0253,122.00033,115.0253,121.62331,1313241
2017-09-29,120.98445,123.79122,116.00115,116.72928,1178836
2017-10-31,117.33258,119.38174,114.20163,116.8437,1000148
2017-11-30,117.25977,121.54532,116.90611,118.43518,848741
2017-12-29,119.90183,123.85453,117.72785,120.98098,874806
2018-01-31,120.4865,120.4865,114.28499,115.81992,1146473
2018-02-28,115.79932,115.79932,107.67142,110.85459,2688821
2018-03-30,110.80308,114.95984,109.5463,114.60181,1555356
2018-04-30,114.10056,115.34857,108.38223,111.43064,1310385
2018-05-31,111.35904,115.73729,107.63548,114.03918,1018341
2018-06-29,113.14921,115.50012,110.87825,114.71827,1157805
2018-07-31,115.03304,116.70843,111.11365,112.17981,1108477
2018-08-31,110.55519,115.89612,110.27088,114.02781,1547936
2018-09-28,112.9515,113.31704,107.3775,108.50598,1366143
2018-10-31,107.93166,108.52613,102.44037,103.5084,1817563
2018-11-30,102.90385,106.4606,101.60408,105.76537,2274809
2018-12-31,105.18098,114.8,105.18098,113.46,2613297
