Date,Open,High,Low,Close,Volume
2011-01-31,43.32033,44.47162,43.12122,43.96449,727310
2011-02-28,44.26314,45.91336,44.17062,45.38515,656794
2011-03-31,45.58426,45.58426,42.6504,45.0882,1210335
2011-04-29,45.35999,46.49382,44.08386,46.45416,468009
2011-05-31,46.67229,46.77027,44.78025,45.90941,532801
2011-06-30,45.7671,45.7671,43.11334,44.96865,569276
2011-07-29,45.02089,46.22226,43.86594,44.18514,696081
2011-08-31,44.74927,44.74927,37.82191,41.78239,1985322
2011-09-30,41.81025,42.09928,38.36862,38.78325,1099360
2011-10-31,38.57201,44.20169,36.83936,42.86843,1009664
2011-11-30,41.65061,43.76997,39.74019,42.78417,1210214
2011-12-30,42.65026,43.46061,41.36318,43.00632,1458929
2012-01-31,43.67033,45.55688,43.28958,44.89401,1289585
2012-02-29,45.30228,47.30809,45.21053,46.8723,1104536
2012-03-30,47.07987,48.61947,46.06493,48.24954,1406284
2012-04-30,48.16961,48.75876,46.63966,47.97437,691499
2012-05-31,47.97666,48.58864,44.51256,45.1177,1165733
2012-06-29,44.3687,47.01073,43.68136,46.79231,1313733
2012-07-31,46.87072,47.86265,45.59132,47.46383,838356
2012-08-31,47.68312,49.13863,46.70028,48.62392,1206793
2012-09-28,48.53075,50.90548,48.21942,49.54896,754045
2012-10-31,49.72971,50.61084,48.26003,48.58989,964046
2012-11-30,48.71189,49.36935,46.30233,48.82598,2022586
2012-12-31,49.04175,49.94321,47.87255,48.79096,1440339
2013-01-31,49.87995,51.65125,49.60996,51.25813,1568754
2013-02-28,51.60042,52.38101,50.9407,51.81957,829115
2013-03-29,51.66029,53.59975,51.50892,53.54014,691823
2013-04-30,53.53002,54.63441,52.58084,54.63441,1155519
2013-05-31,54.51969,57.59892,54.06872,55.90186,702008
2013-06-28,55.97046,56.69585,53.27771,54.65155,749525
2013-07-31,55.11025,58.0593,54.76902,57.68787,664903
2013-08-30,58.0593,58.41955,55.81954,55.94037,628207
2013-09-30,56.47402,59.34924,56.02204,57.43032,543012
2013-10-31,57.43032,60.73184,56.21925,60.13075,776665
2013-11-29,60.32889,62.18001,59.79793,61.90952,1113056
2013-12-31,61.90952,63.1724,60.84871,63.16133,956995
2014-01-31,62.9909,63.23327,60.48866,60.86936,1021873
2014-02-28,60.91031,63.87183,59.45833,63.56859,631773
2014-03-31,63.00086,64.52035,62.74079,63.88029,529761
2014-04-30,64.10949,64.81141,61.96957,64.38827,757972
2014-05-30,64.38827,65.97062,63.68745,65.94969,542879
2014-06-30,66.07861,67.37006,65.68963,66.93874,616238
2014-07-31,67.15921,68.12998,66.11386,66.13361,672133
2014-08-29,65.923,68.7596,65.28899,68.70914,920127
2014-09-30,68.73986,69.41226,67.21034,67.54992,856512
2014-10-31,67.44182,69.11026,62.38191,68.99998,1898735
2014-11-28,69.12009,71.06806,68.49006,70.77979,877183
2014-12-31,70.54831,71.36009,67.67877,70.25133,1359797
2015-01-30,70.54019,70.66833,67.84812,68.0892,1621923
2015-02-27,68.38023,72.40151,67.58966,71.93998,836740
2015-03-31,71.92913,72.3798,69.70842,70.35932,1416411
2015-04-30,70.3777,72.47094,69.65977,71.07076,1018400
2015-05-29,71.49244,72.82126,70.4815,72.08062,828426
2015-06-30,72.30119,72.73908,70.07827,70.2999,646136
2015-07-31,70.91853,72.93042,69.70924,71.84916,690226
2015-08-31,71.87928,72.16009,55.00094,67.31219,1124303
2015-09-30,66.64084,69.04973,63.74961,65.28065,1585772
2015-10-30,65.41974,71.55141,64.43007,71.03785,760499
2015-11-30,71.18122,72.30783,69.14838,71.331,582978
2015-12-31,71.5621,72.05105,68.47006,69.75896,1006210
2016-01-29,68.63059,69.02195,62.07945,66.28983,1256974
2016-02-29,65.91867,67.16934,61.97097,66.21113,1244397
2016-03-31,66.56953,70.57247,66.40469,70.10065,1183771
2016-04-29,69.6595,72.01862,69.39926,70.40109,1118759
2016-05-31,70.57247,71.85041,69.24904,71.63143,1260939
2016-06-30,71.37013,72.40052,67.85999,71.47089,1317016
2016-07-29,71.4309,74.16197,70.76892,74.08935,641290
2016-08-31,74.01042,74.8871,73.25898,74.19144,718398
2016-09-30,74.21986,74.76923,72.44019,73.75256,582426
2016-10-31,73.65944,73.92312,72.15057,72.58795,530613
2016-11-30,72.67061,75.67057,71.24964,75.15889,960998
2016-12-30,75.29073,77.90457,74.78952,76.34124,1103163
2017-01-31,76.83005,78.39943,76.49932,77.70054,884187
2017-02-28,77.88982,81.11803,77.53934,80.86842,1009300
2017-03-31,81.51947,82.18924,79.64849,80.64953,1064389
2017-04-28,80.73963,81.89026,79.62008,81.51121,791420
2017-05-31,81.70073,83.0005,80.71167,82.74055,868204
2017-06-30,82.93111,84.30026,82.30014,82.89073,840053
2017-07-31,83.22879,85.0397,82.38054,84.59033,658323
2017-08-31,84.86964,85.41281,83.15149,84.97992,792140
2017-09-29,85.18915,86.47751,84.16259,86.26942,497543
2017-10-31,86.44983,88.71929,86.32067,88.41998,712901
2017-11-30,88.75927,91.31165,87.91975,91.09024,569996
2017-12-29,91.01028,92.95071,89.76997,91.7896,698184
2018-01-31,92.17922,98.79973,92.02011,97.2494,1329428
2018-02-28,96.90058,97.67574,87.21511,93.8601,2052881
2018-03-30,93.7989,96.67007,88.70085,90.58944,1324035
2018-04-30,90.22067,93.28976,87.58944,91.01003,1145271
2018-05-31,90.8099,94.40015,89.12957,93.2796,756284
2018-06-29,93.82006,96.29992,92.46982,93.38975,931955
2018-07-31,92.74985,98.05004,92.6902,96.95927,1117930
2018-08-31,97.06036,100.71682,96.38002,100.26595,661570
2018-09-28,100.11533,101.94001,99.00029,100.48997,640252
2018-10-31,101.06345,101.57657,90.10997,93.81043,1704286
2018-11-30,94.15955,97.4304,90.94,95.61035,1271763
2018-12-31,97.17988,97.17988,81.19,86.88,3043131
