Date,Open,High,Low,Close,Volume
2011-01-31,47.73283,48.96884,47.38111,48.21769,1226236
2011-02-28,48.48842,50.26033,48.1489,49.37049,940405
2011-03-31,49.59017,49.60016,46.42248,49.19013,1702528
2011-04-29,49.45797,50.83149,48.03796,50.7186,648701
2011-05-31,50.9787,51.02961,48.99976,50.3268,674775
2011-06-30,50.20062,50.23051,46.91014,49.48799,1162176
2011-07-29,49.53431,51.23072,49.03135,49.36335,1229622
2011-08-31,50.11008,50.11008,42.56009,46.85514,1748369
2011-09-30,46.90919,47.69121,43.4903,43.52988,855089
2011-10-31,43.12862,49.62028,41.48069,48.52313,1729108
2011-11-30,46.99943,49.49716,45.23937,48.46487,998430
2011-12-30,48.45057,49.22891,46.55969,48.09173,1234940
2012-01-31,48.98037,51.5489,48.56013,50.94917,695027
2012-02-29,51.28953,53.81428,51.18228,53.41264,1211970
2012-03-30,53.64902,55.63983,52.40252,55.27853,1867882
2012-04-30,55.27853,55.94764,53.49933,55.10716,3520329
2012-05-31,55.09188,55.71951,50.76286,51.71249,2526932
2012-06-29,50.89057,53.6325,49.99988,53.24201,1361874
2012-07-31,53.34861,54.70288,51.83008,54.17422,1433719
2012-08-31,54.44073,56.56079,53.40082,55.93097,1561450
2012-09-28,55.91139,58.39042,55.50022,56.85436,1812918
2012-10-31,57.14808,57.93821,54.59887,55.00098,2034479
2012-11-30,55.11912,56.23223,52.6707,56.11626,4342059
2012-12-31,56.39156,56.68094,54.31165,55.4627,2724913
2013-01-31,56.63,58.12138,56.37096,57.63798,2850860
2013-02-28,57.96856,58.73917,57.12749,58.10837,1633750
2013-03-29,57.96747,60.12055,57.70952,60.0503,1323201
2013-04-30,60.07948,61.18934,58.67892,61.10937,1757886
2013-05-31,61.01968,64.49083,60.65008,62.12413,1329941
2013-06-28,62.3219,62.81577,58.76182,60.41147,1760779
2013-07-31,60.97894,64.15011,60.69898,63.71077,1930296
2013-08-30,64.24056,64.78757,62.43908,62.67167,1477686
2013-09-30,63.34574,66.92178,62.93656,65.46936,1202705
2013-10-31,65.45863,69.29967,63.61965,68.65056,2189378
2013-11-29,68.84046,70.66228,67.67206,70.41872,1130351
2013-12-31,70.45091,72.52944,69.33079,72.47923,1412421
2014-01-31,72.23886,72.78903,69.16005,70.02857,2178834
2014-02-28,70.0478,74.10837,68.37058,73.7099,1632728
2014-03-31,73.00055,74.75789,71.22926,72.40119,1855738
2014-04-30,72.66967,73.58805,69.75155,72.80072,1702370
2014-05-30,72.80072,75.42905,71.94947,75.40988,1936985
2014-06-30,75.45995,76.93092,75.01035,76.78014,1097995
2014-07-31,76.99144,77.95134,75.72892,75.78732,1768690
2014-08-29,75.56115,79.31898,74.89857,79.16077,2282897
2014-09-30,79.31898,79.60993,77.09954,77.77918,1704930
2014-10-31,77.6712,80.1198,71.70056,79.98747,3670488
2014-11-28,80.01923,82.71978,79.19985,82.45724,1874817
2014-12-31,82.10048,82.64867,78.18146,81.26959,3114521
2015-01-30,81.66708,81.94964,78.47032,80.12036,2589354
2015-02-27,80.31963,85.66092,79.23999,85.14113,1974218
2015-03-31,85.32985,86.0099,82.40933,83.33814,1914593
2015-04-30,83.22248,85.9394,82.48963,83.42015,2277277
2015-05-29,83.72927,85.78799,82.61054,84.70816,1728346
2015-06-30,85.00152,85.61871,82.519,82.95903,2186157
2015-07-31,83.70079,87.26083,82.34089,85.86007,3295614
2015-08-31,85.86007,86.17124,54.15077,80.24971,3216823
2015-09-30,79.44928,82.81969,75.60217,77.75967,2095614
2015-10-30,77.81081,85.93979,76.93821,85.3918,1459121
2015-11-30,85.54002,87.00027,82.66962,85.52123,3224484
2015-12-31,85.85942,86.43976,81.62046,83.04039,3243258
2016-01-29,81.55913,81.9718,73.50207,78.41052,3352365
2016-02-29,78.03215,79.15272,72.65177,77.95003,3181063
2016-03-31,78.56956,83.71142,78.36063,83.12819,3347113
2016-04-29,82.73973,84.78877,81.8592,82.44035,1964804
2016-05-31,82.66928,84.61163,81.25836,84.29982,1440458
2016-06-30,83.9994,85.04982,79.43189,83.44178,1833611
2016-07-29,83.44178,87.59926,83.02066,87.42276,2063732
2016-08-31,87.3918,88.5509,86.68994,87.1606,1412888
2016-09-30,87.23904,88.18074,85.00857,87.47958,1702773
2016-10-31,87.36957,87.52996,85.44498,85.53957,1865207
2016-11-30,85.64032,87.29041,83.68077,86.37027,2683193
2016-12-30,86.43812,89.01144,85.26506,87.10997,1759140
2017-01-31,87.56027,91.16372,87.33103,90.2713,2234945
2017-02-28,90.7697,94.79991,90.33066,94.52973,2022891
2017-03-31,95.31059,96.32889,94.12138,95.70958,2395985
2017-04-28,95.78921,98.29023,94.74082,98.02073,2817046
2017-05-31,98.26982,101.13425,97.75021,100.94132,3198955
2017-06-30,101.17713,102.28677,99.28046,100.0567,3653877
2017-07-31,100.42192,104.12505,99.10955,102.70077,2252715
2017-08-31,103.02632,104.19626,100.95399,104.06401,2348192
2017-09-29,104.31835,105.4069,103.02632,104.72741,1798700
2017-10-31,105.00117,108.02264,104.61588,107.90097,2489524
2017-11-30,108.34709,110.77035,107.36359,110.5777,1980886
2017-12-29,110.22283,113.10236,108.78307,111.3357,2456628
2018-01-31,111.84077,121.09349,111.63874,119.5177,4269519
2018-02-28,118.99243,119.75002,106.90127,116.17419,6087264
2018-03-30,116.30551,120.85106,109.69637,112.2362,4244282
2018-04-30,111.69195,116.14673,108.36599,112.69982,3138216
2018-05-31,112.66958,118.58577,111.51053,117.93065,2851755
2018-06-29,118.54545,122.59708,117.65237,118.96788,2419642
2018-07-31,118.11431,125.58557,117.9938,122.07086,2712714
2018-08-31,122.67339,128.317,121.74952,127.80486,2475210
2018-09-28,127.63415,129.05007,125.12364,128.16825,1750044
2018-10-31,128.93908,129.37955,111.26001,116.93613,5948461
2018-11-30,117.33656,121.16069,109.65828,116.87607,4152552
2018-12-31,119.63905,119.69911,99.508,107.01,6620703
