Date,Open,High,Low,Close,Volume
2011-01-31,39.05226,40.2499,38.91918,39.88731,1934434
2011-02-28,40.14002,41.73933,40.14002,41.50981,1376135
2011-03-31,41.69293,41.69293,39.14992,41.13493,1223193
2011-04-29,41.39971,42.375,40.25073,42.375,616819
2011-05-31,42.58877,42.63735,40.72198,41.70699,1323188
2011-06-30,41.62926,41.62926,39.2047,40.63652,799525
2011-07-29,40.73913,41.54679,39.05862,39.28559,674003
2011-08-31,39.92906,39.92906,33.41828,37.03525,2198302
2011-09-30,37.13907,37.19943,33.43903,34.32634,770022
2011-10-31,34.15989,39.07187,32.49902,37.91033,922815
2011-11-30,36.49135,38.43003,34.72989,37.49122,822677
2011-12-30,37.37148,38.54351,36.5129,38.18023,663423
2012-01-31,38.73228,40.16166,38.44854,39.36149,792234
2012-02-29,39.69272,41.31562,39.66185,40.89179,632295
2012-03-30,41.09955,42.41852,40.19728,41.91781,563789
2012-04-30,41.8718,42.2706,40.18102,41.39276,494377
2012-05-31,41.52963,42.04996,38.59761,39.11912,564787
2012-06-29,38.51266,40.89957,37.8885,40.75627,620860
2012-07-31,40.82071,41.57983,39.78042,41.34085,464431
2012-08-31,41.44746,42.43034,40.55126,41.82351,466564
2012-09-28,41.79188,43.99897,41.57398,42.94167,445381
2012-10-31,43.11965,44.08867,42.39957,42.61013,831202
2012-11-30,42.66946,43.19992,40.32078,42.24602,803844
2012-12-31,42.44029,43.73968,41.90169,42.67295,1751720
2013-01-31,43.77226,45.68238,43.36976,45.35549,1231727
2013-02-28,45.56721,46.46178,45.09841,45.89061,766286
2013-03-29,45.69866,47.55993,45.6056,47.41038,964873
2013-04-30,47.46936,48.57149,46.6494,48.46047,1161198
2013-05-31,48.28931,51.21986,47.92039,49.74533,879581
2013-06-28,49.88874,50.65433,47.69985,49.03075,1366466
2013-07-31,49.29049,52.11895,48.86985,51.61095,1075290
2013-08-30,51.96149,52.17067,49.50082,49.66057,1205868
2013-09-30,49.99617,52.42237,49.50541,50.30776,1050723
2013-10-31,50.28034,53.0987,49.49778,52.56861,1894540
2013-11-29,52.63944,54.62041,52.45094,54.27996,741906
2013-12-31,54.21941,55.02024,53.17981,55.00889,893946
2014-01-31,54.85005,55.06903,52.70107,52.98018,1031475
2014-02-28,52.93934,55.17909,51.61863,54.94082,886905
2014-03-31,54.54937,56.26946,54.24983,56.17917,881091
2014-04-30,56.30894,56.97136,54.70989,56.70165,1248081
2014-05-30,56.68134,57.5909,55.98168,57.57059,1385509
2014-06-30,57.60218,59.11999,57.36859,58.2805,1249623
2014-07-31,58.3804,59.52866,57.64969,57.64969,1211517
2014-08-29,57.45102,59.61958,56.7697,59.59937,996660
2014-09-30,59.59937,60.57702,58.41826,58.66933,1052561
2014-10-31,59.17817,59.59886,54.19021,59.59886,1579137
2014-11-28,59.7004,61.41996,59.18933,60.93791,754688
2014-12-31,60.75156,61.76048,58.50195,60.68978,1095516
2015-01-30,61.04114,61.09102,58.04849,58.0895,1771077
2015-02-27,58.39874,61.65075,57.85009,61.12759,1001040
2015-03-31,61.0622,61.35038,59.05066,59.76921,1305279
2015-04-30,59.66892,61.49063,59.24242,60.84041,1175205
2015-05-29,61.02115,62.21909,60.33897,61.49944,885310
2015-06-30,61.72096,62.10007,59.76163,59.88981,1267642
2015-07-31,60.39928,61.50037,59.24997,60.53952,896678
2015-08-31,60.52089,60.78055,43.11918,56.85933,1452668
2015-09-30,56.29947,58.06013,54.04859,55.23999,1099493
2015-10-30,55.32051,60.10137,54.45987,59.55082,908963
2015-11-30,59.67921,60.62037,58.23973,59.87941,817025
2015-12-31,60.06003,60.59861,57.70985,59.02934,1634626
2016-01-29,58.08088,58.50002,52.70986,56.41945,1877418
2016-02-29,56.05,57.41004,53.14952,56.36003,1803668
2016-03-31,56.92933,60.06962,56.61065,59.53978,1456138
2016-04-29,59.11047,61.53074,58.65968,60.41988,1391619
2016-05-31,60.60985,61.49961,59.34981,61.19158,1293076
2016-06-30,60.96941,62.03411,58.32039,61.44849,1764065
2016-07-29,61.54021,63.61459,60.6198,63.19118,1833996
2016-08-31,63.15918,63.79909,62.37956,63.53033,1158702
2016-09-30,63.55166,63.90148,61.79994,62.66949,1056198
2016-10-31,62.50956,62.90992,61.36569,62.00965,1422048
2016-11-30,62.07002,65.88823,61.00028,65.60967,1908079
2016-12-30,65.8787,68.3232,65.66051,67.08955,1799787
2017-01-31,67.57955,67.91813,66.66054,67.21994,1662403
2017-02-28,67.39028,69.82133,66.69103,69.65099,1417377
2017-03-31,70.15991,70.80974,67.80982,68.52905,1594765
2017-04-28,68.57923,69.21489,67.30061,68.42032,1186772
2017-05-31,68.51023,68.85942,67.12079,68.52905,1296810
2017-06-30,68.69006,70.4611,68.57923,69.36054,1258259
2017-07-31,69.53098,70.59001,68.93755,70.47984,1285333
2017-08-31,70.59936,71.05872,69.08513,70.15975,1205858
2017-09-29,70.28966,72.06994,69.52682,71.78989,974704
2017-10-31,72.01071,73.91975,71.81052,73.19947,1063184
2017-11-30,73.49047,76.13732,72.46682,75.69979,831400
2017-12-29,75.8102,77.30853,74.87942,76.46062,1265763
2018-01-31,76.65856,81.58972,76.46472,80.00001,1794835
2018-02-28,79.81028,80.54256,71.91919,76.49959,1902089
2018-03-30,76.57036,78.37031,72.04396,74.06039,1559650
2018-04-30,73.77073,76.02073,71.63088,74.40106,1347457
2018-05-31,74.22053,76.47155,72.20001,74.93959,1233120
2018-06-29,75.5689,77.22937,73.85962,74.41004,1215631
2018-07-31,73.99951,78.34401,73.9691,78.13013,1348158
2018-08-31,78.06019,80.42808,77.24015,79.89997,1574159
2018-09-28,79.80975,82.03978,79.45092,80.04033,1182614
2018-10-31,80.47047,81.16958,73.81984,76.31005,2752622
2018-11-30,76.55987,79.39964,75.39032,79.05008,2468110
2018-12-31,80.06047,80.06047,66.82,71.47,4024112
