Date,Open,High,Low,Close,Volume
2011-01-31,83.42261,84.21917,80.15058,82.75997,2001447
2011-02-28,83.49929,88.01995,81.87987,85.19082,1657532
2011-03-31,85.70011,87.70407,79.22241,87.35959,1761208
2011-04-29,87.97989,90.17956,84.02918,89.60503,1397643
2011-05-31,89.80875,90.16239,82.7016,87.1284,1774769
2011-06-30,86.78049,87.00022,78.95118,86.06977,1398160
2011-07-29,86.11097,88.95955,82.74852,83.95021,888717
2011-08-31,85.60855,85.60855,68.77799,77.55836,1965682
2011-09-30,77.44162,78.221,64.4416,64.4725,921752
2011-10-31,63.7904,79.65045,60.57902,76.0385,1400485
2011-11-30,72.7493,78.80812,69.11103,76.44708,1539672
2011-12-30,76.32119,77.3844,71.05205,73.13089,1235305
2012-01-31,74.801,82.72142,74.55009,81.86116,1518370
2012-02-29,82.38986,84.09133,80.75783,81.75699,1396481
2012-03-30,82.10087,83.61192,78.6968,82.20952,1729618
2012-04-30,82.07959,83.63096,77.89815,81.49936,1519650
2012-05-31,81.55761,82.59932,72.03988,74.47056,1105020
2012-06-29,72.49017,78.60047,71.63216,77.75029,945805
2012-07-31,77.83206,79.24006,74.39999,77.29216,875063
2012-08-31,77.52179,81.6909,75.66013,79.84829,727424
2012-09-28,79.76092,86.55001,78.57135,82.89952,831397
2012-10-31,83.36101,85.45901,80.94826,81.6909,1045357
2012-11-30,81.77939,83.66121,77.48034,82.85807,817658
2012-12-31,83.221,85.002,80.50133,84.20895,1132526
2013-01-31,86.19941,89.29993,85.50158,87.52901,2260974
2013-02-28,87.89865,88.95941,84.00845,86.32935,1688964
2013-03-29,85.67744,90.03921,85.25067,88.7309,1007114
2013-04-30,88.83171,89.0703,83.20083,88.58081,2261067
2013-05-31,88.14844,93.35815,86.59034,90.57911,1947439
2013-06-28,90.81098,91.41809,85.002,86.53097,1302037
2013-07-31,87.01935,92.77008,86.47049,91.5189,990867
2013-08-30,92.17081,93.99998,90.79194,90.99804,857422
2013-09-30,92.19994,98.23967,90.94876,95.17164,1436401
2013-10-31,94.82888,100.47992,93.08036,99.25114,1104345
2013-11-29,99.37996,101.83639,98.07949,100.57177,730707
2013-12-31,100.6289,103.91923,98.88934,103.24648,1052034
2014-01-31,103.10247,103.76094,97.0697,98.77026,1778357
2014-02-28,98.68012,105.79018,95.72969,105.43512,3063923
2014-03-31,104.7184,107.95904,103.70158,106.31673,1832345
2014-04-30,106.57616,108.83186,102.93319,106.47503,1906414
2014-05-30,106.31673,109.3672,105.60001,109.19242,1327100
2014-06-30,109.30234,112.18022,108.86483,111.75151,1866497
2014-07-31,112.01533,113.12559,108.9198,108.98465,2238497
2014-08-29,108.96267,113.57629,108.19648,113.52133,1539173
2014-09-30,113.52133,114.25784,109.9597,110.19055,1959382
2014-10-31,109.93772,109.93772,97.78752,108.40644,6583572
2014-11-28,108.50427,113.5653,106.15624,109.56397,1187968
2014-12-31,109.3672,111.81747,103.28825,107.38693,1660382
2015-01-30,107.69896,107.9257,102.42252,104.47609,2005146
2015-02-27,104.81511,114.14471,103.84447,112.57916,2408347
2015-03-31,112.65474,113.4861,107.15156,108.55192,1607162
2015-04-30,108.51953,112.46039,107.65578,111.08919,1146825
2015-05-29,111.81258,113.85319,110.61412,111.66142,953275
2015-06-30,111.84497,113.07581,107.32323,107.65578,977644
2015-07-31,108.22801,108.47634,98.55184,102.02736,1317811
2015-08-31,102.04787,103.28843,89.04194,96.42053,2999303
2015-09-30,95.46177,96.97981,85.05082,87.33047,2001419
2015-10-30,87.51089,99.22011,86.98873,98.60987,1356165
2015-11-30,98.75102,100.35039,94.82955,99.38992,1038604
2015-12-31,99.65949,100.05004,92.188,94.1902,1477556
2016-01-29,92.76869,93.1093,79.00065,84.75104,1679337
2016-02-29,84.11094,91.75106,83.1376,90.261,1142134
2016-03-31,91.33768,99.75921,90.74925,98.17931,1922574
2016-04-29,97.35994,105.35194,96.50906,103.40436,2394734
2016-05-31,103.89703,104.85822,99.45038,103.19637,2644925
2016-06-30,102.77828,107.08522,97.33985,102.42947,1751389
2016-07-29,102.56757,108.99,99.89774,108.13214,2833654
2016-08-31,108.04845,110.02571,106.40596,108.21584,1217016
2016-09-30,108.34138,110.00479,103.69952,106.91455,2247193
2016-10-31,107.04988,107.04988,101.86447,104.29113,1703986
2016-11-30,104.43688,113.34816,102.99296,113.02544,2561564
2016-12-30,113.32734,117.42902,112.15544,112.44554,2751230
2017-01-31,113.07755,120.27829,112.44554,117.75026,4617039
2017-02-28,117.84351,120.98283,116.77635,119.0868,2692172
2017-03-31,120.15396,121.69772,115.35261,118.94287,2391380
2017-04-28,119.15953,121.92444,116.02321,120.23248,1597220
2017-05-31,120.41818,120.63483,116.43588,119.45871,1504414
2017-06-30,119.70632,124.12193,119.62378,121.60736,3159487
2017-07-31,121.98735,126.30076,121.36088,123.37381,1378284
2017-08-31,123.70245,124.45216,120.05659,124.19541,1777710
2017-09-29,124.59594,129.1661,123.29165,128.52041,1200667
2017-10-31,128.60218,134.54065,128.60218,133.24257,2249374
2017-11-30,134.16247,135.41967,128.91903,134.4691,1542049
2017-12-29,134.65308,137.5221,132.19912,136.6977,1574494
2018-01-31,137.48139,144.64654,137.3389,141.5525,3427556
2018-02-28,140.61614,141.24716,127.18148,134.16343,2733442
2018-03-30,134.38734,139.41516,126.14073,128.90145,6168745
2018-04-30,128.49546,136.94003,124.98366,129.52058,2508073
2018-05-31,128.94205,137.07197,127.32824,132.59595,1864373
2018-06-29,133.41807,138.59443,129.72747,131.55533,1985711
2018-07-31,130.67674,135.83716,130.09102,135.48371,1586746
2018-08-31,135.47361,136.51377,128.89938,134.24157,1981137
2018-09-28,133.92851,138.08916,130.99846,131.10906,1305652
2018-10-31,131.78276,133.06982,112.14506,117.01175,4046769
2018-11-30,119.16355,124.86482,116.64976,121.05392,2610905
2018-12-31,123.61798,124.23134,103.54,110.83,6214165
