Date,Open,High,Low,Close,Volume
2011-01-31,73.38216,75.1502,72.13022,73.13876,7987721
2011-02-28,73.72247,78.59839,73.60077,77.17968,12832682
2011-03-31,77.49858,79.0297,72.79958,78.98914,12914354
2011-04-29,79.37898,81.52198,76.6084,81.30903,4804017
2011-05-31,81.78,81.85098,76.28053,79.71925,7264090
2011-06-30,79.62911,79.62911,72.97025,78.04608,10089371
2011-07-29,78.15988,81.20988,73.82881,75.22142,6133548
2011-08-31,76.29855,76.57122,60.50884,68.94564,30063641
2011-09-30,68.94902,69.75012,60.55053,61.37077,15655182
2011-10-31,60.72967,73.37136,57.25265,70.77655,8484514
2011-11-30,67.94175,72.21986,64.09966,70.44192,4273128
2011-12-30,70.12306,71.89988,67.13953,69.66631,7172265
2012-01-31,71.21944,75.43079,69.24829,74.50692,7877788
2012-02-29,75.2518,78.68937,75.04946,76.94835,8108250
2012-03-30,77.32857,80.09972,74.49692,78.72147,6688670
2012-04-30,78.4825,79.64957,74.54003,77.9212,6206823
2012-05-31,77.99122,79.26944,70.9588,72.68162,7714853
2012-06-29,70.99993,76.10057,69.42939,76.03944,7487679
2012-07-31,76.38067,78.00122,73.11177,75.28029,6234880
2012-08-31,75.66931,79.23053,73.38964,77.96121,4078170
2012-09-28,77.67889,83.40085,77.52884,80.1364,4345614
2012-10-31,80.42094,81.84921,77.84895,78.98712,4274747
2012-11-30,79.1016,80.6299,74.4789,79.97412,5972473
2012-12-31,80.57877,82.84177,78.94972,80.90122,7452195
2013-01-31,82.84945,86.62913,82.56786,86.04084,8904338
2013-02-28,86.69025,89.04996,85.26046,87.11701,8100413
2013-03-29,86.62476,91.43062,85.93715,91.15017,8476602
2013-04-30,91.14144,91.7187,86.85068,91.42079,8853460
2013-05-31,91.16872,97.48045,89.64098,94.71088,6031672
2013-06-28,95.00115,95.97126,89.91816,93.70912,7484023
2013-07-31,94.33986,100.92549,94.33986,100.06887,7940178
2013-08-30,100.99751,101.99709,96.74932,96.83116,5970450
2013-09-30,98.12101,103.6776,96.46887,102.49033,7125196
2013-10-31,102.27208,107.39545,99.33774,105.75968,7282684
2013-11-29,106.00194,109.16763,103.9515,108.62201,7502622
2013-12-31,108.77478,110.68237,105.70621,109.94987,10056074
2014-01-31,109.69134,111.78111,106.14089,107.70929,8304614
2014-02-28,107.49385,114.04323,103.51252,113.1707,8016042
2014-03-31,112.17968,115.44359,110.30732,112.94625,8199798
2014-04-30,113.06473,114.7558,106.77115,110.19961,7807890
2014-05-30,110.05958,112.05225,106.94241,111.56754,6352718
2014-06-30,111.99839,117.13623,110.64123,117.10391,6347864
2014-07-31,117.69633,118.76267,111.23364,111.23364,7327700
2014-08-29,111.30904,116.96389,110.13498,116.86695,6418993
2014-09-30,117.10391,117.90098,110.61968,110.61968,6097345
2014-10-31,110.52274,116.03757,103.21236,115.6175,13186347
2014-11-28,115.98371,118.51493,114.4973,116.84541,8429627
2014-12-31,116.48996,118.45218,111.98762,116.66823,14254546
2015-01-30,117.25226,117.49649,112.16588,114.15159,10689490
2015-02-27,114.36396,121.45729,112.8561,120.78831,7588157
2015-03-31,120.85202,123.91088,117.88939,122.55226,10477755
2015-04-30,122.15953,124.40975,119.62272,120.05791,10178361
2015-05-29,120.46125,124.01703,119.24061,122.47796,8570642
2015-06-30,123.14666,125.49241,120.92828,121.45899,8573602
2015-07-31,122.59472,123.43324,117.49987,121.11933,11726866
2015-08-31,121.15118,121.85172,90.0291,114.06085,16213324
2015-09-30,112.93574,117.40434,105.85219,107.95682,11761002
2015-10-30,107.97786,115.13359,106.24155,114.07076,9553269
2015-11-30,114.2286,117.02776,111.2716,116.14381,8342809
2015-12-31,116.72258,117.08037,108.38826,110.6443,16293659
2016-01-29,108.99102,109.29447,94.25065,102.28058,19847079
2016-02-29,101.68519,104.25091,93.90639,103.07373,14501426
