Date,Open,High,Low,Close,Volume
2011-01-31,78.80199,81.18035,77.18891,78.74197,5575493
2011-02-28,79.50081,85.39044,79.28002,83.64016,4425915
2011-03-31,84.04209,86.38209,78.25858,86.30493,5663955
2011-04-29,86.89864,89.56071,83.71895,89.15882,4620047
2011-05-31,89.76004,89.84149,83.53891,87.67025,4635402
2011-06-30,87.50843,87.57916,79.34755,85.89983,5660926
2011-07-29,86.03915,89.57892,80.78896,82.57118,5819619
2011-08-31,83.84005,84.54951,65.89147,75.4852,8362426
2011-09-30,75.572,76.58796,66.35015,66.86349,4348904
2011-10-31,66.25049,80.42138,62.26918,77.74324,5398037
2011-11-30,74.7318,79.31861,70.19965,77.23097,2877705
2011-12-30,77.03164,78.94888,73.16821,76.35316,3523453
2012-01-31,78.1983,82.70082,75.77115,81.86619,2515589
2012-02-29,82.46844,86.89955,82.32987,85.03842,3038949
2012-03-30,85.44881,88.6309,82.08471,86.95109,3894374
2012-04-30,86.56951,88.05,82.26022,86.09094,3324149
2012-05-31,86.09947,87.61939,77.99037,79.88974,3083177
2012-06-29,78.05219,83.77802,76.10059,83.77055,2395146
2012-07-31,83.99012,86.06962,79.85137,82.6514,2147860
2012-08-31,82.97116,87.15041,80.18179,85.96943,1563140
2012-09-28,86.06003,91.74215,85.46848,88.24079,1680801
2012-10-31,88.69058,89.88968,84.76927,86.14956,1354447
2012-11-30,86.29026,88.0031,81.41819,87.63112,1847502
2012-12-31,88.01163,90.40023,86.60149,89.02832,3101110
2013-01-31,91.82822,95.71897,90.83021,94.46039,3385811
2013-02-28,95.13979,97.82998,93.24927,95.30015,2281687
2013-03-29,94.69248,100.2432,94.02996,99.91831,2308917
2013-04-30,99.93835,100.13033,94.53964,99.53223,2326622
2013-05-31,99.24953,106.75055,97.64933,103.8993,2778994
2013-06-28,104.09761,105.53748,98.84975,102.95416,2431425
2013-07-31,103.85711,111.01214,103.85711,109.94674,3363653
2013-08-30,110.9172,112.47837,107.19359,107.81595,2320609
2013-09-30,109.23999,116.05431,107.4995,114.45094,2106949
2013-10-31,114.50368,119.48256,110.21045,117.30958,3482818
2013-11-29,117.57329,120.69564,114.75685,120.07328,1907595
2013-12-31,120.24205,122.5579,116.30747,122.28538,4863136
2014-01-31,122.05479,124.95811,118.39682,120.89137,3784676
2014-02-28,120.51404,128.23876,115.70312,127.12774,3840291
2014-03-31,125.98528,129.63278,121.36746,124.21799,3538985
2014-04-30,124.45903,126.37684,115.94936,119.56492,4662961
2014-05-30,119.56492,121.21026,114.93282,120.38235,3143207
2014-06-30,120.51859,127.41435,119.04093,127.39339,2258506
2014-07-31,127.81259,129.10161,120.71771,120.71771,2407131
2014-08-29,120.64435,126.75412,119.18765,126.42924,2103895
2014-09-30,126.817,127.40387,120.26707,120.34043,1991144
2014-10-31,120.26707,125.21358,111.21246,125.01446,3852465
2014-11-28,125.37077,128.1689,123.62063,126.25108,1808391
2014-12-31,125.97861,127.69248,120.53955,125.94924,2548333
2015-01-30,126.50957,127.84813,121.3421,124.7767,3148997
2015-02-27,125.09837,132.98447,123.30325,132.23736,2677486
2015-03-31,132.27887,135.76535,129.50836,131.77221,2831941
2015-04-30,133.11047,136.6273,130.4132,130.81779,4756964
2015-05-29,131.295,135.88036,129.87374,134.41761,4496759
2015-06-30,135.23717,138.59839,133.15197,134.24125,2734202
2015-07-31,135.58989,136.54431,130.86966,134.92594,4359897
2015-08-31,134.99856,135.58989,92.98852,125.49586,4921541
2015-09-30,124.23021,129.82187,115.30419,117.80048,3426347
2015-10-30,117.96553,125.00055,115.99531,123.2779,2978585
2015-11-30,123.50483,127.37306,120.54435,126.26933,2679700
2015-12-31,126.74383,127.30085,118.35751,121.44227,3254380
2016-01-29,119.48982,119.69534,102.46242,110.53939,5255352
2016-02-29,109.70703,111.77251,99.54094,110.60104,3279205
2016-03-31,111.42313,119.32498,110.83739,118.98631,2464429
2016-04-29,118.00108,123.35824,116.85165,120.55651,2532946
2016-05-31,120.99781,124.01505,116.53351,123.60454,5619292
2016-06-30,123.2864,127.18624,116.47976,123.90876,3024895
2016-07-29,123.98039,131.13311,122.31245,130.78519,3704059
2016-08-31,130.93868,132.87268,128.50328,131.46056,4005738
2016-09-30,131.48102,133.86526,127.96095,131.78537,2574991
2016-10-31,131.4689,131.74453,123.92459,124.69025,7367993
2016-11-30,124.89443,134.98072,120.74966,132.82667,5178791
2016-12-30,133.42898,138.22712,130.93804,133.13851,4051124
2017-01-31,134.42905,138.5547,132.84383,136.73575,6252259
2017-02-28,137.49788,142.36533,135.77039,140.37364,3096538
2017-03-31,141.98935,142.72099,136.26919,140.65843,3803288
2017-04-28,141.04363,144.20632,137.96204,142.57429,2902140
2017-05-31,143.11154,144.9159,140.09077,143.08113,4429167
2017-06-30,143.41565,147.67195,143.32442,145.73862,2379145
2017-07-31,146.36619,150.28346,143.86602,147.71244,2247427
2017-08-31,148.39062,149.01819,141.7505,147.1456,2790875
2017-09-29,147.53024,152.70054,145.82972,152.63989,2243660
2017-10-31,152.79151,156.53144,152.43773,156.19788,2477308
2017-11-30,157.17835,161.34282,153.13518,160.97893,1921332
2017-12-29,161.08001,162.41426,156.79425,160.85188,2398878
2018-01-31,161.42607,170.63314,160.91232,167.08731,3880504
2018-02-28,166.65416,168.0745,151.01018,161.76856,2834535
2018-03-30,161.43614,172.17437,159.32073,163.95287,2434649
2018-04-30,163.49016,169.99838,158.64168,164.37535,2855114
2018-05-31,164.21441,175.64152,163.07773,173.94153,2853610
2018-06-29,175.04803,182.7734,173.22793,175.79963,4181027
2018-07-31,174.77497,183.69555,174.30282,177.49735,3250365
2018-08-31,177.77863,190.14488,176.96493,189.93392,3039202
2018-09-28,189.82342,190.48643,185.47644,187.32198,2141165
2018-10-31,188.14445,188.14445,158.4955,165.88767,4217366
2018-11-30,166.2287,173.49048,157.54264,169.16751,3557703
2018-12-31,172.17654,172.99901,139.95,150.59,6505939
