Date,Open,High,Low,Close,Volume
2011-01-31,67.70992,68.77949,66.16028,67.26397,3285857
2011-02-28,67.84994,71.52224,67.66874,70.41973,2197356
2011-03-31,70.75978,71.47308,66.31913,71.45308,2295270
2011-04-29,71.97073,73.28956,69.34955,73.11779,1662653
2011-05-31,73.43191,73.49897,68.81072,71.56955,1774332
2011-06-30,71.51191,71.58838,66.18013,70.08131,3122752
2011-07-29,70.10955,72.72014,66.57072,67.74955,2122237
2011-08-31,68.71896,69.19896,54.79893,62.20365,4208598
2011-09-30,62.20012,62.77895,54.5107,55.57658,2798455
2011-10-31,55.09893,66.12954,51.93069,63.60365,2626469
2011-11-30,61.40718,64.94954,57.91776,63.50836,1466280
2011-12-30,63.30954,64.76836,60.84953,62.66701,3199229
2012-01-31,64.06022,68.00152,62.4989,67.03778,2776009
2012-02-29,67.6204,70.52888,67.5398,68.74879,2535615
2012-03-30,68.9998,71.57206,66.74763,70.38011,2225493
2012-04-30,70.15797,71.15929,66.72011,69.68264,2407991
2012-05-31,69.72177,70.82092,63.72076,65.28028,2228474
2012-06-29,63.86002,68.20137,62.59283,68.20137,2238231
2012-07-31,68.38322,69.84031,66.03185,67.91018,1545656
2012-08-31,68.27043,71.14894,66.34145,69.94045,1444067
2012-09-28,69.92894,74.77901,69.44899,71.8982,1512974
2012-10-31,72.2619,73.54865,70.53088,71.39869,1382684
2012-11-30,71.60011,72.82931,67.18164,72.11803,2282275
2012-12-31,72.48288,75.0794,71.07025,72.65007,4226996
2013-01-31,74.65064,77.59932,74.06719,77.34014,4113133
2013-02-28,77.75192,80.40102,77.03046,78.59119,2743049
2013-03-29,78.21083,82.37025,77.58923,82.15152,3525379
2013-04-30,82.10889,82.56992,78.21871,82.21994,3030871
2013-05-31,82.00008,87.27112,80.65848,84.7775,3027097
2013-06-28,85.01194,85.58067,80.34776,83.69951,2896296
2013-07-31,84.26038,90.108,84.08988,89.42934,2964446
2013-08-30,90.12931,90.89994,85.45952,85.70069,2338792
2013-09-30,86.64968,91.15906,85.11066,90.23924,1840239
2013-10-31,90.25046,94.96175,87.93743,93.77944,2849366
2013-11-29,93.87927,96.98873,92.3997,96.53106,1905617
2013-12-31,96.67913,98.27873,94.21804,97.37044,2848663
2014-01-31,97.17993,98.36154,93.62076,94.65922,4462674
2014-02-28,94.39052,99.96493,91.14961,99.35925,3251478
2014-03-31,98.61042,101.84582,97.95629,100.64005,3620035
2014-04-30,100.81951,102.60417,96.41676,99.50056,3941893
2014-05-30,99.60074,101.39531,97.12028,101.12998,3378327
2014-06-30,101.24118,105.49089,100.41876,105.49089,3102900
2014-07-31,105.74852,106.94416,100.44959,100.44959,2767144
2014-08-29,100.38133,105.69237,99.56001,105.57567,2945262
2014-09-30,105.92907,106.62488,99.73947,99.73947,2755159
2014-10-31,99.50056,104.925,93.44967,104.57709,5598582
2014-11-28,104.87325,107.1049,103.77119,105.7287,3010237
2014-12-31,105.55475,107.47015,101.4944,105.77805,4884572
2015-01-30,106.17944,106.58191,101.14857,102.28674,5161918
2015-02-27,102.43929,108.78575,101.26217,108.08251,4109558
2015-03-31,108.15825,110.54926,105.25116,109.39163,4054573
2015-04-30,109.26189,111.27284,107.66177,107.98612,6333554
2015-05-29,108.31047,110.99174,107.16012,109.4565,5093612
2015-06-30,109.86734,111.61881,107.58609,107.82395,5626262
2015-07-31,108.37534,109.29432,103.73825,106.78387,6273283
2015-08-31,106.70062,107.52447,94.00133,101.61918,7276207
2015-09-30,99.75202,104.21612,95.07833,96.8503,6370400
2015-10-30,96.9903,104.08674,95.30917,103.2777,4962486
2015-11-30,103.47221,105.78069,100.47333,104.635,4199754
2015-12-31,105.12555,105.46434,97.25001,98.76981,6961402
2016-01-29,97.33038,97.6921,84.84122,92.47962,8673689
2016-02-29,91.97046,94.85992,86.25095,93.86813,6332984
2016-03-31,94.60958,102.42155,94.10997,101.8794,5401975
2016-04-29,100.99062,105.78752,98.88544,104.01629,5992191
2016-05-31,104.22448,105.87206,100.29523,105.49161,7130953
2016-06-30,105.06254,108.38729,99.16976,105.3491,14360430
2016-07-29,105.22267,110.55386,103.29775,110.20618,7374994
2016-08-31,110.23778,111.92354,108.14113,111.00691,5976488
2016-09-30,111.07013,112.65052,107.4879,110.66646,6533731
2016-10-31,110.29991,110.80261,106.51922,107.44083,8152369
2016-11-30,107.61887,119.33797,104.93782,118.40589,9756868
2016-12-30,118.96095,124.51155,118.00792,121.00288,12753069
2017-01-31,122.35557,124.08284,120.19127,121.78328,13532347
2017-02-28,122.50124,126.07025,120.96126,124.24932,8692129
2017-03-31,125.64363,126.67375,118.54622,122.85774,11376127
2017-04-28,123.10649,125.74937,119.67592,123.36559,7797935
2017-05-31,123.69725,124.15328,118.33893,120.39105,7857768
2017-06-30,120.81599,124.83732,120.40142,122.92152,6708423
2017-07-31,123.42762,126.19571,121.63043,124.15063,4865202
2017-08-31,124.64641,124.64641,118.55249,122.34311,5987143
2017-09-29,122.5187,127.99353,120.86611,127.80853,7005496
2017-10-31,127.94214,129.74082,127.61324,128.88773,6379975
2017-11-30,129.65859,133.60539,125.83513,132.96815,6097078
2017-12-29,132.92704,134.67432,129.72026,132.77451,5885511
2018-01-31,133.31574,138.95268,132.87663,135.33769,9210759
2018-02-28,134.919,135.80743,123.0324,128.93485,6947267
2018-03-30,128.83274,135.33769,126.59212,129.41883,6210123
2018-04-30,129.16463,133.53689,125.54481,129.9374,5061508
2018-05-31,129.74421,137.48209,128.24951,135.80436,4777680
2018-06-29,136.59747,139.94276,134.70741,135.79139,4659796
2018-07-31,135.05185,140.26914,134.6365,139.1649,5605382
2018-08-31,139.05346,143.52109,137.69596,142.52828,4816471
2018-09-28,142.3358,142.89299,138.47822,139.36474,4207920
2018-10-31,139.65689,139.69719,122.57126,126.752,8960511
2018-11-30,127.12474,132.52444,125.13007,129.73393,6035895
2018-12-31,131.22489,131.70844,107.565,114.06,17625180
