Date,Open,High,Low,Close,Volume
2011-01-31,77.48389,77.80711,76.02369,76.5142,161703
2011-02-28,76.40363,77.70205,75.08945,77.54111,143998
2011-03-31,77.29969,78.25971,76.05167,76.66267,148304
2011-04-29,76.26656,78.53085,76.03198,78.40652,214387
2011-05-31,77.9478,80.5025,77.9478,80.21422,375277
2011-06-30,80.58745,80.83256,77.55221,78.22801,900880
2011-07-29,78.77059,80.99739,77.9019,80.9656,378430
2011-08-31,81.20883,85.64919,80.44183,81.66146,1847030
2011-09-30,84.27314,86.61085,81.44807,84.09298,824526
2011-10-31,84.55237,87.00564,81.49983,86.60517,1431987
2011-11-30,87.98348,87.99714,82.92147,83.42758,979227
2011-12-30,83.38676,87.28869,82.43032,86.70716,1259947
2012-01-31,86.50252,87.95267,85.49554,87.81066,1287889
2012-02-29,87.90248,89.64165,86.40906,88.63342,4423030
2012-03-30,88.29429,88.7949,83.5317,84.97635,3039213
2012-04-30,85.227,87.04453,84.40536,86.53194,1442179
2012-05-31,86.53595,88.9986,86.12479,88.73396,1719987
2012-06-29,89.00259,90.05978,87.50389,89.26989,1904502
2012-07-31,89.60903,98.98711,89.31758,93.77709,2535133
2012-08-31,93.77709,94.26818,89.55398,93.29087,3102063
2012-09-28,93.24877,93.31323,89.90094,92.95075,4050082
2012-10-31,93.06872,95.35733,92.51034,94.16846,8314838
2012-11-30,94.11734,94.35549,92.7593,92.81855,3350661
2012-12-31,92.41895,93.69714,90.82577,91.71217,2339503
2013-01-31,91.72258,91.85925,89.10953,89.30017,2722569
2013-02-28,89.72814,91.51912,88.55836,90.51286,3105476
2013-03-29,90.93923,91.06973,88.32284,89.183,4256281
2013-04-30,89.00152,93.67903,89.00152,92.84087,11293243
2013-05-31,93.382,93.50381,86.65691,87.12962,2477577
2013-06-28,86.75018,87.89872,80.55008,83.29501,2807707
2013-07-31,83.69078,85.17712,81.36073,83.43261,2066945
2013-08-30,83.2108,83.50232,79.63912,82.19888,3277108
2013-09-30,81.83668,83.07347,79.81364,81.98547,2201488
2013-10-31,81.85727,84.85472,81.55062,83.72733,2601065
2013-11-29,83.90888,83.95271,81.12165,82.61743,1848216
2013-12-31,82.49522,84.19753,81.84921,82.99269,1554440
2014-01-31,83.23989,86.03231,83.12188,86.02113,1416649
2014-02-28,85.91691,86.91165,85.00013,86.85968,4841291
2014-03-31,86.87141,87.97828,84.78834,87.25721,1182508
2014-04-30,86.50077,89.53343,86.06982,89.16878,2126635
2014-05-30,88.92063,91.11774,88.69676,90.50607,2246733
2014-06-30,89.77213,90.53892,88.5604,90.24878,1667365
2014-07-31,89.59944,91.28154,88.14324,89.99659,1966998
2014-08-29,89.07851,92.71595,89.07851,92.58768,2245368
2014-09-30,91.58836,91.58836,88.08827,89.52062,2987947
2014-10-31,89.72617,95.07414,89.59043,91.23975,3245050
2014-11-28,90.99075,91.58682,89.22288,91.46114,2633164
2014-12-31,91.4294,92.98874,89.67484,92.41594,2766306
2015-01-30,93.00062,97.68286,92.47892,97.63057,8241177
2015-02-27,96.92236,97.29088,92.26086,94.2385,5107926
2015-03-31,93.89126,95.05926,91.28835,94.09675,6574402
2015-04-30,94.62366,94.99904,91.09105,91.84535,4841447
2015-05-29,91.00187,91.20588,87.42947,88.90322,7139767
2015-06-30,88.57321,88.63044,84.50362,85.30842,5380149
2015-07-31,84.65912,87.59465,84.46947,87.33402,5002820
2015-08-31,86.87718,87.59354,84.98893,85.16164,3520428
2015-09-30,84.9986,86.85767,84.69838,86.0309,2104464
2015-10-30,85.93685,87.96245,85.52736,86.51773,3457063
2015-11-30,85.99449,86.10679,84.30767,85.97272,2721118
2015-12-31,85.7516,86.49021,83.65872,84.1884,3148576
2016-01-29,84.4987,85.13749,82.99834,83.84172,4039039
2016-02-29,83.50101,85.09809,82.89616,84.42188,3722741
2016-03-31,84.40113,89.67281,83.45238,89.44945,6873751
2016-04-29,89.39802,91.36875,89.08998,91.21923,5638949
2016-05-31,91.00914,91.71041,89.52033,90.59016,2919912
2016-06-30,90.58787,95.00363,90.02976,94.53705,3662725
2016-07-29,94.73912,97.64249,94.53999,96.62131,3570635
2016-08-31,96.21958,96.95908,94.3204,96.45352,3062446
2016-09-30,95.59095,96.5291,92.74113,95.69924,4778248
2016-10-31,95.32048,95.66957,92.51344,92.99908,3143391
2016-11-30,92.39085,92.97913,87.27748,88.2005,3759324
2016-12-30,86.99972,89.40948,86.59842,89.34958,5985437
2017-01-31,88.50987,90.97782,88.50551,89.41929,6709823
2017-02-28,88.88,91.07882,88.60963,90.83016,2857079
2017-03-31,89.86057,90.45987,87.3606,89.90168,3773521
2017-04-28,89.68916,91.80952,89.5598,90.65071,4040803
2017-05-31,90.37804,92.6402,89.80981,92.52957,2785084
2017-06-30,91.98164,94.97883,91.92062,93.29826,4013963
2017-07-31,93.26949,94.572,92.2102,93.70899,4375833
2017-08-31,93.16787,94.49995,92.72987,94.47868,6325350
2017-09-29,94.15869,94.75943,93.1903,94.23921,3258814
2017-10-31,94.12988,94.94918,93.31691,94.51102,3704904
2017-11-30,94.20996,95.3411,93.15037,94.35096,8120589
2017-12-29,94.67126,96.51919,94.35139,95.74959,4901996
2018-01-31,95.59181,95.88125,93.84996,94.72036,5016200
2018-02-28,94.51931,94.51931,90.01026,90.79874,6283756
2018-03-30,90.28033,91.44941,89.06037,91.36012,4972359
2018-04-30,90.93911,91.3807,88.04342,88.74976,4340192
2018-05-31,88.6098,89.66201,86.90113,88.89012,4616254
2018-06-29,88.33042,88.66202,86.70015,87.57072,4584931
2018-07-31,87.35973,89.56145,87.02006,89.15937,7363037
2018-08-31,88.10056,89.73044,87.99047,88.53886,8918680
2018-09-28,87.69966,88.40053,86.79971,87.98915,3120122
2018-10-31,87.59021,87.85031,84.40022,84.52976,5699357
2018-11-30,84.00026,85.32979,83.22008,83.5003,4606341
2018-12-31,83.54982,86.53005,83.50965,85.18,5105210
