Date,Open,High,Low,Close,Volume
2011-01-31,60.80695,61.74031,59.68212,59.88564,1522235
2011-02-28,60.05962,64.50973,60.05962,63.21967,1249775
2011-03-31,63.31049,63.56981,60.14934,63.14089,1330179
2011-04-29,63.41881,65.87092,62.24911,65.67615,840581
2011-05-31,66.10836,66.29,63.71972,65.50874,836487
2011-06-30,65.43871,65.58643,60.55967,65.41026,941240
2011-07-29,65.38838,68.00133,63.37942,64.19898,851487
2011-08-31,64.96054,64.96054,54.00212,60.30253,1423721
2011-09-30,60.19967,61.84097,55.56135,55.75722,621122
2011-10-31,55.28999,64.71982,52.46695,62.98879,809133
2011-11-30,61.1374,63.66173,58.09881,62.10577,822478
2011-12-30,61.80924,63.70112,59.92722,61.81226,863662
2012-01-31,63.02949,66.87974,62.09175,65.80927,811294
2012-02-29,66.10063,69.83973,65.95063,69.34981,810326
2012-03-30,69.75772,73.17848,68.25884,72.19973,1513713
2012-04-30,72.19973,73.40941,69.42967,72.72094,1051315
2012-05-31,72.6508,73.71911,66.25062,68.41099,1497595
2012-06-29,66.8096,70.28216,65.6215,69.33902,1266766
2012-07-31,69.63146,70.71812,67.40095,69.26133,1580717
2012-08-31,69.61204,72.9195,68.13906,72.70044,1513354
2012-09-28,72.61843,76.89169,72.03895,74.97951,967633
2012-10-31,75.33777,76.94132,73.07057,74.3396,1551675
2012-11-30,74.55866,76.49889,71.58033,76.3899,1324408
2012-12-31,76.64025,78.12942,73.91012,75.87193,1494503
2013-01-31,77.54994,81.74982,77.01902,80.46029,1937712
2013-02-28,80.80129,82.04873,79.01105,81.00847,1442524
2013-03-29,80.50129,84.90081,80.32108,84.82851,1147993
2013-04-30,84.8598,87.47771,82.87856,87.43239,1372062
2013-05-31,87.35038,93.39013,86.87881,90.41936,1825749
2013-06-28,90.37187,92.3693,86.88852,91.1402,2054817
2013-07-31,91.86104,96.67925,91.28048,96.02963,2871699
2013-08-30,97.08068,98.15115,92.86029,93.46135,1775797
2013-09-30,94.45845,100.12052,93.66962,98.81912,1911459
2013-10-31,98.94105,103.73228,95.29044,102.98123,2734015
2013-11-29,103.20892,106.98039,101.03776,106.55846,1738924
2013-12-31,106.6804,108.17206,104.11752,108.07577,2132712
2014-01-31,108.06508,108.08647,101.11001,101.86211,5291370
2014-02-28,101.77974,108.97444,98.79915,108.5679,2871681
2014-03-31,107.55155,110.35455,103.30747,105.77561,4717469
2014-04-30,106.21638,108.25765,100.55904,103.99859,2692323
2014-05-30,104.11735,106.55659,101.87174,106.47101,1739337
2014-06-30,106.57799,109.40238,106.0987,109.17772,1588641
2014-07-31,109.50937,111.29601,106.98453,107.08082,1396173
2014-08-29,106.99523,112.10909,106.06233,111.77744,3342003
2014-09-30,111.79884,112.68681,108.40743,108.50371,1366054
2014-10-31,108.24695,111.77744,100.4788,111.27461,3919443
2014-11-28,111.28531,117.71508,109.43448,117.50111,2064180
2014-12-31,117.06248,118.04261,111.82023,116.89113,4337823
2015-01-30,117.41933,117.47215,110.82737,113.26766,4575318
2015-02-27,113.4895,123.36688,111.78869,122.58514,2018383
2015-03-31,122.5112,125.00431,119.79624,122.4795,3881477
2015-04-30,122.28935,125.98677,121.16956,121.87735,1844966
2015-05-29,122.3633,125.16277,121.41254,123.64155,1536065
2015-06-30,123.86339,127.23332,122.44781,124.22257,1978718
2015-07-31,125.31067,129.59967,123.35632,129.12429,4165858
2015-08-31,129.39895,129.65249,100.00028,120.88433,4923099
2015-09-30,119.64834,125.57477,114.33022,117.84614,2295326
2015-10-30,118.06588,127.73467,116.62185,126.98126,4372147
2015-11-30,128.11137,128.70782,121.06907,126.39527,3958309
2015-12-31,126.94986,127.80792,120.69236,122.55633,2724795
2016-01-29,120.48193,120.91974,107.11821,115.44708,4328164
2016-02-29,114.86333,117.91759,105.14805,116.56246,3795163
2016-03-31,117.60487,124.52586,117.16706,124.05854,2284797
2016-04-29,123.37313,126.02129,121.20268,123.93392,1368343
2016-05-31,124.34931,125.7409,119.40608,123.7366,1385394
2016-06-30,123.22774,124.9101,115.64988,121.87073,2143631
2016-07-29,121.98459,128.42281,121.06337,127.86387,2405059
2016-08-31,127.89492,129.26123,125.183,126.43545,1480829
2016-09-30,126.74598,127.53264,122.6574,125.81856,1547602
2016-10-31,125.4886,126.33413,121.61155,122.67362,1065429
2016-11-30,122.73548,131.05671,120.16797,129.12849,2083914
2016-12-30,129.046,133.47986,128.16954,128.68305,2173874
2017-01-31,129.53431,134.81619,128.58049,133.52392,2393547
2017-02-28,133.89314,137.83148,132.34447,135.86231,1628890
2017-03-31,137.2879,138.73367,134.80724,138.46782,1771867
2017-04-28,138.60074,142.99752,136.33078,141.87276,1342866
2017-05-31,142.17951,143.06909,138.40647,142.92594,1385833
2017-06-30,143.25315,145.26748,140.14705,141.96158,1792787
2017-07-31,142.38973,146.06976,139.45386,144.1431,1258530
2017-08-31,144.6426,144.9892,138.66892,141.70673,1320158
2017-09-29,142.06352,143.6334,140.79947,143.34326,1210374
2017-10-31,143.58699,146.18676,143.11984,145.69931,1030628
2017-11-30,146.19692,153.52911,144.04398,152.96041,1076390
2017-12-29,152.68621,157.28338,150.65513,155.96745,1543177
2018-01-31,156.72664,171.47512,156.22051,168.99511,2176848
2018-02-28,168.12457,169.33927,152.42458,162.76977,2731409
2018-03-30,162.79002,167.92212,155.3868,158.61834,2286848
2018-04-30,157.69937,164.18266,152.79146,161.67821,1912492
2018-05-31,161.26417,166.40435,158.48706,165.23291,1714363
2018-06-29,165.92971,175.82632,165.92971,169.62717,1618996
2018-07-31,168.38909,176.15981,167.93613,172.1134,1518544
2018-08-31,171.99261,181.24299,170.29151,180.90076,1901409
2018-09-28,180.82023,182.49114,177.89111,180.45089,1257820
2018-10-31,181.77552,181.94612,154.8815,161.98634,3653729
2018-11-30,162.7189,171.96121,153.99841,165.75953,1838052
2018-12-31,169.4424,170.09468,139.155,150.52,4461410
