Date,Open,High,Low,Close,Volume
2011-01-31,77.35618,77.91126,77.14936,77.70801,3239929
2011-02-28,77.67829,77.77814,77.12916,77.71052,4440369
2011-03-31,77.65713,78.19816,77.37957,77.42811,4411440
2011-04-29,77.42574,78.35154,77.28605,78.19754,3943773
2011-05-31,78.32871,78.67615,78.07582,78.57639,2982030
2011-06-30,78.55398,78.90191,78.26938,78.35532,3996774
2011-07-29,78.50718,78.83679,78.26468,78.74993,3494370
2011-08-31,78.79927,79.19872,78.08732,78.53205,6258059
2011-09-30,78.65987,78.65987,77.52708,77.61486,3834400
2011-10-31,77.37376,78.25975,77.13734,78.07957,5422791
2011-11-30,78.19054,78.34006,77.08785,77.26914,4071769
2011-12-30,77.26797,77.89753,77.2295,77.86563,6011617
2012-01-31,77.7715,78.8825,77.64715,78.69695,7284719
2012-02-29,78.81875,79.3767,78.54151,79.26258,9270478
2012-03-30,79.16069,79.35174,78.90016,79.0344,6982717
2012-04-30,79.24704,79.36376,78.89341,79.21961,7264807
2012-05-31,79.16886,79.35343,78.84932,78.94515,5220087
2012-06-29,78.90946,79.22147,78.73906,79.15156,5790709
2012-07-31,79.27222,79.82038,79.10099,79.72096,5989207
2012-08-31,79.85746,80.11095,79.5707,80.09189,7764098
2012-09-28,80.16745,80.49262,79.90297,80.33181,9412227
2012-10-31,80.46325,80.74785,80.3741,80.6987,10930294
2012-11-30,80.77756,80.77756,80.30142,80.4284,8674501
2012-12-31,80.39537,80.54004,80.04223,80.31676,7945110
2013-01-31,80.26208,80.4284,79.99894,80.17033,14402513
2013-02-28,80.23516,80.53542,80.02248,80.3099,10417186
2013-03-29,80.35192,80.46321,80.19747,80.33738,9904548
2013-04-30,80.31244,80.6775,80.23648,80.57945,21142768
2013-05-31,80.56813,80.66096,79.79444,79.94931,11582163
2013-06-28,79.89731,79.98209,78.21305,79.2185,16905109
2013-07-31,79.11015,79.72979,78.69254,79.54677,13647736
