Date,Open,High,Low,Close,Volume
2011-01-31,73.80967,74.1288,71.99655,72.21048,1020281
2011-02-28,72.31095,74.62995,72.23885,74.26118,868878
2011-03-31,74.67013,75.81191,71.89963,75.58852,892044
2011-04-29,75.82018,79.65327,75.80127,79.56935,1193155
2011-05-31,79.86838,81.9108,78.99846,81.72051,1401400
2011-06-30,81.46048,81.66968,77.85787,79.91802,1885080
2011-07-29,79.69109,81.66968,78.60723,78.76798,1253276
2011-08-31,79.47006,79.47006,71.74006,78.94646,2505941
2011-09-30,79.03037,79.64026,75.07909,76.23505,1702975
2011-10-31,75.97856,81.07989,73.3818,79.65327,1535549
2011-11-30,78.00916,81.33046,77.00095,81.26782,1656266
2011-12-30,81.14844,82.36349,80.0705,81.47198,1403444
2012-01-31,82.07015,82.24914,80.11975,80.60937,2920108
2012-02-29,81.16135,83.96049,81.07936,83.71107,1204955
2012-03-30,83.96049,86.45016,82.94892,86.27926,1092384
2012-04-30,86.32083,87.13956,84.48014,86.47326,1706086
2012-05-31,86.5795,86.99868,84.03902,85.12219,1312945
2012-06-29,84.01823,88.25159,83.23992,88.21002,1270001
2012-07-31,88.82205,91.1997,87.1511,90.38906,1174777
2012-08-31,90.58999,91.26091,88.78047,90.15002,1758349
2012-09-28,90.18005,92.68819,89.9999,91.57962,1313194
2012-10-31,91.69972,93.4284,89.75971,90.60846,1310045
2012-11-30,90.87868,92.48033,86.94902,92.33253,2027652
2012-12-31,92.6778,93.36719,86.55063,87.90055,1735142
2013-01-31,89.58073,93.48036,89.15924,93.08081,2336555
2013-02-28,93.53925,96.76104,92.8718,95.97118,1652735
2013-03-29,95.3199,100.76922,95.3199,100.73112,1798231
2013-04-30,100.74844,104.71851,99.85927,103.68153,2676709
2013-05-31,103.47599,107.12504,101.97249,101.97249,2521451
2013-06-28,102.04639,105.25201,99.77266,102.00366,2084085
2013-07-31,102.41591,107.75207,101.93091,106.62272,1325342
2013-08-30,107.44837,107.92413,101.00018,102.00366,1342636
2013-09-30,102.6792,107.86178,101.5995,103.6619,1200548
2013-10-31,103.59724,111.51429,102.77043,109.84912,1568198
2013-11-29,109.99116,112.52817,109.27059,111.66903,1149880
2013-12-31,111.69097,112.64134,108.42794,110.0973,1405871
2014-01-31,109.8635,109.8635,103.09233,104.22406,2315413
2014-02-28,104.00494,108.78598,101.75391,108.27659,1873647
2014-03-31,107.54922,110.88115,107.12228,110.78176,1251040
2014-04-30,110.93311,113.98606,109.75394,113.63593,1317565
2014-05-30,113.76017,116.00781,112.59681,115.94004,1699715
2014-06-30,116.0304,117.86014,114.88964,115.8271,1914748
2014-07-31,116.05299,117.96179,111.81748,111.82878,2624179
2014-08-29,111.97448,117.13728,111.76101,117.11469,2047717
2014-09-30,117.06951,118.69595,116.6742,117.49871,1332599
2014-10-31,117.36318,122.0053,113.78276,121.80199,3723653
2014-11-28,121.70034,128.54492,121.59869,128.05925,1837613
2014-12-31,127.68653,127.90113,123.36066,125.24565,2946501
2015-01-30,125.32318,129.03392,122.89736,123.4512,3383265
2015-02-27,123.70597,128.91207,122.53182,128.70161,2021590
2015-03-31,128.70161,129.01177,123.32935,126.99578,3943432
2015-04-30,126.92932,129.3773,125.09057,125.53364,1799459
2015-05-29,125.97672,129.21115,125.62226,127.01794,1327468
2015-06-30,127.38347,128.50223,123.69489,124.90226,1980104
2015-07-31,125.67764,131.4819,125.16811,130.99452,1853287
2015-08-31,131.01667,132.99942,84.61918,123.69489,3924546
2015-09-30,122.47644,127.11763,119.50423,121.25302,2086936
2015-10-30,121.67664,131.23524,119.93871,128.32421,2100791
2015-11-30,128.68266,129.05197,122.75198,127.16197,2027873
2015-12-31,127.45525,131.18093,125.97801,129.0781,2898762
2016-01-29,127.51398,129.08889,120.32979,129.0781,3967381
2016-02-29,128.54954,131.89353,123.99739,129.59588,3160860
2016-03-31,130.29704,136.00888,130.01658,135.32175,3590197
2016-04-29,134.8064,137.07178,131.36001,133.88307,2603878
2016-05-31,134.14074,138.18837,132.26187,135.02113,2362873
2016-06-30,134.93524,141.14057,134.72363,141.14057,2928954
2016-07-29,141.47156,143.71375,139.0265,140.80958,3949126
2016-08-31,140.83093,141.99473,139.30411,139.96609,2405898
2016-09-30,139.75254,141.26869,135.10972,136.87114,2551067
2016-10-31,136.66953,136.69075,133.56051,135.82065,2116093
2016-11-30,135.93737,136.12837,129.4965,130.71677,2947907
2016-12-30,130.73799,135.99043,129.23123,133.97708,3174816
2017-01-31,134.48277,137.1798,133.04997,135.73647,2853406
2017-02-28,135.27292,142.36316,134.70401,141.80479,2641106
2017-03-31,141.99442,143.24812,140.16478,140.63608,2132344
2017-04-28,140.65703,143.66288,140.14383,142.15472,1620201
2017-05-31,142.2385,145.71565,140.17525,145.29672,1825566
2017-06-30,145.44335,147.11908,140.19364,141.02541,1938232
2017-07-31,141.32692,143.26077,138.08305,141.88836,2154684
2017-08-31,142.13789,143.1568,139.10196,140.17285,2341605
2017-09-29,140.21444,142.65774,137.87291,138.55534,1852368
2017-10-31,138.6484,140.44755,135.28792,136.52871,2461629
