Date,Open,High,Low,Close,Volume
2011-01-31,36.41852,37.55023,35.26909,36.93248,44086936
2011-02-28,37.41858,38.49839,37.1211,38.27812,30386778
2011-03-31,38.39205,38.43256,33.98041,37.30844,44900413
2011-04-29,37.4274,39.78892,36.64908,39.62313,53594061
2011-05-31,39.82941,39.94078,36.56176,38.54994,35518628
2011-06-30,38.39175,38.41326,35.75054,38.07916,49325587
2011-07-29,38.02094,38.52083,35.98087,37.16543,25330595
2011-08-31,37.6109,37.66026,31.37174,33.9851,72609256
2011-09-30,33.8307,34.10027,29.10893,30.12264,48972432
2011-10-31,29.82903,35.35949,28.63941,33.07643,42169961
2011-11-30,31.80203,33.37764,29.36204,32.38291,33660477
2011-12-30,32.23991,32.78915,29.8913,30.62895,60691012
2012-01-31,31.26139,32.8211,30.32067,32.34768,52508518
2012-02-29,32.77094,34.50069,32.72935,33.9294,42138221
2012-03-30,34.09088,34.67072,32.61681,34.03093,54892535
2012-04-30,33.87929,34.50052,31.99968,33.22259,52246356
2012-05-31,33.17,33.51119,29.18212,29.50863,55443972
2012-06-29,28.99012,31.62058,28.74799,31.57045,57886108
2012-07-31,31.67806,32.14032,29.90852,31.65116,49314577
2012-08-31,31.85171,33.45127,30.98101,32.69429,48417727
2012-09-28,32.58179,35.17067,32.33721,32.88648,47317574
2012-10-31,33.19928,34.23717,32.66835,33.22805,42003563
2012-11-30,33.43898,34.22998,31.97802,34.1329,56786566
2012-12-31,34.26833,35.58187,34.12212,35.22832,67582978
2013-01-31,35.80959,36.84987,35.16001,36.58381,64101366
2013-02-28,36.8295,36.97212,35.42967,36.15715,77242630
2013-03-29,35.92704,37.25496,35.78801,36.43114,67704246
2013-04-30,36.24858,38.33432,35.91926,38.33432,60869444
2013-05-31,38.32,39.66833,37.17452,37.18525,57570564
2013-06-28,37.18883,37.82601,34.32885,35.60142,64041955
2013-07-31,35.97979,38.09956,35.42047,37.45094,68526637
2013-08-30,37.93153,38.58955,36.82112,36.85167,70925434
2013-09-30,37.71297,40.58712,37.39336,39.57937,72920792
2013-10-31,39.62267,41.56173,38.83861,40.85023,80169972
2013-11-29,40.65246,41.32183,40.0381,41.11938,64118035
2013-12-31,40.99183,41.87962,39.63086,41.6794,68060527
2014-01-31,41.22076,41.69919,39.30587,39.50841,69599304
2014-02-28,39.46884,42.06936,38.71918,41.85866,69060948
2014-03-31,41.17885,42.30101,40.17077,41.26994,71154639
2014-04-30,41.4807,41.95867,40.37965,41.91836,86403548
2014-05-30,42.1798,42.67159,41.60854,42.66007,57971222
2014-06-30,42.77179,43.47895,42.1421,42.58822,65001566
2014-07-31,42.82038,43.14928,41.54918,41.57991,63698813
2014-08-29,41.43993,41.96912,40.43047,41.69144,60563962
2014-09-30,41.76086,42.1091,39.6091,39.75174,59498166
2014-10-31,39.51966,39.63967,36.35995,39.6091,120639902
2014-11-28,39.37815,39.94081,38.65926,39.6091,62672171
2014-12-31,39.58985,39.70986,37.09016,37.87904,160807605
2015-01-30,37.94992,38.88936,36.30956,38.14906,124454740
2015-02-27,38.4382,40.64898,38.30207,40.50159,129283271
2015-03-31,40.52072,41.21152,38.86011,39.82999,108855789
2015-04-30,40.05177,42.28863,39.82999,41.37014,110142501
2015-05-29,41.5908,42.51041,40.88849,41.34886,70153704
2015-06-30,41.41718,41.95932,39.51009,39.65058,98773967
2015-07-31,40.11853,40.77233,38.17041,40.22916,117230827
2015-08-31,40.24797,40.63958,35.1116,37.31859,173659438
2015-09-30,36.31963,38.01221,34.71068,35.64026,166741783
2015-10-30,35.84072,38.69004,35.4387,38.04022,117211108
2015-11-30,38.23076,38.4995,36.87053,37.75055,107589122
2015-12-31,38.04022,38.17128,35.93103,36.71867,257123226
2016-01-29,36.10892,36.17132,32.21943,34.69018,267378807
2016-02-29,34.40008,34.75039,31.95013,33.61846,219462336
2016-03-31,34.09138,36.40115,34.02569,35.88016,167520234
2016-04-29,35.15101,37.69924,34.66926,36.70959,128146780
2016-05-31,37.01041,37.05837,35.54992,36.6006,184009839
2016-06-30,36.46109,37.63603,33.00889,35.36022,246615359
2016-07-29,35.39033,36.9095,34.16897,36.83101,138650025
2016-08-31,36.76865,37.69972,36.09992,36.97938,140749858
2016-09-30,37.17936,38.18246,36.26185,37.41008,147710312
2016-10-31,37.34908,37.52886,36.06494,36.51118,143369147
2016-11-30,36.67063,36.67063,35.51919,35.96114,157904434
2016-12-30,35.97184,37.4593,35.79528,36.54028,201786218
2017-01-31,36.72072,38.25548,36.65279,37.87975,179913488
2017-02-28,38.09945,38.79148,37.81819,38.28095,133113776
2017-03-31,38.51976,39.64058,38.16208,39.29877,199017910
2017-04-28,39.24062,40.32544,38.77857,40.16895,158891735
2017-05-31,40.24931,41.72111,40.24931,41.53925,183423713
2017-06-30,41.69151,42.24978,40.96355,41.31887,190162392
2017-07-31,41.29066,42.61999,40.87472,42.50816,133976382
2017-08-31,42.81855,42.86035,41.72959,42.51861,153628364
2017-09-29,42.71927,43.5804,42.16016,43.41077,138173835
2017-10-31,43.27963,44.21943,43.18909,44.17988,132737911
2017-11-30,44.40156,44.7908,43.41077,44.5608,173171568
2017-12-29,44.41821,45.06036,43.9811,44.86052,155551141
2018-01-31,45.03987,47.88991,44.98936,46.98903,205513288
2018-02-28,46.921,47.16013,42.52998,44.58943,287281073
2018-03-30,44.3503,45.35013,43.29068,44.25012,213977720
2018-04-30,44.06938,45.49068,43.31047,44.80878,180172050
2018-05-31,44.86013,45.74022,43.61034,44.17002,154352456
2018-06-29,44.51097,45.21956,42.31087,42.8991,192675619
2018-07-31,42.23988,44.0502,42.20539,43.87982,164153447
2018-08-31,43.85041,43.94067,41.5695,43.12019,177439428
2018-09-28,42.59079,43.98529,41.77031,43.27001,146146148
2018-10-31,43.44987,43.51758,38.38027,39.55041,356422631
2018-11-30,39.88993,40.89031,38.68543,39.75048,314984594
2018-12-31,40.35981,40.39012,35.745,37.1,750760101
