Date,Open,High,Low,Close,Volume
2011-01-31,48.12921,49.06815,46.58863,48.11284,19274622
2011-02-28,48.65784,49.7516,47.95803,49.42938,16435640
2011-03-31,49.67985,49.87998,44.88191,49.32366,26415846
2011-04-29,49.59175,52.07757,48.35073,52.00331,13537394
2011-05-31,52.16819,52.28776,47.88125,50.36078,19694072
2011-06-30,50.26009,50.2991,46.84791,49.80823,19056375
2011-07-29,49.76166,50.40105,47.49233,48.6314,16285201
2011-08-31,49.17136,49.32995,40.82279,44.51061,35916476
2011-09-30,44.36838,44.89827,37.61955,38.71834,22272018
2011-10-31,38.40997,45.73779,36.71962,43.17016,16368138
2011-11-30,41.55028,43.73025,38.29166,42.05878,16316465
2011-12-30,41.82844,42.68936,38.71766,39.64923,28856903
2012-01-31,40.58689,42.94259,39.55802,42.36735,21889153
2012-02-29,42.8599,45.30073,42.8599,44.61968,16151348
2012-03-30,44.84102,45.17182,42.79787,44.22078,17476521
2012-04-30,44.10159,44.89088,41.9198,43.41568,18361964
2012-05-31,43.43879,43.84863,38.09377,38.46956,19121084
2012-06-29,37.82256,41.01255,37.5392,40.98215,19070443
2012-07-31,41.00039,41.76535,38.95359,41.17552,12569104
2012-08-31,41.45037,43.39865,40.37771,42.26519,17979719
2012-09-28,42.25546,45.58409,41.84805,42.9582,16061688
2012-10-31,43.40849,44.45838,42.61779,43.29144,14500384
2012-11-30,43.55899,44.25055,41.68734,44.069,19439715
2012-12-31,44.27922,46.0792,44.10006,45.74715,29547142
2013-01-31,46.37899,47.2115,45.56082,46.85915,28418068
2013-02-28,47.18044,47.38946,45.40913,46.20222,23039832
2013-03-29,45.98842,47.14939,45.76976,46.36162,16446430
2013-04-30,46.14131,48.11815,45.36129,48.0979,17715127
2013-05-31,48.04908,49.48764,46.49023,46.51048,18607481
2013-06-28,46.5212,47.12139,42.52025,44.2211,19919770
2013-07-31,44.62635,47.22814,43.95094,46.30136,20883359
2013-08-30,46.82055,47.55939,45.30998,45.38046,23092530
2013-09-30,46.22384,50.10127,45.93488,48.59714,23775538
2013-10-31,48.68835,51.12996,47.92944,50.22137,23744320
2013-11-29,50.03895,50.71133,49.00056,50.39209,18017853
2013-12-31,50.20266,50.81707,48.58778,50.73005,22501071
2014-01-31,50.00144,50.42724,47.46175,47.79241,26178559
2014-02-28,47.67058,50.66856,46.8828,50.48061,21098968
2014-03-31,49.7462,50.9911,48.61963,50.31146,21142862
2014-04-30,50.61875,51.07105,49.37923,51.05034,20875113
2014-05-30,51.16082,52.14024,50.71082,52.0309,18142820
2014-06-30,52.20239,53.2428,51.76823,52.29041,19646047
2014-07-31,52.49973,53.06741,51.47927,51.5225,16599618
2014-08-29,51.34958,52.34956,50.31092,52.03899,19189942
2014-09-30,52.10952,52.7193,49.11004,49.2413,18075830
2014-10-31,48.99235,49.34201,45.4018,49.34201,38244662
2014-11-28,49.02969,49.71997,48.12895,49.17793,22686581
2014-12-31,49.06138,49.13154,45.61115,46.8609,53472108
2015-01-30,46.98887,47.95092,45.06141,46.8508,51027637
2015-02-27,47.22013,49.78073,47.09103,49.58989,28830772
2015-03-31,49.61009,50.04902,47.43005,48.73052,29719581
2015-04-30,49.0483,52.13095,48.75961,51.03999,29416336
2015-05-29,51.21902,52.11081,50.30933,50.51074,33801717
2015-06-30,50.61032,51.03104,48.37163,48.552,36708811
2015-07-31,49.00017,49.32109,46.44946,48.40814,47851635
2015-08-31,48.36056,48.79103,41.6092,44.66009,50922546
2015-09-30,43.43066,45.60956,41.50968,42.63236,52130795
2015-10-30,42.96917,46.4572,42.40012,45.4809,49427193
2015-11-30,45.68013,46.16002,43.94877,44.87994,48772791
2015-12-31,45.18813,45.35873,42.44965,43.41059,84972575
2016-01-29,42.62863,42.68215,37.79383,40.97844,79040328
2016-02-29,40.58091,40.98936,37.8255,39.98134,58693206
2016-03-31,40.55033,43.75915,40.5001,43.16927,46155315
2016-04-29,42.33995,45.24583,41.66082,44.05953,37284377
2016-05-31,44.41107,44.41107,42.33015,43.708,38738193
2016-06-30,43.4087,45.09129,39.96022,42.85037,67199804
2016-07-29,42.92991,44.72268,41.45957,44.66894,34041897
2016-08-31,44.62058,45.84908,43.82414,44.97956,39687295
2016-09-30,45.16013,46.47354,44.063,45.43105,47261316
2016-10-31,45.40005,45.65015,43.92405,44.66045,33270225
2016-11-30,44.84962,44.84962,43.05085,43.70923,44480579
2016-12-30,43.69854,45.40005,43.45058,44.17986,53957580
2017-01-31,44.47023,46.40957,44.38969,46.01004,43815442
2017-02-28,46.21034,47.29976,45.9613,46.58973,35479994
2017-03-31,46.90023,48.39766,46.40003,47.83041,39345021
2017-04-28,47.83992,49.05894,47.18076,48.83077,32062376
2017-05-31,49.03993,50.63079,48.92901,50.31917,39282061
2017-06-30,50.48924,51.11988,49.62904,50.03135,48103958
2017-07-31,50.08047,51.88096,49.57992,51.72108,34039541
2017-08-31,52.06174,52.16937,50.83076,52.05129,41367635
2017-09-29,52.28014,53.24047,51.58001,52.71078,30993789
2017-10-31,52.59959,53.8891,52.56011,53.74051,38166868
2017-11-30,54.01067,54.60919,52.84274,54.08029,37392960
2017-12-29,53.92962,54.93173,53.29994,54.71949,39510242
2018-01-31,55.06877,58.90047,54.9307,57.83926,52201024
2018-02-28,57.64968,57.9258,52.07573,54.76998,76934952
2018-03-30,54.62986,55.91052,53.19979,54.37111,52911028
2018-04-30,54.19957,55.51953,53.08916,54.6803,40447694
2018-05-31,54.59094,55.70032,52.94021,53.59044,40580936
2018-06-29,54.00029,54.76043,51.03999,51.84003,52886981
2018-07-31,51.11005,53.55077,51.04507,53.34061,39404145
2018-08-31,53.21979,53.28985,50.25011,52.08979,43291441
2018-09-28,51.39026,52.86445,50.21153,52.05023,51165443
2018-10-31,52.28962,52.3472,46.28472,47.73014,79852812
2018-11-30,48.18972,49.54019,46.97965,48.43012,64536914
2018-12-31,49.2897,49.3402,44.06,45.58,158173041
