Date,Open,High,Low,Close,Volume
2011-01-31,33.30018,34.35766,32.97732,33.67334,4882274
2011-02-28,33.87805,35.23967,33.5587,34.62905,3268330
2011-03-31,34.72146,34.72146,32.50005,33.8875,3181998
2011-04-29,34.17034,34.64134,32.91044,34.13177,1977516
2011-05-31,34.29072,34.29072,32.22906,33.19795,1991080
2011-06-30,33.09977,33.09977,30.73191,32.10962,2452955
2011-07-29,32.05961,32.91911,30.53833,31.0652,2741349
2011-08-31,31.50018,31.51065,25.20107,28.24712,4333764
2011-09-30,28.24944,28.30178,24.22876,24.91765,3099711
2011-10-31,24.70961,29.6402,23.0002,28.36999,3295560
2011-11-30,27.0131,28.70864,24.89916,27.1437,2380468
2011-12-30,27.0235,28.16888,26.22138,27.61645,3921479
2012-01-31,28.07973,30.23097,27.77814,29.71609,5562373
2012-02-29,30.00048,31.41553,29.8904,31.02106,3285915
2012-03-30,31.15064,33.3716,30.33876,32.96847,4587495
2012-04-30,32.96961,33.35098,31.34106,32.44279,3518855
2012-05-31,32.40042,33.02229,29.17767,29.80184,2988383
2012-06-29,29.18798,31.09597,28.3508,31.06291,2500823
2012-07-31,31.19835,31.5375,29.99653,31.10388,2020954
2012-08-31,31.27118,32.42975,30.46087,32.05874,2001510
2012-09-28,32.0098,34.54204,31.91762,32.76033,2419356
2012-10-31,33.02847,34.14854,32.7773,33.27964,3013003
2012-11-30,33.3611,33.92905,31.44906,32.98548,2728566
2012-12-31,33.10993,34.72102,32.70942,34.09939,4101724
2013-01-31,35.0785,36.34135,34.77119,36.14172,6518992
2013-02-28,36.36154,37.41243,35.91068,36.72268,3761082
2013-03-29,36.5208,38.55191,36.24939,38.10929,5254293
2013-04-30,38.12943,39.04708,37.15359,39.04708,3991488
2013-05-31,38.98106,42.04958,38.54126,40.50189,6747914
2013-06-28,40.72795,41.09165,38.02163,39.91086,6267344
2013-07-31,40.15007,42.86042,39.77067,41.94028,5613068
2013-08-30,42.28853,42.61008,39.68945,39.79848,4673838
2013-09-30,40.21905,42.50327,39.77846,40.8141,3382648
2013-10-31,40.78089,43.13014,40.01146,42.312,4063029
2013-11-29,42.3585,44.18741,41.80163,43.90068,2982779
2013-12-31,43.94939,44.56936,42.95965,44.42072,3322564
2014-01-31,44.37013,45.02232,42.72149,43.05034,5332837
2014-02-28,42.98105,44.68908,41.94832,44.5087,8003276
2014-03-31,44.14026,46.25852,43.86091,45.53081,5654187
2014-04-30,45.71183,46.00147,43.44851,44.77162,5131247
2014-05-30,44.65862,45.46169,43.91149,45.38928,3989913
2014-06-30,45.47157,46.82868,45.19949,46.37764,4609436
2014-07-31,46.51955,46.93979,45.53934,45.55898,4953986
2014-08-29,45.43018,47.47902,44.93899,47.34148,3793778
2014-09-30,47.43972,48.12084,46.25262,46.4318,4953354
2014-10-31,46.31778,48.25185,43.70825,48.20841,9176167
2014-11-28,48.26054,49.40947,48.02923,49.16079,3764253
2014-12-31,48.99898,50.54133,47.72951,49.7107,10026296
2015-01-30,50.00088,50.05805,46.8887,46.95774,9806104
2015-02-27,47.05051,49.78836,46.63843,49.33961,4224587
2015-03-31,49.33098,50.75075,48.3504,49.27836,5948307
2015-04-30,49.17172,49.99894,48.88952,49.11895,9574525
2015-05-29,49.28805,50.81107,48.85075,49.93862,8840795
2015-06-30,50.19712,51.47995,49.42966,49.6698,10702145
2015-07-31,50.33124,51.95967,49.26778,51.09025,11040718
2015-08-31,51.13956,51.49977,31.35076,47.71975,12929013
2015-09-30,46.771,48.36834,45.37273,46.29112,6916672
2015-10-30,46.41897,49.99023,45.08081,49.03136,5661599
2015-11-30,49.10913,50.82978,48.46989,50.07014,6577014
2015-12-31,50.27043,50.70086,47.34055,48.44978,12313982
2016-01-29,47.59014,47.82487,41.78517,44.33132,16978549
2016-02-29,44.13042,44.40851,40.08598,43.20099,16575320
2016-03-31,43.55944,46.94937,43.55944,46.36966,10300950
2016-04-29,46.1282,48.57759,44.97784,47.67924,8907615
2016-05-31,47.78995,49.14802,46.8705,48.88864,13623454
2016-06-30,48.55123,49.12904,44.24978,47.35007,10821118
2016-07-29,47.24002,49.51859,46.0892,49.21149,9738616
2016-08-31,49.19053,50.84024,48.53128,50.80042,7032731
2016-09-30,50.89055,50.99851,48.4411,49.3601,22546136
2016-10-31,49.17984,50.74901,48.87976,50.28014,9630120
2016-11-30,50.37912,57.46123,49.35802,57.24034,20619291
2016-12-30,57.66962,60.67251,57.36016,59.34718,22678492
2017-01-31,60.04013,60.64906,58.26003,59.44054,21479429
2017-02-28,59.97789,62.81402,58.94883,62.32024,22601273
2017-03-31,63.54017,64.20097,58.30028,60.46925,34384261
2017-04-28,60.48995,61.51958,58.23923,60.05843,21913025
2017-05-31,60.33886,61.24018,58.39859,59.09088,13704715
2017-06-30,59.39925,63.45033,59.0143,62.54988,16778285
2017-07-31,62.85072,64.18492,62.32013,63.541,12761250
2017-08-31,63.89953,64.67018,61.12192,62.26037,11417773
2017-09-29,62.36958,65.4692,59.92062,65.3605,11759774
2017-10-31,65.53073,67.78985,65.28975,67.02074,13724671
2017-11-30,67.31915,70.29918,65.22104,69.38035,9704433
2017-12-29,69.51982,71.15032,67.85035,70.04023,14532959
2018-01-31,70.43,75.47966,69.69944,74.03894,17642741
2018-02-28,73.92058,74.82052,67.1792,72.02989,18627930
2018-03-30,71.99928,74.63074,67.52879,69.46992,18627170
2018-04-30,69.39061,71.00025,67.00004,69.21978,9767384
2018-05-31,69.14047,72.10962,67.04071,69.10996,11472585
2018-06-29,69.81056,71.79948,66.90918,67.45028,16083927
2018-07-31,67.02954,71.54949,66.74938,70.6099,10640500
2018-08-31,70.91939,72.51032,69.86045,71.57983,8656010
2018-09-28,71.4706,72.96949,69.26323,69.36992,7842792
2018-10-31,69.66986,71.02061,62.57998,65.65991,24036750
2018-11-30,65.9196,68.54962,64.87987,67.42031,13515586
2018-12-31,68.3,68.54962,55.16,59.36,32000017
