Date,Open,High,Low,Close,Volume
2011-01-31,62.06826,65.25039,61.85266,63.9394,4117809
2011-02-28,64.36954,67.21904,63.65987,65.50175,4191086
2011-03-31,65.82029,65.96873,60.35098,64.23085,4766497
2011-04-29,64.57106,66.18867,61.83207,66.18867,3082753
2011-05-31,66.24826,66.37827,62.69234,64.98819,2776982
2011-06-30,64.79967,65.04887,59.41053,63.34675,2900451
2011-07-29,63.4811,66.09116,62.73134,63.25899,3381357
2011-08-31,64.14093,64.27853,53.81012,59.20034,7300393
2011-09-30,59.2816,61.39869,55.29988,56.76472,4489544
2011-10-31,56.30967,65.14205,54.36052,63.77797,4393423
2011-11-30,62.02926,65.15071,58.35958,62.45939,2953348
2011-12-30,62.31096,64.14093,59.58886,61.37227,2759256
2012-01-31,62.53218,66.66122,61.69906,66.22907,3419041
2012-02-29,66.87084,71.71152,66.58275,70.85046,4545244
2012-03-30,71.04825,75.12892,69.11865,74.18078,5204857
2012-04-30,74.16035,75.22029,70.20224,72.70159,4578246
2012-05-31,72.70159,73.69918,65.00251,66.74829,5082529
2012-06-29,65.65073,69.43792,64.32097,68.72843,3327451
2012-07-31,68.82947,70.11086,65.6303,69.0907,2725260
2012-08-31,69.41104,73.94105,67.92003,72.62849,3080005
2012-09-28,72.65966,75.85024,71.87815,73.39818,2928802
2012-10-31,73.67016,74.18938,68.28875,68.62953,3509295
2012-11-30,69.009,70.32694,64.81009,69.71957,4139331
2012-12-31,70.24094,71.1708,67.58034,69.10897,4774002
2013-01-31,70.88056,71.95125,69.83137,70.64083,5617939
2013-02-28,71.11168,72.32104,69.96896,71.00955,3848304
2013-03-29,70.78166,73.20146,70.24094,72.90046,3435856
2013-04-30,72.84994,73.31003,68.73918,73.28961,4535394
2013-05-31,73.24016,77.44767,72.51992,76.40171,5196138
2013-06-28,76.5393,77.15957,72.35007,73.97975,4339655
2013-07-31,74.86017,78.64951,74.1711,78.00774,5407997
2013-08-30,78.69036,80.19857,77.29932,77.66912,4476656
2013-09-30,78.14104,82.00993,77.60139,80.69952,6775670
2013-10-31,80.80917,84.47058,78.35926,83.65251,8016596
2013-11-29,84.01049,86.87104,83.39022,86.63024,4217699
2013-12-31,86.82159,89.62821,85.80035,89.53888,5019685
2014-01-31,89.15925,90.70863,85.88076,87.44078,8565663
2014-02-28,87.44078,92.46006,85.03004,91.69016,8558190
2014-03-31,90.83092,93.30016,89.8696,91.52852,9034066
2014-04-30,91.83797,93.10981,87.23661,90.72884,7836556
2014-05-30,90.70863,94.07113,88.42762,93.84994,6408593
2014-06-30,94.01051,97.05824,93.08854,96.7892,6130290
2014-07-31,97.06781,99.72952,95.8183,97.29006,6219081
2014-08-29,96.99975,101.48095,95.97144,101.43097,6920215
2014-09-30,101.65428,102.41887,98.87879,100.08044,6598221
2014-10-31,99.90923,102.04455,91.32966,101.99138,10497027
2014-11-28,102.2785,107.38286,101.82762,107.07447,5121162
2014-12-31,106.81925,107.19423,101.06622,104.49335,7910187
2015-01-30,105.07053,105.40696,100.13241,100.81262,10084166
2015-02-27,100.9945,109.8436,99.42065,109.19177,10031605
2015-03-31,109.20228,110.29567,104.34616,106.52138,9286437
2015-04-30,106.11136,110.71621,104.73411,107.89863,6366954
2015-05-29,108.26659,111.56779,106.25854,110.57953,4949155
2015-06-30,111.01058,111.55728,105.84852,106.21649,5962323
2015-07-31,107.28885,111.736,104.38822,108.63456,6253187
2015-08-31,108.55046,109.20228,77.11025,102.3297,9680104
2015-09-30,101.31621,105.69082,97.25193,99.99858,6530700
2015-10-30,100.31822,111.53179,98.52947,110.48019,6528365
2015-11-30,110.97996,113.10398,107.25252,111.74003,6425687
2015-12-31,112.07321,113.33304,107.01305,108.2868,7591325
2016-01-29,106.31588,107.14574,94.30983,101.94146,11832550
2016-02-29,101.45184,102.61365,92.95093,100.93525,10552181
2016-03-31,101.78793,110.2348,101.65516,109.57342,8204949
2016-04-29,108.91203,110.41048,103.49691,104.40632,6557638
2016-05-31,104.49933,110.09013,103.17655,110.00745,6294340
2016-06-30,109.63542,110.63784,101.46822,107.07593,7551842
2016-07-29,106.95232,115.56372,105.41752,115.2032,8504144
2016-08-31,115.37831,118.68484,114.07012,117.89168,6204735
2016-09-30,117.69597,120.72545,115.00748,120.36615,10850273
2016-10-31,120.19163,121.41325,117.49173,119.7194,8186622
2016-11-30,119.84259,122.25505,116.34196,120.34561,10848192
2016-12-30,120.35588,124.49299,116.88605,121.48993,8830616
2017-01-31,122.29809,128.59969,121.72522,126.75832,10692499
2017-02-28,127.96544,134.04198,126.86062,133.00877,8458391
2017-03-31,133.73509,136.68129,132.7211,135.62874,9095988
2017-04-28,135.67975,139.19953,132.88434,138.80164,7762085
2017-05-31,139.29135,145.831,139.0567,144.923,12248334
2017-06-30,145.36169,148.24893,139.74406,140.84272,12102717
2017-07-31,141.58534,149.77446,139.41853,146.66158,8877992
2017-08-31,147.24143,151.43263,144.7796,151.219,8237727
2017-09-29,151.5547,152.72458,148.22819,151.99099,8013652
2017-10-31,152.40691,163.61628,151.60551,163.24094,10238605
2017-11-30,164.00176,168.22176,162.02363,165.00604,9552598
2017-12-29,164.13363,168.17829,159.99479,164.72832,11966813
2018-01-31,165.48711,179.18581,165.10266,177.17249,12888062
2018-02-28,176.37323,181.07773,157.95991,177.34448,17425194
2018-03-30,177.84022,186.34879,166.44551,170.99888,19726378
2018-04-30,170.27196,178.58111,164.6181,170.9585,10558452
2018-05-31,170.56475,184.50756,170.18109,183.00323,9556955
2018-06-29,184.16429,190.46431,178.97021,181.39676,12171016
2018-07-31,179.98715,193.50934,179.66495,186.15923,8864919
2018-08-31,187.50843,203.1249,186.51163,202.8027,12387680
2018-09-28,202.44023,203.33634,197.44618,202.55982,9261246
2018-10-31,203.58351,204.43658,175.12096,185.38795,19590651
2018-11-30,185.80947,190.63686,169.68136,182.66815,16136404
2018-12-31,187.15432,187.51562,154.72,166.83,22087004
