Date,Open,High,Low,Close,Volume
2016-03-31,52.22484,54.88448,51.41616,53.85896,347925
2016-04-29,53,56.36881,52.81983,54.69069,505163
2016-05-31,55.11179,55.48156,52.88582,55.10551,411302
2016-06-30,55.24063,56.98998,52.48076,55.84032,1088306
2016-07-29,56.2797,57.70118,54.92085,57.47887,560709
2016-08-31,57.59994,58.07168,56.16907,56.36111,665380
2016-09-30,56.43938,58.35973,55.86086,57.01957,427932
2016-10-31,57.02998,57.26943,54.46894,54.67924,363130
2016-11-30,54.83956,54.83956,51.50084,52.42948,700907
2016-12-30,52.32017,53.52885,51.87979,52.79032,994042
2017-01-31,53.12031,55.01201,52.91069,54.76919,1342467
2017-02-28,55.12927,56.58619,54.60109,55.68132,1075120
2017-03-31,56.09951,58.18008,55.56925,57.46002,1466505
2017-04-28,57.69041,59.5098,57.25958,59.3104,1510634
2017-05-31,60.33116,62.36854,59.28044,62.11025,2068246
2017-06-30,62.34891,63.12481,61.23037,61.69151,2105600
2017-07-31,61.99995,63.55859,60.58888,63.15996,1879066
2017-08-31,63.59035,63.81785,62.04094,63.65901,2308047
2017-09-29,63.86908,64.86001,62.93042,63.89978,1417325
2017-10-31,64.03066,65.49899,63.5102,64.39059,1569423
2017-11-30,64.76073,66.50003,64.08281,65.83028,1528584
2017-12-29,65.64009,66.71067,64.8998,66.30022,2002177
2018-01-31,66.73919,70.39045,66.5854,68.89023,3178328
2018-02-28,68.58061,68.79856,62.15092,64.66046,2308425
2018-03-30,64.53926,66.47948,63.11033,64.41088,1370834
2018-04-30,64.1195,66.33987,63.17024,65.44035,967381
2018-05-31,65.36928,67.00486,64.49921,66.05052,1294469
2018-06-29,66.40078,67.48914,63.54353,64.75946,1018991
2018-07-31,63.94917,66.95981,63.69753,66.40419,962199
2018-08-31,66.35084,66.67999,63.04024,65.49023,1238527
2018-09-28,64.63062,65.27885,62.7735,64.43021,911189
2018-10-31,64.72039,64.74048,56.76,58.65973,2632661
2018-11-30,59.13968,60.96009,58.25809,60.34961,1996816
2018-12-31,61.12978,61.21513,55.61,57.6,4541736
