Date,Open,High,Low,Close,Volume
2011-01-31,65.28797,68.18938,64.52118,67.13392,1646961
2011-02-28,67.65939,70.9194,66.71218,68.92122,1799844
2011-03-31,69.35874,70.50894,64.9993,70.36798,2184554
2011-04-29,70.92954,72.36841,67.76088,72.17558,1150287
2011-05-31,72.60183,72.60183,67.69999,70.01954,1130749
2011-06-30,69.79852,69.90001,65.06808,69.38919,1236711
2011-07-29,69.70155,71.70874,63.71266,64.67003,1386257
2011-08-31,65.90141,65.90141,53.54926,60.1279,2071653
2011-09-30,59.82908,60.61842,52.92906,54.00032,1202530
2011-10-31,53.55828,64.39827,50.92863,62.20952,882713
2011-11-30,60.22939,63.36873,57.60087,62.73162,932380
2011-12-30,62.71132,63.87955,60.16962,62.08794,1087979
2012-01-31,63.2611,67.89072,62.61979,66.73967,1066122
2012-02-29,67.64967,69.48073,67.19744,68.67909,1015188
2012-03-30,68.82173,70.71139,66.22883,69.53933,1029308
2012-04-30,69.29055,70.1718,65.98115,68.93009,995573
2012-05-31,68.89028,69.75163,63.17928,64.64987,941027
2012-06-29,63.04991,66.67996,61.44884,66.53954,1083172
2012-07-31,66.78722,67.27041,63.48114,66.5705,624332
2012-08-31,66.83034,69.67091,65.00039,67.86086,655825
2012-09-28,67.82106,71.4113,66.96081,69.07272,881201
2012-10-31,68.99975,71.04863,68.18926,69.10921,697052
2012-11-30,69.18993,71.21117,66.44776,70.49909,1511483
2012-12-31,70.75009,73.48009,69.67865,71.24987,2289221
2013-01-31,72.86863,76.62142,72.47942,75.62959,1426815
2013-02-28,76.01991,78.34965,75.54003,77.49935,1124496
2013-03-29,76.96087,80.1995,76.46994,79.87111,2148025
2013-04-30,79.89101,80.12874,75.9204,78.9025,1564537
2013-05-31,78.68247,84.93748,77.69838,82.87201,2332682
2013-06-28,83.36073,84.15132,78.96111,81.60044,1665975
2013-07-31,82.09138,87.60003,81.27978,86.62037,3459175
2013-08-30,88.00141,88.28889,83.96998,84.15132,1526675
2013-09-30,84.99055,91.79842,84.21987,89.38907,2148963
2013-10-31,89.36143,94.55938,86.84925,93.67039,3212850
2013-11-29,93.83072,97.56913,93.29998,97.09146,2289160
2013-12-31,97.03065,100.27965,94.75952,100.03136,3175411
2014-01-31,99.759,100.56075,95.00977,95.97996,4939938
2014-02-28,95.86074,100.44918,92.71938,99.9012,5056891
2014-03-31,98.89929,102.24956,98.07894,100.59247,3222123
2014-04-30,100.96873,102.79317,97.08797,101.50469,3357026
2014-05-30,101.3975,103.36741,100.03136,103.32804,2070723
2014-06-30,103.56758,106.81722,102.78333,104.23916,3604441
2014-07-31,104.49073,105.57577,99.51946,99.52821,4965451
2014-08-29,99.13883,104.77731,98.5088,103.95806,3140309
2014-09-30,103.99853,105.36467,100.99936,101.41719,2253849
2014-10-31,101.04967,105.58562,92.88782,105.38655,6397291
2014-11-28,105.39748,109.57576,104.91403,108.30915,2154491
2014-12-31,107.86288,109.28043,102.72973,106.83024,2440148
2015-01-30,107.25971,107.44269,101.19332,102.6604,3327075
2015-02-27,102.63888,110.27353,101.92632,108.98189,1975582
2015-03-31,108.93884,109.98291,105.44496,107.34582,2188264
2015-04-30,106.85177,109.41244,105.98422,106.69139,1952809
2015-05-29,107.04444,109.81069,106.0897,107.08749,1621723
2015-06-30,107.35658,108.7128,104.45363,104.70657,1785889
2015-07-31,105.54937,106.20918,101.23422,104.68505,2103554
2015-08-31,104.68505,105.58166,83.91982,99.22142,3981577
2015-09-30,98.28175,102.54846,92.9314,94.96068,2179579
2015-10-30,95.25983,104.11634,93.33237,103.25286,1697919
2015-11-30,103.71112,105.60145,101.41876,104.53429,1766388
2015-12-31,104.68281,105.35853,99.06911,101.03736,2515948
2016-01-29,99.24903,99.90106,88.22886,94.52233,3400737
2016-02-29,93.94943,99.32077,90.09949,98.17919,2464694
2016-03-31,98.90085,106.15998,98.75947,105.20443,2067482
2016-04-29,104.5429,108.30208,102.86702,106.34899,1742234
2016-05-31,106.5695,106.87401,102.80402,106.43299,1795512
2016-06-30,105.86596,108.7956,100.03401,106.27771,2035051
2016-07-29,106.16272,111.90153,104.6052,110.44854,3230342
2016-08-31,110.27083,112.81096,108.81784,111.6193,1566136
2016-09-30,111.6402,112.50782,107.8666,110.88944,2951022
2016-10-31,110.36951,111.1494,107.0004,108.46659,1402667
2016-11-30,108.58097,119.91532,106.57407,119.03145,4294082
2016-12-30,119.30181,122.69172,118.87359,119.25642,4493703
2017-01-31,120.12555,123.68482,119.27711,120.92224,4638193
2017-02-28,121.08779,125.9818,120.01173,125.0092,3043692
2017-03-31,126.18873,127.61658,120.43976,123.7361,2212340
2017-04-28,123.82881,127.39297,121.45957,126.04353,1673691
2017-05-31,126.23925,126.99123,122.11883,126.87791,2115789
2017-06-30,127.25905,130.83351,126.57684,128.42333,2056329
2017-07-31,128.85418,130.90584,128.013,128.64901,2574694
2017-08-31,128.97728,130.12621,125.63308,128.67979,1851245
2017-09-29,128.95676,134.34236,127.01795,134.26177,1706294
2017-10-31,134.42518,137.74445,134.30262,135.15031,1873444
2017-11-30,135.72225,140.67561,131.84126,140.36922,1853042
2017-12-29,140.2773,143.4719,137.03974,142.37374,2997266
2018-01-31,142.91265,151.281,142.42458,148.91183,4341148
2018-02-28,148.24073,149.93881,133.62917,142.38391,3286194
2018-03-30,142.46525,146.76636,136.20204,139.12022,3786790
2018-04-30,138.64399,143.28471,134.56056,135.37117,2165372
2018-05-31,135.12798,144.03452,131.78424,139.87003,2174153
2018-06-29,140.83262,144.7134,134.27833,135.81213,2602334
2018-07-31,134.79296,145.18649,134.35905,144.93422,2755568
2018-08-31,144.68195,147.54773,140.32272,146.07448,2475340
2018-09-28,145.69103,151.35197,145.21676,147.72369,1830490
2018-10-31,149.21128,149.97518,125.70133,131.20944,5118850
2018-11-30,131.66174,137.95385,129.50072,135.94359,2448169
2018-12-31,138.54687,139.24041,112.15,120.41,6379435
