Date,Open,High,Low,Close,Volume
2011-01-31,51.14023,52.04214,49.69266,50.07806,710020
2011-02-28,50.64226,51.50047,48.90068,50.6502,383715
2011-03-31,51.0303,51.50047,46.1711,50.59061,1183313
2011-04-29,50.99057,52.97055,50.15091,52.854,999983
2011-05-31,52.9626,53.32946,50.36943,52.62885,510686
2011-06-30,52.53085,52.53085,49.49798,51.94546,986120
2011-07-29,51.66204,52.76129,50.43168,52.04214,643351
2011-08-31,52.28053,52.35867,44.22688,48.39343,1149028
2011-09-30,48.5709,48.80135,40.59936,40.99668,507959
2011-10-31,40.80199,47.34848,39.11869,45.49168,396103
2011-11-30,43.99776,45.8294,40.4007,44.0865,649837
2011-12-30,43.70772,44.20834,40.04067,40.70113,1001831
2012-01-31,41.48086,45.36797,40.75115,44.56003,736446
2012-02-29,45.07044,48.21758,45.07044,47.64176,881350
2012-03-30,47.77257,48.36249,45.88993,47.01079,694245
2012-04-30,46.90178,48.06112,45.60009,47.88799,438565
2012-05-31,47.81104,48.1791,43.5097,44.32149,577979
2012-06-29,43.50072,47.83925,43.0198,47.7995,728700
2012-07-31,48.14191,49.73856,47.19033,49.19993,678890
2012-08-31,49.91041,50.75042,48.7421,50.75042,854075
2012-09-28,50.03224,53.25889,49.46925,51.43072,1026283
2012-10-31,51.77968,53.48911,51.32957,52.89106,963294
2012-11-30,53.25267,54.37923,51.64945,54.28187,1114406
2012-12-31,54.74969,56.15946,53.77991,55.03164,1936341
2013-01-31,55.62084,56.13038,54.63842,55.92302,3728443
2013-02-28,56.09877,56.31118,54.32233,55.87244,2282572
2013-03-29,56.22015,57.42888,55.55762,57.3821,2209531
2013-04-30,56.5021,61.37877,56.11141,61.32061,2233070
2013-05-31,61.53934,62.10325,55.15428,55.19221,3776049
2013-06-28,55.03164,56.15187,49.76069,53.37864,2927619
2013-07-31,53.61958,55.76916,53.07083,54.01947,1765488
2013-08-30,54.52028,55.50046,52.28871,52.49812,1778879
2013-09-30,53.26384,58.33881,52.98253,56.72031,2347744
2013-10-31,56.95962,59.11971,55.68876,57.85011,7948014
2013-11-29,57.71786,57.99243,55.89028,56.29837,2070054
2013-12-31,56.25177,56.25177,53.00178,54.48064,3321509
2014-01-31,54.20909,54.24089,51.27949,51.57796,3160807
2014-02-28,51.69049,54.05252,50.65199,53.63051,2380628
2014-03-31,53.37853,54.74118,51.95838,54.06842,2038836
2014-04-30,54.50266,55.59988,54.21031,55.28796,2989411
2014-05-30,55.46899,57.86771,55.08124,57.86771,2581697
2014-06-30,58.04753,58.40103,57.10076,58.05085,2269790
2014-07-31,58.3086,59.56328,57.84903,58.6478,13223262
2014-08-29,58.52987,59.52194,57.28978,58.79855,2226159
2014-09-30,58.90189,59.64109,54.27909,54.45142,3206835
2014-10-31,54.17906,56.9123,52.17131,56.86048,4736119
2014-11-28,56.85204,56.98943,54.77922,56.22176,3318605
2014-12-31,56.31817,56.53027,53.41019,53.51943,5570744
2015-01-30,54.09063,56.23089,52.82129,54.93921,4398043
2015-02-27,55.57976,57.51082,55.39171,56.96194,5691166
2015-03-31,57.22169,57.28148,53.89906,56.27106,9823952
2015-04-30,56.83031,59.73821,56.46962,59.12961,8473559
2015-05-29,59.15076,59.95792,57.51176,57.74909,7920275
2015-06-30,58.28015,58.39999,55.03084,55.46139,7920596
2015-07-31,55.8406,56.0798,52.47906,55.10202,8344528
2015-08-31,54.82082,55.7916,47.1713,51.00073,12547042
2015-09-30,49.99845,52.05318,49.00083,50.97169,7182207
2015-10-30,51.33976,54.60829,50.76037,53.5482,5870230
2015-11-30,53.69914,54.06954,51.30028,52.3,7711650
2015-12-31,52.86895,53.24979,50.51073,51.09836,8475581
2016-01-29,50.46052,50.73486,45.13029,48.62014,6191456
2016-02-29,48.54813,49.82153,46.34997,49.12082,4654683
2016-03-31,49.87983,53.90085,49.82153,53.50935,5400650
2016-04-29,52.6807,55.35155,52.52433,54.63019,5183241
2016-05-31,54.90983,55.15979,52.55058,53.68855,4354377
2016-06-30,53.67028,55.66771,50.74233,54.06,6849168
2016-07-29,54.20139,56.38112,52.73995,56.23973,4124570
2016-08-31,56.35058,57.57901,55.38005,55.92979,4692061
2016-09-30,56.17978,57.51793,54.5125,56.17083,5338888
2016-10-31,55.7304,56.1506,52.7699,53.44964,5095048
2016-11-30,53.4811,53.67097,50.09815,51.36999,13108560
2016-12-30,51.18011,52.13062,48.61008,49.57117,11736660
2017-01-31,49.73099,51.27047,49.62009,51.22916,15649137
2017-02-28,51.34005,53.0698,51.2259,52.60121,8735879
2017-03-31,52.60121,53.71995,51.65969,53.26115,8787373
2017-04-28,53.21005,55.03003,53.06001,54.45925,7708333
2017-05-31,54.68104,56.65106,54.50926,56.43361,8109238
2017-06-30,56.89894,57.9818,55.9811,56.25047,9704619
2017-07-31,56.22126,58.59046,55.40124,58.54935,6128790
2017-08-31,58.75057,59.33042,57.76178,59.28931,7641509
2017-09-29,59.36937,60.75518,58.62925,59.41011,6385307
2017-10-31,59.54924,60.66013,59.10165,59.66033,7278467
2017-11-30,59.73043,60.86937,59.3001,60.51992,8349516
2017-12-29,60.4304,61.73004,59.04089,60.48061,7599857
2018-01-31,60.9396,65.19915,60.89987,63.82008,11121849
2018-02-28,63.451,63.61933,57.15996,59.31901,11172667
2018-03-30,59.54066,61.36932,58.82028,60.92022,10120644
2018-04-30,60.71974,61.87038,59.85728,61.23972,7667476
2018-05-31,61.18021,62.18989,59.86042,60.39084,7673897
2018-06-29,60.57043,61.74091,57.24975,58.07972,12394932
2018-07-31,57.41987,59.22932,57.30542,58.9994,6971077
2018-08-31,58.34985,58.60039,55.74033,57.80032,9591605
2018-09-28,57.03014,57.70031,55.6197,56.17031,6818435
2018-10-31,56.18981,56.25037,52.30039,52.92963,18905777
2018-11-30,53.65024,55.7402,53.50037,55.05963,6972102
2018-12-31,55.36963,55.48974,51.16,52.41,14383676
