Date,Open,High,Low,Close,Volume
2011-01-31,53.49921,55.03006,52.79995,54.27108,1844154
2011-02-28,54.77004,57.2508,54.54164,56.28919,2031564
2011-03-31,56.46019,57.09993,53.35865,57.00859,2147299
2011-04-29,57.45828,58.74528,55.79068,58.67501,1321444
2011-05-31,58.9994,59.01931,56.60106,58.34711,1566452
2011-06-30,58.2909,58.2909,53.9322,56.59052,1539026
2011-07-29,56.7088,58.19019,53.68979,54.39126,1823445
2011-08-31,55.11029,55.11029,45.00049,50.81834,3893601
2011-09-30,50.83825,51.12048,45.74763,46.3964,1219944
2011-10-31,46.00995,53.72961,43.52964,52.1393,2431013
2011-11-30,50.24218,53.25064,48.11084,52.22128,1333554
2011-12-30,51.8196,53.20965,50.0876,51.66506,1850434
2012-01-31,52.69992,55.33921,51.54129,54.36509,2612696
2012-02-29,54.83954,57.16024,54.83954,56.33625,2095264
2012-03-30,56.57806,58.11144,54.88768,57.46137,1976938
2012-04-30,57.37085,57.9988,54.72152,57.0202,1127713
2012-05-31,57.10958,57.84296,51.91978,53.16996,1724494
2012-06-29,52.08135,54.96101,50.89076,54.96101,2191997
2012-07-31,55.13175,55.78033,53.48852,55.39187,1143831
2012-08-31,55.61189,57.78681,54.31014,56.77842,1705855
2012-09-28,56.80936,59.99955,56.39798,57.92432,1530727
2012-10-31,58.10996,59.51713,57.3296,57.85213,1272105
2012-11-30,57.92088,59.14127,55.40333,58.55457,2044185
2012-12-31,58.93042,60.63782,57.71195,58.80817,2531490
2013-01-31,60.17086,63.24028,59.72675,63.07951,3444365
2013-02-28,63.57758,65.0201,62.51172,64.0082,2660536
2013-03-29,63.76872,67.29204,63.38757,67.18976,2894257
2013-04-30,67.27069,68.34301,65.16876,68.33177,2641838
2013-05-31,68.12157,72.12985,67.52247,69.60753,3496773
2013-06-28,69.69071,70.4809,65.95895,68.66897,2577720
2013-07-31,69.09947,73.11,68.61052,72.54012,2913516
2013-08-30,73.4,73.85073,70.24148,70.41796,2487099
2013-09-30,71.16881,75.00061,70.31005,73.22802,1963465
2013-10-31,73.19992,77.50943,71.96124,76.55176,2611270
2013-11-29,76.72149,79.06171,75.94929,78.76947,2060396
2013-12-31,78.67168,80.16101,77.40827,79.77913,3217756
2014-01-31,79.55993,80.68807,76.97041,77.72213,3417932
2014-02-28,77.66013,82.25794,75.25993,81.91142,3960014
2014-03-31,81.15859,82.95099,80.74121,82.82988,3835711
2014-04-30,83.11987,84.33076,79.88013,83.16747,7557151
2014-05-30,82.95938,84.71927,81.90012,84.58866,4651980
2014-06-30,84.82884,86.96063,84.37946,86.9396,3761691
2014-07-31,87.09014,87.70997,84.68163,84.68163,4016601
2014-08-29,84.50232,87.99,83.3988,87.94905,4621827
2014-09-30,88.13832,88.30988,84.70045,84.9019,3302125
2014-10-31,84.75137,88.00107,78.66923,87.91916,7716725
2014-11-28,88.10954,90.61102,87.2296,90.30996,3893361
2014-12-31,89.99008,91.07036,86.60976,89.42911,5286762
2015-01-30,89.99099,89.99099,86.18089,87.309,6291242
2015-02-27,87.66943,92.8385,86.63061,91.97935,5552476
2015-03-31,92.05013,93.10093,89.3028,91.911,4545227
2015-04-30,91.62906,93.6005,90.94107,91.63886,4254025
2015-05-29,92.01986,94.0207,91.12069,92.74269,3358928
2015-06-30,93.07036,93.68868,90.34996,90.56877,3889766
2015-07-31,91.21866,91.9491,88.79981,91.41896,3814918
2015-08-31,91.42876,92.55001,65.77933,87.38899,6391061
2015-09-30,86.52029,89.46167,81.1096,83.24028,5434258
2015-10-30,83.35084,89.1611,81.98871,88.49023,4187106
2015-11-30,88.59972,89.91999,85.87116,89.03981,6147056
2015-12-31,89.35109,89.88027,83.88002,85.95038,7218035
2016-01-29,84.74824,85.39037,74.16044,80.05168,8214652
2016-02-29,79.44047,82.22022,74.67031,81.13968,5961085
2016-03-31,81.77009,87.47195,81.45435,87.12121,5462609
2016-04-29,86.50051,89.59019,85.00084,87.97998,5980759
2016-05-31,88.22975,89.54024,85.64917,89.24902,5311482
2016-06-30,88.90041,91.16957,83.9748,89.04867,7670155
2016-07-29,88.93129,93.10841,87.17056,92.79856,5612407
2016-08-31,92.81865,94.59102,91.05898,93.67099,5036956
2016-09-30,93.79049,94.87971,91.03148,93.57016,6297089
2016-10-31,93.32192,93.45866,90.35887,91.30974,4837762
2016-11-30,91.36128,97.39257,89.43009,96.73096,7833063
2016-12-30,97.12014,100.52181,96.33441,97.19067,7792923
2017-01-31,98.10116,100.33817,97.40497,99.29911,8662039
2017-02-28,99.72978,103.20551,98.81407,102.63058,5821898
2017-03-31,103.6205,104.31356,99.26885,101.91107,7453156
2017-04-28,102.0474,103.38359,100.1378,102.31484,5085660
2017-05-31,102.53962,102.78522,99.64245,102.39601,5213839
2017-06-30,102.68219,104.43985,102.08048,102.88026,7003773
2017-07-31,103.22628,105.54691,102.12192,104.61451,4460694
2017-08-31,104.95639,105.35007,101.44438,103.30916,4678945
2017-09-29,103.59924,105.69357,102.20272,105.642,3970936
2017-10-31,105.65232,108.05514,105.43575,106.49795,4894879
2017-11-30,107.1167,110.76735,105.477,110.11766,4403725
