Date,Open,High,Low,Close,Volume
2011-01-31,66.2099,68.18955,64.09252,64.55706,856848
2011-02-28,65.14057,67.66866,63.80077,66.10973,454434
2011-03-31,66.45908,68.70919,62.5098,68.57396,974581
2011-04-29,68.96839,70.52105,67.8089,70.00767,1001472
2011-05-31,70.5486,73.12051,69.52058,72.59962,1164148
2011-06-30,72.32039,72.37799,68.01174,71.26107,1068896
2011-07-29,71.37877,73.14305,66.40774,67.2016,970228
2011-08-31,68.39991,68.66787,58.39023,65.15434,1434181
2011-09-30,65.1894,65.64017,59.01129,60.68166,970963
2011-10-31,60.37238,64.79873,57.01161,63.23229,721011
2011-11-30,61.82112,64.1113,58.50292,63.28738,880575
2011-12-30,62.92677,64.20521,60.65869,62.17161,1782166
2012-01-31,63.03232,63.46996,60.95933,61.51819,1357690
2012-02-29,61.87945,65.2217,61.87945,64.33916,976233
2012-03-30,64.36098,66.81099,63.39964,65.00955,662104
2012-04-30,65.10047,65.4593,62.53893,64.76952,1205979
2012-05-31,64.71981,65.57083,62.38012,64.15974,915495
2012-06-29,63.71847,67.99781,62.54863,67.80991,869513
2012-07-31,67.99781,71.28914,65.65933,70.85878,2128992
2012-08-31,70.97152,72.38019,69.85865,70.82969,1122247
2012-09-28,70.71816,76.52012,70.44903,75.05205,893123
2012-10-31,75.55757,76.47041,71.50008,71.79102,1938491
2012-11-30,72.15956,72.96087,67.06193,71.22853,1370982
2012-12-31,71.48917,73.58034,68.68881,70.00898,1030413
2013-01-31,71.52917,72.29048,69.73137,72.22866,1991041
2013-02-28,73.2506,73.39244,70.99819,71.67101,570803
2013-03-29,71.32066,74.43015,71.15943,74.15133,991486
2013-04-30,74.34772,80.3994,74.06889,80.27211,2650510
2013-05-31,80.43334,81.99112,77.2693,77.279,1631382
2013-06-28,77.18081,79.85994,75.75153,78.91072,2125799
2013-07-31,78.97982,84.1914,78.32762,82.26146,957136
2013-08-30,83.00216,83.15975,78.23185,78.45127,938325
2013-09-30,78.69736,81.73897,77.84028,80.77036,367915
2013-10-31,80.69156,87.55304,79.75689,86.5117,1566100
2013-11-29,86.80022,86.85114,84.03017,85.05091,762620
2013-12-31,84.90058,84.90058,81.03961,83.65999,1419761
2014-01-31,83.55042,83.7311,80.15954,81.32053,1841462
2014-02-28,80.99997,82.78226,78.59873,80.80065,1573567
2014-03-31,80.28893,85.20914,80.28893,85.1089,763130
2014-04-30,84.93988,86.53799,82.0001,84.41883,1644011
2014-05-30,84.79767,87.99971,84.36987,87.68965,893165
2014-06-30,88.70843,88.92874,85.06926,87.96125,1113976
2014-07-31,87.78873,93.43165,87.38891,88.98935,905784
2014-08-29,89.23997,89.23997,85.74068,88.41818,825861
2014-09-30,88.44849,89.19917,86.19995,87.29916,850260
2014-10-31,87.23038,89.15021,81.79029,89.1199,1146443
2014-11-28,89.1199,90.67022,87.34811,89.91138,896316
2014-12-31,89.84844,89.84844,82.46986,84.71815,1482397
2015-01-30,84.99954,86.47914,82.38869,83.11034,2143091
2015-02-27,83.53924,89.44854,82.9095,88.61003,1789110
2015-03-31,88.2719,89.11155,84.99954,86.4485,1317882
2015-04-30,86.24994,91.45121,86.15122,89.64143,1273149
2015-05-29,89.80028,90.19968,86.40992,88.00071,1348042
2015-06-30,88.17205,90.10097,86.47914,86.95002,1538072
2015-07-31,87.42204,87.60018,83.21813,86.42127,846695
2015-08-31,86.56991,88.37061,76.21161,83.72078,2384236
2015-09-30,82.89248,85.45908,77.53108,78.81121,1564171
2015-10-30,78.80129,85.96935,76.83975,85.73891,1059536
2015-11-30,86.33983,86.76985,82.46967,84.87005,1116599
2015-12-31,85.01008,86.14963,81.50709,83.91073,1334894
2016-01-29,83.44894,84.94045,76.01219,84.94045,3085060
2016-02-29,84.95905,88.8919,80.92005,88.31193,3794624
2016-03-31,88.78029,93.29078,88.55924,92.71943,3827642
2016-04-29,92.26997,94.14944,91.21978,92.53878,3151014
2016-05-31,92.86091,93.96116,89.53077,92.38968,3769879
2016-06-30,92.30915,98.3803,90.9205,98.3803,3313888
2016-07-29,98.64094,102.05089,97.49023,101.05267,4621606
2016-08-31,101.0916,101.31547,93.63037,95.04064,6900803
2016-09-30,95.11959,96.38927,92.12523,94.38856,2574027
2016-10-31,94.21058,94.47004,90.31864,90.98016,2838242
2016-11-30,91.10025,96.42459,87.29087,93.94039,3936861
2016-12-30,94.00151,101.79099,93.31318,100.14956,2899761
2017-01-31,101.03676,104.35472,99.33469,100.53359,4663191
2017-02-28,100.86655,101.26335,96.56139,97.74007,2816397
2017-03-31,98.71025,98.84748,93.14737,94.87086,2382670
2017-04-28,94.88984,99.12578,94.0513,96.95085,1896398
2017-05-31,97.13016,97.17025,91.07265,93.97853,3008290
