Date,Open,High,Low,Close,Volume
2011-01-31,100.55191,101.40031,96.75069,98.86002,1463010
2011-02-28,100.03993,101.8595,97.45053,100.58015,975071
2011-03-31,101.00005,102.36044,91.36194,101.9258,1817996
2011-04-29,102.22784,107.38576,100.88219,107.18686,830883
2011-05-31,107.28263,107.84373,99.59915,104.91178,778136
2011-06-30,104.84179,104.98299,96.9987,102.73246,908932
2011-07-29,102.92154,104.29052,98.9914,101.27876,1130943
2011-08-31,102.60845,102.7607,79.34929,92.22385,2570043
2011-09-30,91.91813,92.13176,77.3124,78.45424,1462526
2011-10-31,77.99996,90.81803,74.24907,85.76201,871246
2011-11-30,82.60661,87.22799,76.3007,83.32486,1040534
2011-12-30,82.56977,83.98172,75.74146,77.56598,1676426
2012-01-31,79.00157,85.00085,77.698,84.55721,940138
2012-02-29,85.90121,91.17972,85.80963,89.99033,1569758
2012-03-30,90.44111,90.59811,86.26874,88.97222,1302869
2012-04-30,88.46078,89.70726,84.1992,87.75071,680672
2012-05-31,87.74715,88.85209,77.46726,78.11191,965002
2012-06-29,76.88803,81.48383,75.51072,81.37678,895626
2012-07-31,81.58849,82.99911,78.18089,81.37678,729574
2012-08-31,81.44933,85.87981,80.01731,83.91018,871780
2012-09-28,83.93991,90.2972,83.1454,87.45065,932165
2012-10-31,88.15824,89.75856,86.74896,87.29852,900419
2012-11-30,87.78911,88.64883,84.25118,88.46014,618904
2012-12-31,88.88352,91.94972,88.3198,90.88599,1564457
2013-01-31,92.50046,94.15268,91.62188,93.63968,1983445
2013-02-28,94.22933,94.93102,91.87071,93.42151,1116768
2013-03-29,93.22102,94.98999,92.95922,94.44869,1114257
2013-04-30,93.92979,96.78136,91.15133,96.78136,2480288
2013-05-31,96.85094,98.8086,94.36142,94.36142,1127222
2013-06-28,94.36142,95.21052,85.8279,89.22769,1623592
2013-07-31,89.93102,95.71885,89.0688,93.84838,932625
2013-08-30,94.998,96.91988,92.63099,92.91139,940521
2013-09-30,94.89752,101.67725,93.98273,99.33879,1058137
2013-10-31,99.35858,104.47869,98.16905,102.89924,1446198
2013-11-29,102.62339,102.98188,99.30038,102.36616,1890916
2013-12-31,102.25326,103.01934,99.22939,102.93799,1659177
2014-01-31,102.21392,104.19138,99.26033,100.2651,1636148
2014-02-28,99.85723,107.84842,98.41137,107.46118,1429610
2014-03-31,106.1001,109.14993,103.67009,106.84136,1416094
2014-04-30,107.46118,108.84517,104.49155,107.95955,1961699
2014-05-30,108.02486,109.47416,105.79191,109.38708,1340301
2014-06-30,109.39854,111.64066,108.545,111.16519,1525990
2014-07-31,111.75238,112.73671,107.72627,107.80137,1660386
2014-08-29,107.47705,110.08754,105.06799,109.37859,1306440
2014-09-30,109.60846,109.88043,101.62127,102.12804,1723317
2014-10-31,101.88089,102.2879,93.04919,100.61225,3377516
2014-11-28,100.42972,100.68935,98.08859,98.70987,2016021
2014-12-31,98.59876,99.20757,93.64893,95.31105,4852805
2015-01-30,95.58925,96.26072,92.55924,94.7189,2815913
2015-02-27,95.36915,100.99678,95.13899,100.66272,2836276
2015-03-31,100.65378,101.45667,96.51099,99.26158,2929336
2015-04-30,99.73945,106.11818,99.26158,104.79956,5013475
2015-05-29,105.03738,108.25074,103.44632,104.99718,4549827
2015-06-30,105.60346,106.99912,101.27721,101.91827,2833396
2015-07-31,102.68023,105.44524,96.20969,98.94253,3559222
2015-08-31,98.77062,99.78989,84.99881,93.31935,3522575
2015-09-30,92.37993,95.32018,88.85081,90.7004,4335074
2015-10-30,91.19039,96.83074,90.3616,94.96019,1874691
2015-11-30,95.5186,96.6619,92.32155,95.16104,2403541
2015-12-31,95.62012,96.49084,91.0105,92.87009,4196090
2016-01-29,91.94908,92.00242,80.63997,86.65161,6457250
2016-02-29,86.60153,87.70435,81.16907,87.0468,4371711
2016-03-31,88.15942,94.37846,88.15942,93.39132,2462179
2016-04-29,92.13972,97.31047,91.21136,96.19927,2186634
2016-05-31,96.96002,96.96002,92.88851,95.84991,1446455
2016-06-30,95.69863,99.47411,87.83101,93.08115,2122329
2016-07-29,93.33044,97.80789,90.76958,97.7086,2340092
2016-08-31,97.36867,99.86909,96.119,97.20032,3105998
2016-09-30,97.52838,100.79933,95.72992,99.52664,1900241
2016-10-31,99.67916,99.89933,96.35072,96.59023,2088013
2016-11-30,96.9597,97.00051,92.75162,94.48941,3063417
2016-12-30,94.54097,96.79107,92.63218,94.03117,3116624
2017-01-31,94.42982,99.29084,94.41925,98.539,3035553
2017-02-28,99.06138,101.69861,98.77798,100.15265,2374301
2017-03-31,100.58196,103.20546,98.89007,102.66651,2679448
2017-04-28,102.69821,105.48674,102.1107,105.48674,2573915
2017-05-31,105.99394,108.2552,105.45504,107.66347,3017829
2017-06-30,108.18124,109.92473,106.88269,108.12002,3648148
2017-07-31,107.85787,112.44021,106.62054,112.03126,2676490
2017-08-31,112.28292,113.14276,109.53562,113.07985,2994100
2017-09-29,113.709,115.99493,112.60798,114.92927,3898329
2017-10-31,114.7204,117.43568,114.54286,116.63154,2665247
2017-11-30,117.20592,118.39647,114.0207,117.64454,3212658
2017-12-29,117.05972,119.6995,114.78306,119.22727,5260085
2018-01-31,119.99721,127.14222,119.76109,124.51417,6432313
2018-02-28,124.69895,125.11985,112.92405,119.00142,3901924
2018-03-30,118.8269,121.75266,116.57869,119.2377,3473509
2018-04-30,119.00167,122.28561,117.22629,119.60715,3005610
2018-05-31,119.36085,121.99826,117.69836,119.44295,4750592
2018-06-29,120.07921,122.42928,113.56586,115.40201,5411669
2018-07-31,113.82088,117.29936,113.63726,116.5241,5247418
2018-08-31,116.69751,116.69751,109.89356,114.52474,3889888
2018-09-28,112.8518,114.34112,110.06697,112.15891,3358595
2018-10-31,112.79946,112.89097,97.73513,100.81999,5348792
2018-11-30,102.17431,105.42795,98.88001,101.96079,4312949
2018-12-31,103.45543,103.70962,90.89,94.68,16425476
