Date,Open,High,Low,Close,Volume
2011-01-31,48.19915,49.13897,47.1508,48.47108,2518941
2011-02-28,48.89089,50.36026,48.54979,49.89035,1323141
2011-03-31,50.1086,50.27081,45.95813,49.86172,2633233
2011-04-29,50.13007,52.1254,48.75374,52.03237,1631056
2011-05-31,52.21008,52.34843,48.77878,50.84925,1613813
2011-06-30,50.72879,50.75861,47.38933,50.16943,2301474
2011-07-29,50.15035,51.0198,48.34704,49.09007,2177041
2011-08-31,49.86888,49.86888,41.68839,45.53116,5473632
2011-09-30,45.60272,45.99033,39.71692,40.6472,5879470
2011-10-31,40.5005,47.48832,38.67215,45.27593,4222219
2011-11-30,43.74932,46.08813,40.74738,44.67244,3234595
2011-12-30,44.54125,45.3296,42.10837,43.18003,5199983
2012-01-31,44.00941,46.21099,43.30933,45.5377,3656611
2012-02-29,46.07354,48.31705,45.99782,47.70899,2864960
2012-03-30,47.89071,48.96005,46.19934,48.27162,5494719
2012-04-30,48.23318,48.96937,46.01995,47.702,4062748
2012-05-31,47.60299,48.20173,43.07054,43.44329,4363990
2012-06-29,42.85271,45.67981,42.19224,45.67166,2954484
2012-07-31,45.73922,46.42998,43.95,46.00248,2318778
2012-08-31,46.23196,48.08058,45.08923,47.13821,2457286
2012-09-28,47.16967,50.33458,46.85515,48.03109,4258539
2012-10-31,48.27051,49.35137,47.41066,47.73871,3202352
2012-11-30,48.00922,48.59972,45.82792,48.47425,6042518
2012-12-31,48.74821,50.13181,48.28087,49.41584,6367802
2013-01-31,50.21929,51.74792,49.84058,51.4049,9993183
2013-02-28,51.73986,52.12893,50.36087,51.24145,5333831
2013-03-29,51.00202,52.70102,50.85123,52.27962,6644767
2013-04-30,52.22914,53.67721,51.07137,53.67721,4932472
2013-05-31,53.50738,55.93192,53.10004,53.37543,6229961
2013-06-28,53.45231,53.91014,49.75098,51.50976,5369501
2013-07-31,51.92159,54.8783,51.26858,54.16841,5098446
2013-08-30,54.7304,55.11947,52.74751,52.83852,4948536
2013-09-30,53.5211,57.19907,53.19119,55.5482,5132365
2013-10-31,55.66033,58.33914,54.5503,57.61195,8107408
2013-11-29,57.60176,58.74011,56.87118,58.49772,4791180
2013-12-31,58.45241,59.43986,56.89949,59.40047,7189151
2014-01-31,58.99983,59.39147,56.40017,56.76142,8756344
2014-02-28,56.92235,60.03181,55.52799,59.72121,6145638
2014-03-31,58.92668,60.42908,58.31784,59.67096,7562544
2014-04-30,59.88917,60.42629,58.04057,60.11073,7717203
2014-05-30,60.21928,61.46921,59.74818,61.34164,3961925
2014-06-30,61.48823,62.77956,61.25771,62.23215,6207490
2014-07-31,62.47984,63.12074,61.1192,61.1403,6181740
2014-08-29,61.12919,62.86971,60.09066,62.75975,5176912
2014-09-30,62.87971,63.35066,60.06015,60.38074,5999122
2014-10-31,60.14969,60.98876,55.76974,60.94896,11441007
2014-11-28,60.89147,62.11857,60.15964,61.71949,6429734
2014-12-31,61.53819,62.00083,58.13881,60.11782,12610357
2015-01-30,60.15957,60.73084,58.0118,59.14006,10230686
2015-02-27,59.52128,62.89949,59.09063,62.66109,7004574
2015-03-31,62.70943,63.16974,60.38918,61.58921,7975741
2015-04-30,61.6384,64.44114,61.23177,63.16002,6946892
2015-05-29,63.55026,64.5909,62.59925,63.37099,6003896
2015-06-30,63.65192,64.12961,61.24004,61.52005,9657284
2015-07-31,62.33185,62.80829,59.85846,61.83044,12632486
2015-08-31,61.84998,62.11045,53.10031,57.73019,19872970
2015-09-30,57.15932,59.09115,54.05099,55.30904,11645943
2015-10-30,55.74747,59.9795,54.94945,59.33806,11352292
2015-11-30,59.56807,60.46005,57.66857,59.29162,10650036
2015-12-31,59.52056,59.93091,56.35004,57.61961,29609328
2016-01-29,56.58964,56.74843,50.41944,54.24001,27633669
2016-02-29,53.91063,54.48999,50.33897,53.63919,27158274
2016-03-31,54.19816,57.9725,54.09946,57.67112,19902003
2016-04-29,57.00212,59.56058,56.2177,58.27066,14558770
2016-05-31,58.45127,58.93967,56.63983,58.65112,7906581
2016-06-30,58.46089,60.00516,54.74943,58.06858,18062304
2016-07-29,58.12052,60.54919,56.92898,60.46014,10151768
2016-08-31,60.40926,61.57642,59.60889,60.68806,12169292
2016-09-30,60.80043,61.99091,59.18932,60.85043,11548510
2016-10-31,60.69012,60.98016,59.08175,59.65232,12879720
2016-11-30,59.76939,60.71016,58.39937,60.36001,13353953
2016-12-30,60.36001,62.60963,59.96873,61.00099,26622063
2017-01-31,61.44905,63.39204,61.24073,62.83092,12623098
2017-02-28,63.0696,65.19056,62.74403,64.52056,21832416
2017-03-31,65.03981,65.95896,64.23896,65.22059,23085510
2017-04-28,65.29046,66.61798,64.46975,66.2801,13028221
2017-05-31,66.46885,67.84434,66.10073,67.56904,18570500
2017-06-30,67.57842,68.61917,67.02069,67.52917,24386299
2017-07-31,67.76944,69.60972,67.02069,69.32078,11476663
2017-08-31,69.68014,69.91005,68.15986,69.60972,16954124
2017-09-29,69.8303,71.09893,69.02253,70.71999,16367756
2017-10-31,70.70969,72.29043,70.65095,72.20902,13861863
2017-11-30,72.50064,73.82995,71.329,73.57954,15101704
2017-12-29,73.49917,74.69657,72.66552,74.25993,18062507
2018-01-31,74.54963,79.73977,74.50971,78.33014,27139280
2018-02-28,78.08036,78.55126,70.55927,74.8506,53226855
2018-03-30,74.83013,76.97989,72.25041,73.62975,25068559
2018-04-30,73.39005,75.54534,71.60095,73.94086,22643125
2018-05-31,73.88986,76.06045,72.73928,74.36009,18386364
2018-06-29,74.85071,76.36033,72.39002,73.3701,24951271
2018-07-31,72.64922,76.05013,72.55,75.4801,19171885
2018-08-31,75.42948,76.83074,73.28607,76.13011,35476517
2018-09-28,75.6502,76.9654,74.35929,75.83049,28486945
2018-10-31,76.25977,76.32024,67.47956,69.90009,58978430
2018-11-30,70.40999,72.65014,68.37542,71.11035,47853636
2018-12-31,72.35992,72.38007,62.14,65.46,104540248
