Date,Open,High,Low,Close,Volume
2017-11-30,84.75139,85.1429,84.32551,84.68891,334045
2017-12-29,84.81894,88.99139,84.50011,85.00046,218988
2018-01-31,85.06052,85.09987,84.02085,84.27041,325268
2018-02-28,84.11192,84.11192,82.05021,82.44892,205406
2018-03-30,83.90812,83.90812,81.20131,82.58923,99723
2018-04-30,82.33963,82.65086,81.12858,81.48912,79110
2018-05-31,81.17056,82.04025,80.56926,81.75342,90483
2018-06-29,81.27953,81.34898,80.51045,80.98436,76723
2018-07-31,80.91019,81.70967,80.65048,81.6506,82327
2018-08-31,80.96947,82.12027,80.59975,81.62968,101530
2018-09-28,81.21058,81.37968,80.59998,81.13058,72910
2018-10-31,80.90985,80.96941,79.72472,79.72472,368167
2018-11-30,79.47969,79.85006,79.09926,79.24016,105406
2018-12-31,79.20987,80.4601,77.78,80,152122
