Date,Open,High,Low,Close,Volume
2015-08-31,50.0067,50.30273,49.94792,49.97891,221703
2015-09-30,50.08578,50.28136,49.64441,50.26105,821745
2015-10-30,50.21287,50.46034,50.14141,50.41981,813305
2015-11-30,50.28783,50.55947,49.99914,50.52858,980901
2015-12-31,50.52958,51.01222,50.41886,50.99207,1972327
2016-01-29,51.05887,51.48403,51.00162,51.24654,1637066
2016-02-29,51.25778,51.75124,51.21649,51.33932,1673468
2016-03-31,51.37195,51.4925,50.99867,51.45337,1555618
2016-04-29,51.43278,51.9302,51.36942,51.82776,1652169
2016-05-31,51.80106,52.07104,51.69875,51.88015,1629275
2016-06-30,51.91134,52.78794,51.77331,52.69944,1831661
2016-07-29,52.69978,52.87972,52.29887,52.64927,1690100
2016-08-31,52.41081,52.69353,52.32042,52.59894,2089772
2016-09-30,52.47926,52.58839,52.12984,52.20014,2260429
2016-10-31,52.20045,52.25598,51.51095,51.71948,2166330
2016-11-30,51.5717,51.758,49.65017,49.69098,4820987
2016-12-30,49.55987,50.90148,49.31747,50.26086,8210950
2017-01-31,50.17218,50.80125,50.15236,50.37666,6591014
2017-02-28,50.20157,50.6318,50.13178,50.61097,4044607
2017-03-31,50.40941,50.74949,50.061,50.64133,4899375
2017-04-28,50.5986,51.1012,50.55083,50.82913,6581606
2017-05-31,50.72869,51.53934,50.65716,51.52897,4886380
2017-06-30,51.42848,51.64064,51.25048,51.31982,5369828
2017-07-31,51.25048,51.65855,50.97051,51.64925,4910563
2017-08-31,51.53006,52.02208,51.53006,51.99113,6977599
2017-09-29,51.89083,52.06897,51.60972,51.65812,5078215
2017-10-31,51.5784,51.95051,51.53934,51.6483,7481020
2017-11-30,51.55907,51.8998,51.20088,51.40922,7456759
2017-12-29,51.39811,51.94828,51.31001,51.6764,8431024
2018-01-31,51.67129,51.70095,51.04129,51.09959,12358719
2018-02-28,51.00142,51.08003,50.57059,50.68902,11232176
2018-03-30,50.66916,50.83021,50.57028,50.82002,8534074
2018-04-30,50.63946,50.79107,50.35964,50.52957,9574892
2018-05-31,50.42941,51.12008,50.39081,51.02867,14141993
2018-06-29,50.79977,51.01979,50.7805,50.97923,11865215
2018-07-31,50.89935,51.18072,50.84875,51.02992,7796747
2018-08-31,50.84001,51.06022,50.80971,51.00063,10268847
2018-09-28,50.8603,50.87038,50.37034,50.50946,15929825
2018-10-31,50.3994,50.45977,49.98889,50.15993,24517822
2018-11-30,50.01982,50.6001,49.84914,50.53986,20535462
2018-12-31,50.42984,51.07,50.39978,51.05,19321520
