Date,Open,High,Low,Close,Volume
2012-10-31,49.91132,49.95888,49.82993,49.91132,564155
2012-11-30,49.95043,50.14069,49.92083,50.14069,1028431
2012-12-31,50.00011,50.22102,50.00011,50.11955,1448555
2013-01-31,50.08995,50.20094,50.00011,50.19037,2481563
2013-02-28,50.23054,50.25908,50.13012,50.21151,3985490
2013-03-29,50.19037,50.36055,50.16077,50.34152,4892333
2013-04-30,50.38063,50.38063,49.85952,50.07938,2856056
2013-05-31,50.06036,50.07938,49.52128,49.61007,3786167
2013-06-28,49.61007,49.65129,48.5298,49.1175,4049935
2013-07-31,49.1101,49.77073,49.03928,49.45997,2523612
2013-08-30,49.46948,49.58893,49.02025,49.2306,3176665
2013-09-30,49.18938,49.53079,48.87861,49.4198,2835324
2013-10-31,49.4198,49.62064,49.32996,49.54136,2759903
2013-11-29,49.5012,49.64072,49.39021,49.54982,2077196
2013-12-31,49.45997,49.53079,49.1696,49.33125,3026118
2014-01-31,49.32068,49.42951,49.22031,49.40943,2086350
2014-02-28,49.44958,49.57953,49.36928,49.55101,2474072
2014-03-31,49.6313,49.65877,49.20975,49.33231,1854862
2014-04-30,49.35027,49.65877,49.2499,49.61123,1871404
2014-05-30,49.6313,50.05919,49.57953,49.97362,1862633
2014-06-30,49.95882,52.12998,49.79929,50.12047,2186071
2014-07-31,50.10991,50.15006,49.91022,49.94932,2522343
2014-08-29,49.94932,50.12998,49.82042,49.91022,2074956
2014-09-30,49.85,49.88064,49.34181,49.36928,2380825
2014-10-31,49.47071,49.78027,49.32491,49.40943,3012730
2014-11-28,49.40838,49.52142,49.24039,49.33125,1902223
2014-12-31,49.28899,49.33125,47.8132,48.24077,5409400
2015-01-30,48.27011,48.74169,48.1496,48.73017,6876148
2015-02-27,48.72074,48.82029,48.27011,48.62956,3250557
2015-03-31,48.62956,48.64004,48.05109,48.45979,3055803
2015-04-30,48.5101,48.84963,48.46922,48.77942,5634510
2015-05-29,48.74065,48.7899,48.58031,48.75008,2632460
2015-06-30,48.73017,48.7899,48.45036,48.67987,4145246
2015-07-31,48.67987,48.7899,48.47866,48.60022,4250411
2015-08-31,48.55935,48.58031,48.17999,48.41054,4063386
2015-09-30,48.36967,48.46922,48.20933,48.38015,4399532
2015-10-30,48.41054,48.65052,48.25125,48.41997,3986474
2015-11-30,48.34033,48.45979,48.19047,48.32985,4646302
2015-12-31,48.30993,48.4556,48.05109,48.34976,7053318
2016-01-29,48.36024,48.49857,48.17056,48.46922,5652922
2016-02-29,48.41997,48.59079,48.21981,48.54992,4320460
2016-03-31,48.56983,49.1483,48.48914,49.12944,5229858
2016-04-29,49.04036,49.1263,48.88946,49.04036,5556080
2016-05-31,49.00997,49.32017,48.94186,49.00997,4243453
2016-06-30,49.0498,49.52033,48.9691,49.5109,4038525
2016-07-29,49.60102,49.76031,49.28978,49.43964,7358439
2016-08-31,49.35999,49.47003,49.24052,49.24052,5472171
2016-09-30,49.2007,49.66914,49.2007,49.64923,5896569
2016-10-31,49.60102,49.72992,49.52138,49.65971,6318026
2016-11-30,49.65971,49.68905,49.23109,49.37047,8697265
2016-12-30,49.34008,49.52871,48.74122,49.15932,9352147
2017-01-31,49.14892,49.40061,49.1094,49.39021,8612005
2017-02-28,49.36004,49.52021,49.21028,49.41101,12655256
2017-03-31,49.29972,49.51085,49.1094,49.46925,9415478
2017-04-28,49.53061,49.61485,49.43077,49.45885,7122355
2017-05-31,49.47965,49.50045,49.21028,49.44845,6328792
2017-06-30,49.43077,49.53061,49.10004,49.23108,5640354
2017-07-31,49.24148,49.37981,49.1094,49.36004,6632519
2017-08-31,49.36004,49.50045,49.29972,49.50045,7980220
2017-09-29,49.49005,49.65957,49.43077,49.44845,5202662
2017-10-31,49.46925,49.56077,49.37044,49.53997,6470700
2017-11-30,49.53997,49.64917,49.43909,49.47965,12480608
2017-12-29,49.47965,49.56077,48.66075,48.81954,15773673
2018-01-31,48.80007,48.81954,48.63001,48.6505,23603906
2018-02-28,48.6505,48.73451,48.51527,48.61977,20014439
2018-03-30,48.64026,48.93018,48.61977,48.90969,12915983
2018-04-30,48.89945,48.96808,48.80007,48.8892,8282144
2018-05-31,48.86052,49.07053,48.80007,49.0398,9315699
2018-06-29,48.99984,49.17912,48.66066,48.85008,8874419
2018-07-31,48.87045,48.9397,48.70955,48.77065,8567097
2018-08-31,48.72991,49.01506,48.70955,48.99979,9304727
2018-09-28,48.99979,49.02728,48.28957,48.37017,11127933
2018-10-31,48.35002,48.38025,48.14045,48.1596,19600139
2018-11-30,48.13038,48.28957,48.02962,48.17975,13406958
2018-12-31,48.16967,48.2402,47.69,47.92,19377627
