Date,Open,High,Low,Close,Volume
2011-01-31,53.78897,55.49276,53.52892,54.84877,9128291
2011-02-28,55.2278,57.51179,55.2094,57.06162,6913108
2011-03-31,57.23334,57.26401,53.80859,56.72376,10714983
2011-04-29,57.1299,58.4203,55.50044,58.40078,7022821
2011-05-31,58.73985,58.73985,56.11271,57.60191,7962047
2011-06-30,57.4275,57.43969,54.05966,56.04948,9258148
2011-07-29,56.11981,57.31903,53.70075,54.09725,7491553
2011-08-31,54.85268,54.87087,45.8009,50.90215,13419939
2011-09-30,50.99916,51.3993,45.94298,47.05239,9515440
2011-10-31,46.83941,53.74855,44.46899,51.87627,12131019
2011-11-30,50.34091,52.881,47.82007,51.5911,8019726
2011-12-30,51.43949,52.99914,50.16042,52.48574,7713161
2012-01-31,53.34898,55.38589,52.7102,54.31251,9109662
2012-02-29,54.76025,56.97745,54.7495,56.41987,8203952
2012-03-30,56.57031,58.48066,55.37514,57.67803,7378661
2012-04-30,57.67091,58.22874,55.2271,57.14986,8524151
2012-05-31,57.20208,57.94033,53.03017,53.76367,8812320
2012-06-29,52.97083,56.09947,51.97028,55.94191,11526900
2012-07-31,56.08098,57.01083,54.48291,56.59717,12124889
2012-08-31,56.84112,58.28834,55.47993,57.44335,8203944
2012-09-28,57.39149,60.48039,57.03911,58.72254,7681123
2012-10-31,58.97779,60.40977,58.07974,58.48954,9190451
2012-11-30,58.58087,59.38877,55.40079,58.05515,12575629
2012-12-31,58.40056,60.22009,57.6793,58.80316,14409943
2013-01-31,60.15,62.98183,59.74943,62.53946,23069455
2013-02-28,62.94003,64.18121,62.18069,63.36033,18673535
2013-03-29,63.18734,65.75096,62.88314,65.53141,15771394
2013-04-30,65.50948,67.10221,64.36918,66.97641,20305909
2013-05-31,66.87253,70.78163,66.2366,68.70647,17367613
2013-06-28,68.88883,69.92526,65.73019,67.61089,21422074
2013-07-31,68.08938,71.92191,67.49843,71.25179,16145035
2013-08-30,71.79798,72.13878,66.14328,68.62869,12247572
2013-09-30,69.3252,72.56449,68.53115,69.79038,14984209
2013-10-31,69.76072,73.77967,68.68154,72.99025,12123921
2013-11-29,73.07011,75.7612,72.77921,75.31059,9700181
2013-12-31,75.31858,76.45041,73.67814,76.39034,11893717
2014-01-31,76.11946,76.56941,73.10011,73.5682,15459370
2014-02-28,73.5682,76.85049,71.64031,76.49121,12426578
2014-03-31,75.83044,78.24909,75.53236,78.10956,17179441
2014-04-30,78.27975,79.15099,76.01994,78.78131,20062777
2014-05-30,78.74862,79.9208,77.77932,79.86782,14983148
2014-06-30,80.0166,82.00253,79.68974,80.94943,11071550
2014-07-31,81.15006,82.50852,79.94852,79.9799,10871588
2014-08-29,79.78936,82.73045,78.75034,82.73045,13288307
2014-09-30,82.65087,83.89164,80.88136,81.19895,18307525
2014-10-31,80.99836,82.79137,74.96745,82.66099,25102914
2014-11-28,82.77131,85.32096,82.14058,84.70138,15709404
2014-12-31,84.37042,85.89913,81.22123,84.49129,26695304
2015-01-30,84.90998,85.01854,80.97889,81.02763,28819344
2015-02-27,81.35771,86.10847,80.67872,85.32757,18874748
2015-03-31,85.3165,85.68867,82.47772,83.70106,18103887
2015-04-30,83.42028,85.73922,82.76071,84.77134,25219616
2015-05-29,85.11929,86.79959,84.17344,85.76895,16517786
2015-06-30,86.07946,86.55184,83.14023,83.36023,17827137
2015-07-31,84.10126,85.55813,82.4605,84.20086,28371935
2015-08-31,84.23261,84.59053,72.24926,79.28296,40393201
2015-09-30,77.50976,80.91825,75.0512,76.74945,38600302
2015-10-30,76.95167,83.44893,75.64918,82.61938,25396834
2015-11-30,82.8303,84.15019,80.75044,83.07058,19959649
2015-12-31,83.37935,84.02082,79.73932,81.52029,40444934
2016-01-29,80.35898,80.88998,72.47914,77.64135,47458824
2016-02-29,77.15891,79.10809,73.01015,77.71798,40692673
2016-03-31,78.36123,83.08093,78.12055,82.39035,29221207
2016-04-29,81.75984,85.10006,81.0296,83.63851,17321019
2016-05-31,83.87013,84.93278,81.86171,84.5296,26098256
2016-06-30,84.2197,85.86139,80.43061,84.99049,22008577
2016-07-29,84.87961,87.90958,83.60131,87.38077,17394743
2016-08-31,87.41916,88.44052,86.18457,87.97035,16645534
2016-09-30,87.97035,88.59511,85.06896,87.00015,23708642
2016-10-31,86.80099,87.29995,85.01069,86.05097,21998079
2016-11-30,86.17068,91.6401,84.57848,91.21106,31895318
2016-12-30,91.48967,94.93044,91.21106,93.00982,32917888
2017-01-31,93.63025,94.41051,92.57448,93.46936,36792009
2017-02-28,93.7007,97.1309,92.85104,96.82069,30437218
