Date,Open,High,Low,Close,Volume
2011-01-31,61.92074,63.47164,61.38858,62.56954,8115860
2011-02-28,62.9606,65.41805,62.60065,64.29931,7599717
2011-03-31,64.52484,64.63149,60.45982,64.30018,10901772
2011-04-29,64.72011,66.39207,62.7501,66.28903,7492098
2011-05-31,66.5893,66.64913,63.96114,65.80373,7182585
2011-06-30,65.58102,65.78933,61.12135,64.68499,8533536
2011-07-29,64.72918,66.9184,63.63456,64.21666,8244228
2011-08-31,65.0992,65.0992,54.70975,60.57936,16261825
2011-09-30,60.68761,61.54916,55.86802,55.9396,10357731
2011-10-31,55.62907,64.14995,53.08976,62.43322,12131497
2011-11-30,60.56783,63.8196,58.07808,62.29888,8387107
2011-12-30,62.18105,63.40005,59.66157,61.75714,9169910
2012-01-31,62.93216,66.37165,62.24097,65.64316,9729882
2012-02-29,66.14125,69.43372,65.94816,68.78203,9559174
2012-03-30,69.10897,71.51856,67.4578,70.96932,10365277
2012-04-30,71.01965,71.83038,68.57869,70.75706,11245986
2012-05-31,70.76035,71.60062,64.99877,66.30842,11727010
2012-06-29,65.08083,68.57869,63.84996,68.00709,13724132
2012-07-31,68.08998,69.68021,66.0002,68.84256,10583328
2012-08-31,69.23085,72.02085,67.73005,71.17883,12782650
2012-09-28,71.17883,74.48909,70.58767,72.40499,8849319
2012-10-31,72.75175,73.80074,69.64936,70.12983,9366496
2012-11-30,70.32985,71.73212,67.36877,71.55058,16613383
2012-12-31,71.87778,72.62783,69.70681,71.17639,15290800
2013-01-31,72.69027,74.90005,72.37907,74.31114,16042097
2013-02-28,74.79199,75.75803,73.53961,74.92923,15064547
2013-03-29,74.83305,77.60941,74.41919,77.51029,12229629
2013-04-30,77.56955,78.82037,75.47083,78.76004,13615313
2013-05-31,78.68031,83.20203,78.0716,80.12399,10779324
2013-06-28,80.33731,81.04083,75.79162,78.15182,11020917
2013-07-31,78.78965,83.02899,78.46,82.51035,12737862
2013-08-30,83.17932,83.92131,80.69886,80.97697,10617043
2013-09-30,82.03466,86.59184,81.24649,84.61042,16244951
2013-10-31,84.87157,89.16139,82.23111,88.20988,12846058
2013-11-29,88.44107,90.63949,86.91801,90.31305,8204086
2013-12-31,90.45754,93.04999,88.9013,93.04999,11918362
2014-01-31,92.7493,93.55008,89.14096,90.21045,15173388
2014-02-28,90.22112,95.75944,88.02136,95.27108,12718686
2014-03-31,94.38072,96.55809,91.83801,93.47847,14694987
2014-04-30,93.87822,95.01048,89.69255,93.51887,13391720
2014-05-30,93.5699,96.88909,92.44826,96.86038,11176536
2014-06-30,96.99966,99.11774,96.3288,98.90146,8783106
2014-07-31,99.24285,100.34015,97.25816,97.36206,9624237
2014-08-29,97.08959,102.02586,96.29974,101.83821,12267010
2014-09-30,102.10538,102.4245,99.01988,99.66886,11050818
2014-10-31,99.57056,102.78483,91.80071,102.63897,19790352
