Date,Open,High,Low,Close,Volume
2013-06-28,79.00081,79.74988,73.48954,77.53482,497310
2013-07-31,76.1525,78.39845,75.69559,76.87198,580427
2013-08-30,76.55865,76.8235,74.65351,75.88436,189530
2013-09-30,74.43896,77.70044,74.04626,77.68259,211684
2013-10-31,76.45414,78.86808,76.33593,78.61639,224108
2013-11-29,77.58126,77.80165,75.68384,76.90741,422035
2013-12-31,76.76929,77.03053,75.79625,76.56347,639612
2014-01-31,76.46922,77.24076,75.90376,75.91382,384162
2014-02-28,75.90328,77.9013,75.54001,77.81612,415107
2014-03-31,77.50041,78.41898,76.81897,78.22927,331679
2014-04-30,77.94944,79.18034,77.74802,78.54748,567787
2014-05-30,78.36489,81.01744,78.15922,80.90222,385807
2014-06-30,80.69934,81.27089,79.89078,80.71909,867376
2014-07-31,80.45007,81.50651,80.04915,80.22501,768688
2014-08-29,79.82825,81.30006,79.19712,80.81844,677799
2014-09-30,80.46751,80.46751,78.76154,78.76154,1583682
2014-10-31,78.60844,79.74964,78.45637,79.73747,980771
2014-11-28,79.68085,79.69903,78.44082,79.04204,1221621
2014-12-31,79.0412,79.0412,73.1492,76.36482,1548596
2015-01-30,76.32151,77.45126,74.99805,76.80878,822147
2015-02-27,76.87126,77.73044,76.40152,77.64297,594489
2015-03-31,77.98972,77.98972,75.80371,77.75811,853024
2015-04-30,77.94928,79.4511,77.60207,78.81851,1256902
2015-05-29,78.48005,79.00365,77.87116,78.4303,763118
2015-06-30,79.00372,79.00372,75.96125,76.94079,1067534
2015-07-31,76.72808,76.99142,75.99683,76.83859,1079632
2015-08-31,76.63126,76.69099,73.50197,75.5503,1638317
2015-09-30,75.29162,75.87018,73.69943,74.18817,1533332
2015-10-30,74.29042,76.43186,73.9918,75.94966,1239625
2015-11-30,76.19961,76.37093,75.00154,75.80141,1403507
2015-12-31,75.40948,75.78065,73.52157,73.96319,2128235
2016-01-29,75.4406,75.44977,72.1302,73.73148,2789023
2016-02-29,73.60864,75.04769,72.73995,74.88195,1363931
2016-03-31,74.84961,77.09001,74.84961,76.94543,1924282
2016-04-29,76.73821,78.14988,76.25745,77.97186,1542504
2016-05-31,77.96992,78.14274,77.01999,77.38144,1314237
2016-06-30,77.34097,80.36177,77.10029,80.17845,1129671
2016-07-29,80.27208,80.9981,79.93932,80.75833,1177442
2016-08-31,80.61364,81.91276,80.08908,81.57793,2387657
2016-09-30,81.23735,82.08028,80.20648,81.63324,1979189
2016-10-31,81.28037,81.48755,80.01512,80.2079,1621243
2016-11-30,79.83785,80.5123,75.79998,77.01752,2460681
2016-12-30,76.55103,77.93945,76.15858,77.53845,2762691
2017-01-31,77.80007,78.96806,77.49466,78.63638,2236742
2017-02-28,78.24231,79.6986,78.05032,79.4477,2761813
2017-03-31,79.03169,79.85432,78.06671,79.64893,1783124
2017-04-28,79.39047,80.44035,79.22379,80.43061,1874385
2017-05-31,80.17936,80.82956,79.72541,80.73683,1543914
2017-06-30,80.45825,81.16943,79.93938,80.11019,1517351
2017-07-31,80.06063,80.58933,78.89726,80.43843,1652073
2017-08-31,80.39753,81.58002,80.11711,81.58002,1611940
2017-09-29,81.24958,81.68811,80.68894,81.14871,1437593
2017-10-31,80.86881,81.17878,80.3515,80.95979,2382330
2017-11-30,80.6514,80.82943,79.48944,80.2395,1698854
2017-12-29,80.15943,80.59083,80.01667,80.27151,1560093
2018-01-31,80.29032,80.65828,79.74047,79.89937,2211781
2018-02-28,79.72023,79.83381,77.5496,78.31865,2237891
2018-03-30,78.27048,78.45126,77.54837,78.45126,1658933
2018-04-30,77.94011,78.25994,76.76638,76.96822,1728141
2018-05-31,76.62983,76.99912,75.31049,76.26053,2296124
2018-06-29,75.72082,75.99109,74.51029,75.30053,1945441
2018-07-31,75.07022,76.74048,74.90023,76.53054,1372596
2018-08-31,76.07017,76.14974,74.4899,74.91124,2464162
2018-09-28,74.37042,75.94029,74.31047,75.82954,2335567
2018-10-31,75.53942,75.79959,74.36003,74.49973,2226372
2018-11-30,74.18965,74.63934,73.23079,74.05959,3629541
2018-12-31,74.1904,74.93962,73.90015,74.54,3653311
