Date,Open,High,Low,Close,Volume
2011-02-28,50.17829,51.34849,49.55069,51.04094,917336
2011-03-31,51.19846,51.7498,46.19014,50.91342,1438697
2011-04-29,51.06094,53.68137,49.91325,53.54635,840093
2011-05-31,53.77014,53.92141,49.47193,51.93859,1134168
2011-06-30,51.94859,51.94859,48.35799,51.30598,1154233
2011-07-29,51.13845,51.88108,49.07811,50.41208,2580142
2011-08-31,51.18971,51.18971,42.48077,46.14888,2511926
2011-09-30,46.11012,46.51894,39.24774,40.30416,2518997
2011-10-31,39.88034,47.20155,38.01878,44.44485,4001790
2011-11-30,43.01086,45.02994,39.22148,43.49969,2014093
2011-12-30,43.19839,43.96102,39.99924,40.90185,3957026
2012-01-31,41.90137,44.46864,40.81825,43.90164,2318927
2012-02-29,44.42139,46.67972,44.37899,45.89827,2555481
2012-03-30,46.26052,46.62277,44.11002,45.64869,3306759
2012-04-30,45.55055,46.35866,43.26073,44.70126,2098309
2012-05-31,44.71095,45.19194,39.40922,39.85992,2416672
2012-06-29,39.21295,42.24061,38.81072,42.24061,4275886
2012-07-31,42.3339,42.98086,40.22338,42.37145,2028210
2012-08-31,42.72886,44.70126,41.62999,43.47275,5040558
2012-09-28,43.39763,46.79966,42.91907,44.21155,2255196
2012-10-31,44.77873,45.73555,43.82072,44.57021,3184392
2012-11-30,44.77873,45.61521,43.03072,45.49009,3611112
2012-12-31,45.74747,48.24855,45.44958,47.06772,4757467
2013-01-31,47.91968,48.42133,46.93069,48.20089,4963957
2013-02-28,48.56074,48.71921,46.83179,47.65039,3969424
2013-03-29,47.40612,48.70134,47.27981,47.96783,3621356
2013-04-30,47.81095,49.7493,46.85069,49.64709,3831903
2013-05-31,49.81942,51.08867,48.0118,48.0118,4069746
2013-06-28,48.24949,48.69872,43.91964,45.68135,5867860
2013-07-31,46.22206,48.82241,45.29898,47.79025,4713485
2013-08-30,48.2512,49.13909,46.86013,46.86013,4578481
2013-09-30,47.70462,51.76641,47.48529,50.14964,3749145
2013-10-31,50.3388,52.8398,49.57051,51.98862,5917141
2013-11-29,51.8018,52.46033,50.62019,52.05984,4461823
2013-12-31,51.99912,52.46058,50.29793,52.3819,4456090
2014-01-31,51.82878,52.28007,49.25065,49.5515,6606258
2014-02-28,49.59779,52.53001,48.60033,52.32057,5207675
2014-03-31,51.5094,52.91881,50.51888,52.19955,4637135
2014-04-30,52.53845,52.96812,51.22074,52.85898,5941704
2014-05-30,52.95088,54.07789,52.57407,53.88144,5271365
2014-06-30,54.17209,55.22098,53.70027,54.2911,6864397
2014-07-31,54.74103,55.07053,53.33442,53.35032,5576533
2014-08-29,53.3401,54.26042,52.10959,53.97183,5144750
2014-09-30,53.95137,54.61037,50.82003,50.99974,5633229
2014-10-31,50.86072,50.96923,46.99757,50.96018,11244150
2014-11-28,50.66858,51.31847,49.73953,50.70023,7719062
2014-12-31,50.60868,50.68893,47.09816,48.34019,12843690
2015-01-30,48.34019,49.54976,46.60711,48.46911,12361094
2015-02-27,48.89958,51.45884,48.73815,51.26939,9516402
2015-03-31,51.2806,51.75143,49.01168,50.34907,11484670
2015-04-30,50.72122,53.88955,50.39042,52.76974,9925371
2015-05-29,53.01002,53.93872,52.0612,52.2903,8414354
2015-06-30,52.51046,52.81109,50.16118,50.33038,9278691
2015-07-31,50.8601,51.03152,48.1009,50.05059,19083364
2015-08-31,49.97096,50.43876,43.10778,46.32925,15952161
2015-09-30,45.18133,47.15093,43.05181,44.32044,15554073
2015-10-30,44.63182,48.13181,44.07947,47.08984,16708558
2015-11-30,47.37152,47.86114,45.51094,46.46929,12670622
2015-12-31,46.68934,46.95781,43.97935,45.10985,21798841
2016-01-29,44.481,44.481,39.31595,42.64796,28845629
2016-02-29,42.31061,42.63813,39.40875,41.60097,18869213
2016-03-31,42.24947,45.50917,42.19052,44.92043,18946283
2016-04-29,44.02045,47.01856,43.40886,45.89223,13815154
2016-05-31,46.09138,46.21979,44.0901,45.44061,14750685
2016-06-30,45.25887,46.98047,41.59963,44.47973,22317246
2016-07-29,44.56036,46.53955,43.06924,46.48903,14812322
2016-08-31,46.48903,47.70062,45.66875,46.70081,12684461
2016-09-30,46.85885,48.21988,45.76035,47.2097,12142846
2016-10-31,47.19046,47.42026,45.57009,46.30867,9060610
2016-11-30,46.41982,46.47968,44.67975,45.36915,15238099
2016-12-30,45.44077,47.10068,45.13935,45.87773,18270408
2017-01-31,46.15115,48.21135,46.06107,47.74929,18115617
2017-02-28,48.03967,49.14926,47.73975,48.3894,12891871
2017-03-31,48.7582,50.23023,48.16048,49.67981,15709717
2017-04-28,49.67981,50.95907,49.05022,50.70026,12320391
2017-05-31,50.91998,52.54996,50.83019,52.2003,17941398
2017-06-30,52.40101,53.04962,51.54083,51.97142,17936483
2017-07-31,52.09892,53.89024,51.48021,53.71989,16280787
2017-08-31,54.12853,54.18079,52.8096,54.01043,16105250
2017-09-29,54.26126,55.28025,53.54954,54.72974,11799894
2017-10-31,54.67985,56.05087,54.61956,55.8409,13493366
2017-11-30,56.19951,56.74418,54.88046,56.19016,12011688
2017-12-29,56.05087,57.03942,55.37004,56.80984,14315408
2018-01-31,57.17017,61.16984,57.08986,60.06002,30287332
2018-02-28,59.8603,60.16092,54.20001,56.91073,22096997
2018-03-30,56.89014,58.09364,55.32012,56.5501,14467734
2018-04-30,56.24922,57.79677,55.25003,56.80991,13850410
2018-05-31,56.71954,57.86969,55.15042,55.87953,12652709
2018-06-29,56.24922,57.06048,53.20043,54.10046,15404978
2018-07-31,53.35078,55.66993,53.25021,55.47997,13801174
