Date,Open,High,Low,Close,Volume
2011-01-31,42.55103,43.50188,42.06166,42.82868,4018426
2011-02-28,43.03026,44.54654,43.03026,44.32595,3010840
2011-03-31,44.5326,44.59979,42.08068,44.3297,3593464
2011-04-29,44.55755,46.15379,43.92812,46.11099,2577731
2011-05-31,46.34892,46.35647,44.93899,45.8353,3333965
2011-06-30,45.77991,45.81138,43.48202,44.99122,3819144
2011-07-29,44.98122,46.04941,43.55323,43.75312,4406857
2011-08-31,44.36905,44.36905,38.27977,42.52127,13648579
2011-09-30,42.64996,42.88983,39.46049,40.42131,7029770
2011-10-31,40.2403,44.95265,38.61869,43.68189,9553359
2011-11-30,42.75951,44.54725,41.38213,44.22739,9437009
2011-12-30,44.21871,45.54979,43.52692,45.25843,10568684
2012-01-31,45.89156,46.93038,45.23015,46.06736,12854437
2012-02-29,46.37716,47.82414,46.34889,47.50819,9527973
2012-03-30,47.51803,48.78921,46.88613,48.46549,10167062
2012-04-30,48.44717,48.8611,46.74993,48.45572,9625304
2012-05-31,48.47892,48.97832,45.66931,46.20168,10620780
2012-06-29,45.63878,48.25181,44.99896,48.12036,9479405
2012-07-31,48.2088,49.47968,47.28926,49.14773,8822860
2012-08-31,49.45182,50.14965,48.33722,49.52815,8367777
2012-09-28,49.45909,51.40479,49.17559,50.40473,7212546
2012-10-31,50.56098,51.47088,49.53931,49.8987,9632682
2012-11-30,50.00808,50.5706,47.36133,49.72922,11783725
2012-12-31,49.90951,50.79657,48.4996,49.38185,15854111
2013-01-31,50.30136,52.5791,50.06096,52.16562,13670843
2013-02-28,52.4601,53.60077,52.0947,53.25941,11363373
2013-03-29,53.04185,54.89286,52.88199,54.80928,11217933
2013-04-30,54.77943,56.49998,54.20989,56.46058,15087073
2013-05-31,56.30178,59.0826,55.84806,56.87131,14724630
2013-06-28,57.01101,58.27187,54.89808,56.36999,15594156
2013-07-31,56.75042,59.38137,56.2503,58.89073,13704467
2013-08-30,59.30908,59.46788,56.41029,56.58924,11880910
2013-09-30,56.9424,59.7132,56.31785,57.49193,10380465
2013-10-31,57.55075,60.83977,56.52029,60.21867,11057209
2013-11-29,60.33159,62.08197,60.04692,61.60909,8180015
2013-12-31,61.65026,62.38231,60.35159,62.31933,13130333
2014-01-31,62.13041,62.16773,59.39573,59.83071,13395869
2014-02-28,59.83071,62.27735,58.3485,61.99164,12134567
2014-03-31,61.531,63.21865,61.21963,63.12132,11062953
2014-04-30,63.32178,64.52103,61.76796,64.45267,9460705
2014-05-30,64.43065,65.51056,63.72964,65.46769,10121717
2014-06-30,65.57081,67.13042,65.26955,66.32028,11320325
2014-07-31,66.46064,67.24987,65.20202,65.21123,10291993
2014-08-29,64.99724,67.65944,64.4174,67.65944,11678357
2014-09-30,67.76068,68.31866,66.04857,66.41075,12961981
