Date,Open,High,Low,Close,Volume
2016-03-31,52.88848,55.25992,51.94937,54.12925,301865
2016-04-29,53.4896,56.89813,52.07488,55.64085,258691
2016-05-31,55.95132,56.07242,53.10757,54.89,368047
2016-06-30,54.70945,56.58106,49.74686,53.30036,715601
2016-07-29,53.70124,55.49978,51.42665,55.43769,598835
2016-08-31,55.51068,57.0238,54.41369,56.07061,639352
2016-09-30,56.4192,57.99987,54.74834,56.40951,349897
2016-10-31,56.26125,56.74932,54.66609,55.83053,468391
2016-11-30,56.03074,56.11948,54.36632,55.31,697480
2016-12-30,55.5102,58.10098,55.16174,56.62996,818968
2017-01-31,57.14094,59.80989,57.01078,58.8202,1070771
2017-02-28,59.19886,60.2402,58.41034,59.26018,768943
2017-03-31,59.4592,61.7,59.16121,60.55962,888002
2017-04-28,61.02048,61.98711,59.35027,61.45033,762064
2017-05-31,61.95931,63.59958,61.6011,62.96764,1689081
2017-06-30,63.10023,63.70972,62.12077,62.56014,1129016
2017-07-31,63.40116,64.90486,62.19926,64.6611,920926
2017-08-31,65.09058,65.25941,63.6312,64.79828,1286007
2017-09-29,65.11063,66.44971,64.31077,65.68949,1150125
2017-10-31,65.51036,66.74858,65.31132,65.90843,1518209
2017-11-30,66.14937,66.57363,64.50051,66.1808,1776430
2017-12-29,66.3306,67.363,65.2799,67.00102,1597747
2018-01-31,67.57936,72.23,67.37756,70.94017,2822470
2018-02-28,70.9901,71.29592,64.31112,67.04991,2527483
2018-03-30,67.00102,68.25027,65.02085,66.44999,1896574
2018-04-30,66.25041,67.64956,64.7799,66.61028,1731072
2018-05-31,66.70025,67.59062,63.52966,64.38901,2138040
2018-06-29,64.92054,65.64959,61.20085,62.22952,2205136
2018-07-31,61.56954,64.73907,61.35973,64.52926,1196556
2018-08-31,64.32964,64.32964,60.91058,62.51062,2112907
2018-09-28,61.78953,64.00983,60.88002,62.82037,1734028
2018-10-31,63.04038,63.17966,57.22521,58.72997,3820169
2018-11-30,59.30019,60.65961,57.95388,59.24972,2730481
2018-12-31,60.13986,60.21858,54.41,56.27,5398689
