This file was created using the 201902 Bloomberg database.

Missing data are indicated by -99.99.



,Mkt-RF,SMB,HML,RMW,CMA,RF
199007    ,0.77    ,0.63   ,-0.40    ,0.27    ,1.43    ,0.68
199008  ,-10.77   ,-1.45    ,0.53   ,-0.01    ,1.21    ,0.66
199009  ,-11.88    ,1.29    ,0.71    ,0.18    ,2.19    ,0.60
199010    ,9.36   ,-7.70   ,-4.16    ,2.76    ,0.97    ,0.68
199011   ,-3.72    ,1.46    ,1.13    ,1.10   ,-2.18    ,0.57
199012    ,1.11   ,-0.89   ,-1.52    ,1.18   ,-0.35    ,0.60
199101    ,2.48   ,-1.77    ,0.49    ,0.82   ,-2.25    ,0.52
199102    ,9.02    ,2.41    ,0.05   ,-1.59   ,-0.27    ,0.48
199103   ,-2.30    ,3.01   ,-1.09    ,0.76   ,-1.27    ,0.44
199104    ,0.54    ,0.08    ,0.43    ,0.24    ,0.14    ,0.53
199105    ,0.72   ,-0.47    ,0.22    ,0.08   ,-0.20    ,0.47
199106   ,-6.07    ,1.53    ,1.06    ,1.07    ,0.42    ,0.42
199107    ,3.47   ,-1.64   ,-0.40    ,1.73   ,-0.65    ,0.49
199108   ,-1.29    ,0.43   ,-0.63    ,1.55   ,-0.88    ,0.46
199109    ,2.86    ,0.49    ,0.06   ,-0.14    ,0.37    ,0.46
199110    ,1.36   ,-0.32   ,-1.38   ,-1.52   ,-0.01    ,0.42
199111   ,-5.08    ,0.74   ,-1.34    ,1.32   ,-0.35    ,0.39
199112    ,6.28   ,-2.03   ,-2.81    ,1.73   ,-2.05    ,0.38
199201   ,-2.16    ,4.32    ,2.92   ,-0.22    ,1.01    ,0.34
199202   ,-1.89    ,2.58    ,1.74    ,0.50    ,1.09    ,0.28
199203   ,-5.48    ,1.12    ,2.56    ,0.77    ,0.70    ,0.34
199204   ,-0.14   ,-1.44    ,2.75    ,3.27    ,2.10    ,0.32
199205    ,4.06    ,0.10    ,0.69   ,-1.44    ,1.06    ,0.28
199206   ,-3.70    ,0.53    ,1.09    ,0.70    ,0.52    ,0.32
199207   ,-0.59   ,-2.25   ,-1.31    ,0.48    ,0.63    ,0.31
199208    ,2.44   ,-2.82   ,-1.60    ,0.01    ,0.83    ,0.26
199209   ,-1.38   ,-0.20   ,-0.97    ,0.23   ,-0.25    ,0.26
199210   ,-3.00   ,-0.33   ,-0.46    ,0.15   ,-2.09    ,0.23
199211    ,1.82   ,-0.05   ,-1.76   ,-0.22   ,-1.15    ,0.23
199212    ,0.75    ,1.38    ,0.98    ,0.78    ,0.89    ,0.28
199301    ,0.31    ,1.84    ,3.25   ,-1.21    ,1.28    ,0.23
199302    ,1.89   ,-1.07    ,3.61   ,-1.28    ,2.58    ,0.22
199303    ,6.68    ,0.32    ,1.97   ,-0.26    ,2.29    ,0.25
199304    ,4.31    ,0.57    ,2.89   ,-2.26    ,2.79    ,0.24
199305    ,3.12    ,4.08   ,-1.42   ,-1.58    ,0.12    ,0.22
199306   ,-2.11   ,-0.77    ,0.35   ,-1.41    ,1.23    ,0.25
199307    ,2.25   ,-1.34    ,1.34   ,-0.64    ,1.74    ,0.24
199308    ,4.37    ,1.03    ,1.07    ,0.02   ,-0.33    ,0.25
199309   ,-1.96    ,1.92    ,0.28    ,0.82   ,-1.40    ,0.26
199310    ,1.11   ,-0.32   ,-0.83    ,0.50   ,-0.34    ,0.22
199311   ,-6.27    ,1.55   ,-0.12    ,1.47   ,-2.42    ,0.25
199312    ,4.01    ,0.45    ,2.26   ,-0.91   ,-0.08    ,0.23
199401    ,7.26    ,0.54    ,3.22   ,-2.28    ,3.67    ,0.25
199402   ,-1.17    ,1.52    ,0.52    ,0.73    ,0.56    ,0.21
199403   ,-3.69    ,0.81    ,1.80    ,0.10    ,0.96    ,0.27
199404    ,2.32   ,-0.06    ,1.22   ,-0.45    ,1.66    ,0.27
199405   ,-0.19   ,-1.34    ,1.36   ,-1.18    ,1.30    ,0.32
199406    ,0.09   ,-0.54    ,1.29    ,0.31    ,1.83    ,0.31
199407    ,1.11   ,-0.36    ,0.68    ,0.84   ,-0.58    ,0.28
199408    ,2.12   ,-0.08   ,-1.90    ,1.38   ,-1.53    ,0.37
199409   ,-2.84    ,1.88   ,-0.26    ,0.31   ,-0.02    ,0.37
199410    ,2.09   ,-1.87   ,-0.16    ,0.28    ,0.44    ,0.38
199411   ,-5.16   ,-0.20   ,-0.26    ,0.63   ,-0.09    ,0.37
199412    ,0.77   ,-0.20   ,-0.56   ,-0.18    ,0.75    ,0.44
199501   ,-2.30    ,0.36    ,0.29    ,1.13   ,-0.24    ,0.42
199502    ,0.61    ,0.49    ,0.36    ,0.65   ,-1.41    ,0.40
199503    ,4.22   ,-2.15   ,-1.23    ,0.96   ,-0.09    ,0.46
199504    ,2.63   ,-1.29    ,0.16   ,-1.00    ,0.95    ,0.45
199505   ,-0.11   ,-0.04    ,0.51    ,0.91   ,-0.97    ,0.54
199506   ,-0.04    ,2.00   ,-0.91    ,1.57   ,-3.04    ,0.47
199507    ,4.35    ,0.32   ,-1.95   ,-0.87   ,-0.72    ,0.45
199508   ,-1.77    ,2.12   ,-0.23    ,0.18    ,0.94    ,0.47
199509    ,1.68   ,-1.17   ,-1.01    ,1.47   ,-0.48    ,0.43
199510   ,-1.99   ,-1.70   ,-0.33    ,1.28   ,-0.19    ,0.47
199511    ,2.67   ,-1.35   ,-0.11   ,-2.51    ,1.86    ,0.42
199512    ,2.14    ,0.18    ,0.53   ,-1.31    ,1.79    ,0.49
199601    ,1.13    ,0.04    ,0.68    ,0.77    ,0.68    ,0.43
