date,mkt_rf,smb,hml,rmw,cma,rf
07/01/1963,-0.39,-0.47,-0.83,0.64,-1.15,0.27
08/01/1963,5.07,-0.78,1.67,0.34,-0.4,0.25
09/01/1963,-1.57,-0.48,0.18,-0.75,0.24,0.27
10/01/1963,2.53,-1.29,-0.1,2.74,-2.24,0.29
11/01/1963,-0.85,-0.84,1.71,-0.44,2.22,0.27
12/01/1963,1.83,-1.89,-0.12,0.08,-0.3,0.29
01/01/1964,2.24,0.08,1.59,0.21,1.5,0.3
02/01/1964,1.54,0.32,2.83,0.07,0.85,0.26
03/01/1964,1.41,1.42,3.32,-2.03,2.93,0.31
04/01/1964,0.1,-1.51,-0.55,-1.37,-1.08,0.29
05/01/1964,1.42,-0.68,1.98,-0.26,0.24,0.26
06/01/1964,1.27,0.08,0.68,-0.39,0.14,0.3
07/01/1964,1.74,0.53,0.68,0.14,1.84,0.3
08/01/1964,-1.44,0.3,0.09,0.06,0.36,0.28
09/01/1964,2.69,-0.31,1.65,-0.48,0.58,0.28
10/01/1964,0.59,0.88,1.14,-0.29,0.48,0.29
11/01/1964,0,-0.27,-1.98,0.6,-0.16,0.29
12/01/1964,0.03,-0.58,-2.55,1.13,-1.63,0.31
01/01/1965,3.54,2.49,0.18,0.84,0.11,0.28
02/01/1965,0.44,3.31,0.22,0.4,-0.69,0.3
03/01/1965,-1.34,2.03,1.09,-0.3,0.73,0.36
04/01/1965,3.11,1.18,0.71,0.26,-2.3,0.31
05/01/1965,-0.77,0.06,-1.63,-0.37,0.7,0.31
06/01/1965,-5.51,-4.3,0.55,0.12,0.41,0.35
07/01/1965,1.43,1.07,2.18,-1.44,-0.02,0.31
08/01/1965,2.73,2.72,-0.96,2.06,-0.76,0.33
09/01/1965,2.86,0.61,-0.1,-0.97,0.82,0.31
10/01/1965,2.6,3.43,1.52,1.27,-0.76,0.31
11/01/1965,-0.03,5.2,0.21,-1.09,-0.9,0.35
12/01/1965,1.01,2.65,1.95,-1.24,-0.45,0.33
01/01/1966,0.72,4.72,3.49,-2.84,-0.07,0.38
02/01/1966,-1.21,4.86,0.27,-0.16,-1.44,0.35
03/01/1966,-2.51,0.22,-2.07,1.34,-0.01,0.38
04/01/1966,2.14,3.38,-0.54,0.44,-0.91,0.34
05/01/1966,-5.66,-5.19,-1.55,1.69,-1.52,0.41
06/01/1966,-1.44,1.34,0.5,0.05,0.8,0.38
07/01/1966,-1.63,-0.5,0.96,-0.46,1.78,0.35
08/01/1966,-7.91,-3.03,0.47,0.06,0.77,0.41
09/01/1966,-1.06,-1.19,0.53,-1.66,2.5,0.4
10/01/1966,3.86,-6.53,2.87,-3.64,4.28,0.45
11/01/1966,1.4,3.37,-4.46,4.18,-6.53,0.4
12/01/1966,0.13,1.93,-1.22,0.68,-0.13,0.4
01/01/1967,8.15,9,2.22,0.62,-2.98,0.43
02/01/1967,0.78,3.03,-2.17,1.93,-0.94,0.36
03/01/1967,3.99,1.91,0.31,0.9,-1.51,0.39
04/01/1967,3.89,0.46,-2.64,2.44,-3.75,0.32
05/01/1967,-4.33,2.37,0.8,-1.75,1.61,0.33
06/01/1967,2.41,6.47,0.96,-0.63,-2.38,0.27
07/01/1967,4.58,3.48,2.65,0.51,2.73,0.31
08/01/1967,-0.89,0.76,1.46,0.42,1.4,0.31
09/01/1967,3.11,2.46,-2.47,0.22,-0.96,0.32
10/01/1967,-3.09,0.46,-3.39,0.81,-2.57,0.39
11/01/1967,0.37,-0.05,-1.71,1.29,-2.29,0.36
12/01/1967,3.05,5.76,-0.39,-0.65,0.04,0.33
01/01/1968,-4.06,4.48,4.75,-4.58,6.45,0.4
02/01/1968,-3.75,-2.92,1.17,-0.14,2.48,0.39
03/01/1968,0.2,-1.52,-0.59,1.17,-1.15,0.38
04/01/1968,9.05,6.25,-1.03,2.79,-3.66,0.43
05/01/1968,2.28,7.02,0.84,0.39,-1.85,0.45
06/01/1968,0.69,-0.28,0.67,-1.33,2.65,0.43
07/01/1968,-2.72,-1.32,5.48,-2.97,3.59,0.48
08/01/1968,1.34,2.29,1,-0.66,0.42,0.42
09/01/1968,4.03,2.78,0.24,-2,0.89,0.43
10/01/1968,0.42,-0.42,2.89,-1.35,2.79,0.44
11/01/1968,5.43,2.4,-0.9,0.49,-2.5,0.42
12/01/1968,-3.94,3.58,0.02,-1.73,1.66,0.43
01/01/1969,-1.25,-0.46,1.69,-1.56,1.38,0.53
02/01/1969,-5.84,-4.12,0.9,2.14,0.79,0.46
03/01/1969,2.64,-0.39,-0.46,-1.31,-0.41,0.46
04/01/1969,1.46,-0.83,0.03,0.36,0.08,0.53
05/01/1969,-0.1,-0.18,0.73,-0.92,1.51,0.48
06/01/1969,-7.18,-5.5,-1.09,4.27,-1.53,0.51
07/01/1969,-7,-3.38,1.42,1.33,1.97,0.53
08/01/1969,4.68,0.72,-3.87,1.16,-4.08,0.5
09/01/1969,-2.98,1.3,-3.19,3.35,-0.83,0.62
10/01/1969,5.06,3.89,-3.19,0.04,-2.03,0.6
11/01/1969,-3.79,-2.41,-1.12,1.5,0.32,0.52
12/01/1969,-2.63,-3.69,-3.02,2.41,-2.04,0.64
01/01/1970,-8.1,3.08,3.04,-1.77,3.92,0.6
02/01/1970,5.13,-2.56,4.04,-2.21,3.06,0.62
03/01/1970,-1.06,-2.4,4.25,-0.96,4.43,0.57
04/01/1970,-11,-6.29,6.39,-0.65,5.88,0.5
05/01/1970,-6.92,-4.41,3.6,-1.28,3.62,0.53
06/01/1970,-5.79,-2.17,0.87,0.17,2.9,0.58
07/01/1970,6.93,-0.68,0.96,-0.07,1.9,0.52
08/01/1970,4.49,1.55,1.03,0.57,-0.15,0.53
09/01/1970,4.18,8.49,-5.58,0.2,-5.93,0.54
10/01/1970,-2.28,-4.51,0.27,1.76,2.38,0.46
11/01/1970,4.59,-4,1.63,1.76,1.59,0.46
12/01/1970,5.72,3.04,1.01,0.14,0.28,0.42
01/01/1971,4.84,7.54,1.38,-2.15,-0.14,0.38
02/01/1971,1.41,2.05,-1.29,0.53,-0.72,0.33
03/01/1971,4.13,2.15,-4.04,2,-2.69,0.3
04/01/1971,3.15,-0.36,0.72,-1.57,0.72,0.28
05/01/1971,-3.98,-1.16,-1.38,1.4,0.3,0.29
06/01/1971,-0.1,-1.44,-2.06,1.54,-1.74,0.37
07/01/1971,-4.5,-1.42,0.17,0.5,1.62,0.4
08/01/1971,3.79,-0.18,2.67,-0.34,2.6,0.47
09/01/1971,-0.85,0.19,-2.96,2.64,-1.56,0.37
10/01/1971,-4.42,-1.66,-0.43,1.48,-1.24,0.37
11/01/1971,-0.46,-2.9,-1.7,2.4,-0.36,0.37
12/01/1971,8.71,3.29,-0.35,-0.38,-1.83,0.37
01/01/1972,2.49,6.33,1.99,-1.49,0.29,0.29
02/01/1972,2.87,0.97,-2.76,1.74,-0.52,0.25
03/01/1972,0.63,-0.49,-1.73,1.58,-0.19,0.27
04/01/1972,0.29,0.15,0.23,-0.58,-0.89,0.29
05/01/1972,1.25,-3.14,-2.69,2.3,-1.85,0.3
06/01/1972,-2.43,-0.37,-2.51,1.74,-0.36,0.29
07/01/1972,-0.8,-2.74,0.78,1,-0.59,0.31
08/01/1972,3.26,-3.53,4.69,-2.08,2.95,0.29
09/01/1972,-1.14,-2.25,0.47,1.59,-1.98,0.34
10/01/1972,0.52,-2.53,1.37,-0.11,-0.05,0.4
11/01/1972,4.6,-0.52,4.76,-1.98,3.35,0.37
12/01/1972,0.62,-1.82,-2.27,2.52,-2.2,0.37
01/01/1973,-3.29,-2.8,2.68,0.3,0.92,0.44
02/01/1973,-4.85,-4.02,1.7,-0.37,-0.01,0.41
03/01/1973,-1.3,-2.32,2.78,-1.07,0.73,0.46
04/01/1973,-5.68,-3.01,5.69,-1.76,2.71,0.52
05/01/1973,-2.94,-5.98,0.21,2.03,-1.79,0.51
06/01/1973,-1.56,-2.55,1.44,-0.33,0.22,0.51
07/01/1973,5.05,7.28,-5.31,-0.02,-3.45,0.64
08/01/1973,-3.82,-1.73,1.14,-1.36,1.2,0.7
09/01/1973,4.75,3.54,2.18,-2.32,1.82,0.68
10/01/1973,-0.83,-0.29,1.74,-1.76,2.59,0.65
11/01/1973,-12.75,-7.25,4.04,-2.7,1.49,0.56
12/01/1973,0.61,-4.61,4.09,-2.73,2.3,0.64
01/01/1974,-0.17,10.41,5.99,-3.15,4.47,0.63
02/01/1974,-0.47,0.17,2.54,-1.97,2.67,0.58
03/01/1974,-2.81,2.63,-0.11,2.79,0.36,0.56
